"","pval","term","direction","color"
"1/110 motile cilium",0.0444474684492463,"GO:0031514",0,"skyblue2"
"0/8 MCM complex",0.00337770307209731,"GO:0042555",1,"firebrick1"
"0/6 DNA replication factor C complex",0.0334298977967474,"GO:0005663;GO:0031390",1,"lightcoral"
"1/25 nuclear replication fork",0.00224441682554553,"GO:0043596",1,"firebrick1"
"1/50 replication fork",0.000371528684263039,"GO:0005657",1,"firebrick1"
"1/7 replication fork protection complex",0.0103256676731525,"GO:0031298",1,"lightcoral"
"9/623 nucleoplasm part",0.00620734714096396,"GO:0044451",1,"firebrick1"
"4/395 nuclear body",0.00620734714096396,"GO:0016604",1,"firebrick1"
"1/214 nuclear speck",0.00497184348277266,"GO:0016607",1,"firebrick1"
"1/10 condensin complex",0.00620734714096396,"GO:0000796",1,"firebrick1"
"13/308 chromatin",0.000453999640516627,"GO:0000785",1,"firebrick1"
"1/16 pericentric heterochromatin",0.0226752307621258,"GO:0005721",1,"lightcoral"
"5/196 chromosomal region",0.000517780803442871,"GO:0098687",1,"firebrick1"
"0/11 condensed chromosome outer kinetochore",0.0469271493482372,"GO:0000940",1,"lightcoral"
"2/106 chromosome, centromeric region",6.69096102596808e-05,"GO:0000775",1,"firebrick1"
"1/72 kinetochore",0.00272761555265159,"GO:0000776",1,"firebrick1"
"17/596 chromosome",4.05751681245741e-11,"GO:0005694;GO:0044427",1,"firebrick1"
"4/66 condensed nuclear chromosome",0.00380316843563234,"GO:0000794",1,"firebrick1"
"1/17 condensed nuclear chromosome, centromeric region",0.010045566894671,"GO:0000780",1,"lightcoral"
"14/320 nuclear chromosome",1.23159969694779e-05,"GO:0000228;GO:0044454",1,"firebrick1"
"1/10 condensed nuclear chromosome kinetochore",0.00620734714096396,"GO:0000778",1,"firebrick1"
"1/36 condensed chromosome, centromeric region",0.00789406090782283,"GO:0000779;GO:0000777",1,"firebrick1"
"5/114 condensed chromosome",0.000113752924474003,"GO:0000793",1,"firebrick1"
"3/410 microtubule organizing center",0.00477485732619444,"GO:0005813;GO:0005815",1,"firebrick1"
"0/101 microtubule organizing center part",0.0332479225679489,"GO:0044450",1,"lightcoral"
