term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0000018,regulation of DNA recombination,764,0.00292387805006041,3,51,0.0848391210802103,1969,1.48261726431769e-8,4,37,7.59429509833839e-7
GO:0000022,mitotic spindle elongation,1776,0.00126721538275124,2,11,0.0467071615737028,-1871,3.40485757299891e-13,3,68,3.92409835288124e-11
GO:0000041,transition metal ion transport,-144,0.518834951049178,3,68,0.854498384520767,-89,0.649226551236042,2,118,0.81021505175911
GO:0000082;GO:0044843,cell cycle G1/S phase transition,417,0.0387301822193756,2,83,0.341844591602474,-1,0.995018568193482,4,144,0.998049521186238
GO:0000096,sulfur amino acid metabolic process,-193,0.563544101444684,3,30,0.879266832073842,70,0.822793629346483,2,46,0.916645391804564
GO:0000122,negative regulation of transcription by RNA polymerase II,268,0.00500271668517732,2,391,0.114663107216984,-51,0.660129324008522,5,343,0.818776097380238
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",-1192,1.90731465651223e-8,3,75,6.12023614780836e-6,-1357,3.7271704858603e-9,2,85,2.38642443608555e-7
GO:0000186,activation of MAPKK activity,219,0.512204758214638,2,30,0.852561981777207,-125,0.701511516189467,2,42,0.844819250165476
GO:0000187,activation of MAPK activity,62,0.762498240045698,2,79,0.950304093471714,116,0.581304942139557,2,102,0.768959673777068
GO:0000209,protein polyubiquitination,-251,0.0767324065548579,4,171,0.452694011084998,-101,0.58038036188182,9,135,0.768959673777068
GO:0000226,microtubule cytoskeleton organization,378,9.74064545829296e-5,2,376,0.00781803964373928,-339,6.26822025844419e-4,2,484,0.00668900356283049
GO:0000245,spliceosomal complex assembly,499,0.093386466565969,2,38,0.487486291978336,-194,0.577689278843576,2,37,0.768959673777068
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",-36,0.891704501535852,2,49,0.984073077163644,-505,0.0982738926558868,2,48,0.262785757043874
GO:0000302,response to reactive oxygen species,-128,0.448156229938054,2,120,0.82790654297303,-405,0.0245989740364007,2,140,0.0998250618906754
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",207,0.429145786447371,3,49,0.823374157978711,-560,0.075638965170726,6,45,0.226000879882897
GO:0000722,telomere maintenance via recombination,927,0.0675333887978026,2,13,0.438592474935398,1952,1.13754845213369e-7,6,33,4.85564663364473e-6
GO:0001101,response to acid chemical,103,0.416295243871372,3,216,0.817617051433435,-277,0.0659410938151894,2,201,0.204293308123671
GO:0001501,skeletal system development,28,0.826788333927444,2,207,0.971050765955833,36,0.799636268569821,4,235,0.902625660653006
GO:0001503,ossification,315,0.0868636951117981,2,100,0.475586352239919,290,0.189468193450704,2,92,0.397996541876012
GO:0001504,neurotransmitter uptake,352,0.455457469934466,3,15,0.83046440159239,828,0.0145349091162689,3,39,0.0692210031260327
GO:0001505,regulation of neurotransmitter levels,43,0.712102304249364,2,251,0.934469247742273,-97,0.456289780760395,2,270,0.672005247018376
GO:0001508,action potential,467,0.0636671129034451,2,53,0.42727890765206,313,0.132918537441089,3,104,0.321150135012275
GO:0001525,angiogenesis,232,0.155179890859628,2,128,0.59781518689214,-82,0.598576583094809,2,190,0.781267850528615
GO:0001541,ovarian follicle development,108,0.717253821409083,2,38,0.936929979833943,-362,0.297825069107972,3,37,0.522722742919938
GO:0001556,oocyte maturation,358,0.406499052600987,2,18,0.812518145393417,829,0.0222850933110544,2,34,0.0940196262841466
GO:0001558,regulation of cell growth,-61,0.602361788009092,3,257,0.89218914902665,-236,0.0886540657032065,2,240,0.24769408660108
GO:0001569,branching involved in blood vessel morphogenesis,989,0.0362342187713595,3,15,0.331790418895257,-65,0.835600611887188,2,45,0.920949239674584
GO:0001570,vasculogenesis,143,0.599609009950635,2,45,0.891628274521447,147,0.60743201040421,2,55,0.786590328079609
GO:0001649,osteoblast differentiation,866,0.00355427346623132,2,38,0.094578350040448,-139,0.671038910218687,2,42,0.822736536198975
GO:0001656,metanephros development,405,0.157250978468859,2,41,0.600770593812758,272,0.393301631327383,2,44,0.618057679785456
GO:0001658,branching involved in ureteric bud morphogenesis,648,0.0565566848423835,5,29,0.408631411675764,748,0.0422602468498423,4,33,0.148211993624896
GO:0001667,ameboidal-type cell migration,51,0.680234860947725,4,223,0.924968798907367,-407,0.00135131389259726,2,287,0.0116445914850922
GO:0001676,long-chain fatty acid metabolic process,-174,0.481067385063659,4,55,0.841794343698134,676,0.0320109838741765,2,45,0.121757950214483
GO:0001700,embryonic development via the syncytial blastoderm,-201,0.227061674658245,5,123,0.674263165629138,-269,0.124144667106705,3,148,0.306314641680758
GO:0001701,in utero embryonic development,351,0.00800265234576478,2,196,0.156604567581117,95,0.48435230333402,4,251,0.695163175084007
GO:0001702,gastrulation with mouth forming second,138,0.723045271241688,2,22,0.938218813298349,-46,0.906086702703814,2,30,0.957163084203616
GO:0001706,endoderm formation,26,0.934102840889524,2,34,0.991470743915011,-471,0.222680337552559,2,30,0.439450494913226
GO:0001708,cell fate specification,417,0.02343817343513,3,100,0.276921930432019,-11,0.955567498354615,2,122,0.975457521571031
GO:0001709,cell fate determination,414,0.0188751886211652,3,109,0.256129736140438,-195,0.260543211987589,2,151,0.483536315323183
GO:0001751,compound eye photoreceptor cell differentiation,290,0.169150727713079,2,76,0.616797679184732,-463,0.0180653146332813,5,118,0.0822405336444087
GO:0001755,neural crest cell migration,184,0.575677785739946,5,31,0.882785970556871,459,0.219832628578714,2,32,0.436070747740048
GO:0001764,neuron migration,50,0.806835690161978,4,81,0.960523297483899,-309,0.186994532856017,4,82,0.395580317120583
GO:0001816,cytokine production,-15,0.948764683913433,2,58,0.992598369097699,-161,0.580393981044285,2,53,0.768959673777068
GO:0001817,regulation of cytokine production,35,0.781702748119692,4,221,0.953233447614013,-236,0.155879503400017,2,165,0.352257113075529
GO:0001818,negative regulation of cytokine production,-21,0.913820007344292,2,87,0.98833256032031,-445,0.0958223887526153,2,63,0.258630686270232
GO:0001819,positive regulation of cytokine production,-9,0.955575030761948,2,129,0.99377233269367,17,0.931176625739045,3,112,0.964605179791397
GO:0001824,blastocyst development,1092,2.08728636382373e-5,2,51,0.00264794118945545,140,0.672476076110196,3,41,0.823622399274177
