name	term	lev	seq	value
"specific granule"	GO:0042581	2	Pseudodiploria173457	-0.0612962737434351
"specific granule"	GO:0042581	2	Pseudodiploria198567	0.866077412423591
"specific granule"	GO:0042581	2	Pseudodiploria204341	0.573678246238771
"specific granule"	GO:0042581	2	Pseudodiploria186116	0.161864296742696
"specific granule"	GO:0042581	2	Pseudodiploria186418	-0.282531578431495
"specific granule"	GO:0042581	2	Pseudodiploria190941	-0.0221151673055068
"specific granule"	GO:0042581	2	Pseudodiploria176044	-0.42968391612146
"specific granule"	GO:0042581	2	Pseudodiploria202710	0.23178447970863
"specific granule"	GO:0042581	2	Pseudodiploria201508	0.555782455619175
"specific granule"	GO:0042581	2	Pseudodiploria173731	-0.041275314536721
"specific granule"	GO:0042581	2	Pseudodiploria169297	0.522281961252078
"specific granule"	GO:0042581	2	Pseudodiploria189190	0.109391369082317
"specific granule"	GO:0042581	2	Pseudodiploria198009	-0.0673659940555136
"specific granule"	GO:0042581	2	Pseudodiploria197051	0.105817609549549
"specific granule"	GO:0042581	2	Pseudodiploria176164	-0.339111455839415
"specific granule"	GO:0042581	2	Pseudodiploria194073	-0.0424421566719049
"specific granule"	GO:0042581	2	Pseudodiploria203594	-0.132617899581767
"specific granule"	GO:0042581	2	Pseudodiploria197802	-0.27714271458981
"specific granule"	GO:0042581	2	Pseudodiploria200266	-0.0351143070971809
"specific granule"	GO:0042581	2	Pseudodiploria198349	-0.785106246612603
"specific granule"	GO:0042581	2	Pseudodiploria196192	-0.323990114957398
"specific granule"	GO:0042581	2	Pseudodiploria170457	-0.248364410633812
"specific granule"	GO:0042581	2	Pseudodiploria188138	-0.0276990206549675
"specific granule"	GO:0042581	2	Pseudodiploria195762	-0.112555370653447
"specific granule"	GO:0042581	2	Pseudodiploria192153	0.32328398065595
"specific granule"	GO:0042581	2	Pseudodiploria201272	0.193169082313017
"specific granule"	GO:0042581	2	Pseudodiploria185805	-0.16896937757536
"specific granule"	GO:0042581	2	Pseudodiploria197254	0.495059328365971
"specific granule"	GO:0042581	2	Pseudodiploria201650	0.202992268813197
"specific granule"	GO:0042581	2	Pseudodiploria190959	-0.544005283441244
"specific granule"	GO:0042581	2	Pseudodiploria200694	-0.125773830156235
"specific granule"	GO:0042581	2	Pseudodiploria201698	-0.0999854901569907
"specific granule"	GO:0042581	2	Pseudodiploria203343	0.0677599924104329
"specific granule"	GO:0042581	2	Pseudodiploria198460	-0.0727432240022329
"specific granule"	GO:0042581	2	Pseudodiploria203272	0.0278333994762053
"specific granule"	GO:0042581	2	Pseudodiploria196183	-0.161378690043121
"specific granule"	GO:0042581	2	Pseudodiploria196830	-0.0609358596304197
"specific granule"	GO:0042581	2	Pseudodiploria190961	-0.100155050935587
"specific granule"	GO:0042581	2	Pseudodiploria202789	0.122039889791957
"specific granule"	GO:0042581	2	Pseudodiploria201964	-0.0810255659579281
"specific granule"	GO:0042581	2	Pseudodiploria199403	-0.125571584001681
"specific granule"	GO:0042581	2	Pseudodiploria204787	-0.311804246269764
"specific granule"	GO:0042581	2	Pseudodiploria200391	0.0135511664116588
"specific granule"	GO:0042581	2	Pseudodiploria196222	-0.591366492702813
"specific granule"	GO:0042581	2	Pseudodiploria186534	0.0041652673090091
"specific granule"	GO:0042581	2	Pseudodiploria197850	-0.158004053402339
"specific granule"	GO:0042581	2	Pseudodiploria187708	1.11086465671402
"specific granule"	GO:0042581	2	Pseudodiploria165418	0.046345405074161
"specific granule"	GO:0042581	2	Pseudodiploria201046	0.487891398059659
"specific granule"	GO:0042581	2	Pseudodiploria204794	-0.0891068780474588
"specific granule"	GO:0042581	2	Pseudodiploria199769	1.2560272725344
"specific granule"	GO:0042581	2	Pseudodiploria205571	-0.243771190996253
"specific granule"	GO:0042581	2	Pseudodiploria202915	0.191203891849949
"specific granule"	GO:0042581	2	Pseudodiploria184773	-0.405551808684267
"specific granule"	GO:0042581	2	Pseudodiploria183564	-0.212220584226457
"specific granule"	GO:0042581	2	Pseudodiploria188186	0.0150192124739532
"specific granule"	GO:0042581	2	Pseudodiploria200179	0.105493574090862
"specific granule"	GO:0042581	2	Pseudodiploria204923	0.0284766936626866
"specific granule"	GO:0042581	2	Pseudodiploria204930	0.0866531844085019
"specific granule"	GO:0042581	2	Pseudodiploria196277	-0.684521227952302
"specific granule"	GO:0042581	2	Pseudodiploria193392	-0.13299326078563
"specific granule"	GO:0042581	2	Pseudodiploria182047	0.242090038563429
"specific granule"	GO:0042581	2	Pseudodiploria183577	0.500053080286813
"specific granule"	GO:0042581	2	Pseudodiploria204798	0.083210557354563
"specific granule"	GO:0042581	2	Pseudodiploria192226	0.421052898889441
"specific granule"	GO:0042581	2	Pseudodiploria202279	-0.439645228712468
"specific granule"	GO:0042581	2	Pseudodiploria192101	0.114185193327304
"nuclear pericentric heterochromatin"	GO:0031618	2	Pseudodiploria195906	0.357648922236633
