"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
361 0.279806349509018 5 24 "GO:0000002" "mitochondrial genome maintenance" 0.840104040991025
-268 0.688127287930233 2 6 "GO:0000012" "single strand break repair" 0.956458028629407
690 0.00700959369133302 2 41 "GO:0000018" "regulation of DNA recombination" 0.479099666628113
699 0.294355026781484 3 6 "GO:0000019" "regulation of mitotic recombination" 0.84658018375171
551 0.286176724264036 4 10 "GO:0000022" "mitotic spindle elongation" 0.843494030612576
542 0.120149337349872 5 22 "GO:0000027" "ribosomal large subunit assembly" 0.733491275494873
378 0.423217142913027 6 12 "GO:0000028" "ribosomal small subunit assembly" 0.886694672764085
601 0.141312525624641 2 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.751892002432535
150 0.539005206169135 7 45 "GO:0000041" "transition metal ion transport" 0.916379448149668
-616 0.0126593540744681 4 44 "GO:0000045;GO:1905037" "autophagosome organization" 0.552085517795585
855 0.199344442674882 7 6 "GO:0000050;GO:0019627;GO:0071941;GO:0000052" "citrulline metabolic process" 0.806354791581606
444 0.471943083327882 7 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.901609729575204
-229 0.56334648325906 -1 17 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.921874045660815
-277 0.0677257110024188 2 118 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.651878932498123
-429 0.309573748842157 2 15 "GO:0000076" "DNA replication checkpoint" 0.851500553833226
-343 0.054282111948313 2 85 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.61657398897812
53 0.834840934299793 3 41 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.98317400571556
250 0.185162405462171 5 76 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.806354791581606
397 0.363819240261744 5 14 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.859383151160765
14 0.942703236283315 2 76 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.993616438567879
-22 0.941708735038567 2 31 "GO:0000096" "sulfur amino acid metabolic process" 0.993616438567879
-234 0.591497425702882 2 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.928113605364791
-1000 0.042203544440236 5 11 "GO:0000098" "sulfur amino acid catabolic process" 0.593093217034377
-578 0.349017594876934 3 7 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.857233739427244
-15 0.8714091441289 2 324 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.98480637280749
197 0.344572707324913 3 62 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.857233739427244
448 0.189181825155071 3 23 "GO:0000154" "rRNA modification" 0.806354791581606
47 0.734758871761795 2 142 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.965086753382448
-527 0.470323276880417 2 5 "GO:0000183" "chromatin silencing at rDNA" 0.900160850439626
308 0.146306208902171 7 60 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.756798931404882
-375 0.54298868340578 2 7 "GO:0000185" "activation of MAPKKK activity" 0.916559714803919
-12 0.970306337052923 7 26 "GO:0000186" "activation of MAPKK activity" 0.996041377426625
-186 0.356833422475823 2 66 "GO:0000187" "activation of MAPK activity" 0.857233739427244
-417 0.419434976696303 2 10 "GO:0000188" "inactivation of MAPK activity" 0.886326368069942
-326 0.0138156695458033 2 156 "GO:0000209" "protein polyubiquitination" 0.552085517795585
-207 0.41211262744238 6 42 "GO:0000212" "meiotic spindle organization" 0.885034310886328
-35 0.68331253389868 4 379 "GO:0000226" "microtubule cytoskeleton organization" 0.956458028629407
374 0.491995447160043 6 9 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.908948543437391
-85 0.764777564059188 2 33 "GO:0000245" "spliceosomal complex assembly" 0.972337437627836
47 0.923598623318135 4 11 "GO:0000266" "mitochondrial fission" 0.993616438567879
-4 0.989267900751625 3 25 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 0.99842234098403
-293 0.401049313985397 3 22 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "cellular polysaccharide catabolic process" 0.878240848941198
7 0.947678521282318 5 256 "GO:0000280;GO:0048285" "organelle fission" 0.993616438567879
26 0.888564063391339 2 80 "GO:0000281" "mitotic cytokinesis" 0.987332056181859
19 0.942401075779412 2 40 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.993616438567879
-38 0.918729900601395 2 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.991917794474334
-265 0.691447173330554 6 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.956458028629407
20 0.954274047970632 2 22 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.993616438567879
134 0.388360581993745 4 112 "GO:0000302" "response to reactive oxygen species" 0.873302562069981
27 0.943943501507248 2 18 "GO:0000303;GO:0000305" "response to oxygen radical" 0.993616438567879
-754 0.221733951864118 2 7 "GO:0000338" "protein deneddylation" 0.808034187955099
146 0.140458667792082 3 286 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.751119840163428
-180 0.690863181373318 4 13 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.956458028629407
88 0.715854169111231 2 46 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.958980581419636
174 0.586465205245 2 26 "GO:0000387" "spliceosomal snRNP assembly" 0.927009828145614
-121 0.844816802126987 2 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.984421652093042
14 0.981600936781538 2 7 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.99842234098403
-135 0.804615665961314 3 9 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.978156550639336
-417 0.29293617845714 2 17 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.84658018375171
-902 0.144076652839409 6 7 "GO:0000414" "regulation of histone H3-K36 methylation" 0.755294701826131
-449 0.139195518512439 5 29 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.751119840163428
-425 0.56039745944076 6 5 "GO:0000423" "mitophagy" 0.921874045660815
363 0.505294179559878 4 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.908948543437391
550 0.0703291490568209 2 29 "GO:0000460" "maturation of 5.8S rRNA" 0.661859999143892
252 0.361476401348457 4 35 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.857233739427244
92 0.865737069781089 3 9 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.984434426464894
379 0.32545238431626 2 18 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.854793639789626
355 0.357412292282996 2 18 "GO:0000469" "cleavage involved in rRNA processing" 0.857233739427244
346 0.355629163722604 2 19 "GO:0000470" "maturation of LSU-rRNA" 0.857233739427244
244 0.576461767724944 2 14 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.92423572088903
-352 0.597542662169594 3 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.929968275666713
-64 0.907067753699239 6 9 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.990428847441624
-171 0.277967120997295 2 109 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.839524975266397
-178 0.789104728183691 2 6 "GO:0000706" "meiotic DNA double-strand break processing" 0.976141501270934
-22 0.969558861553295 2 8 "GO:0000712" "resolution of meiotic recombination intermediates" 0.996041377426625
-740 0.11635250591768 2 12 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.728468200756956
353 0.596326979725303 6 6 "GO:0000722" "telomere maintenance via recombination" 0.929814523743572
31 0.884336142137143 5 58 "GO:0000723;GO:0032200" "telomere organization" 0.987332056181859
-62 0.76986673373268 6 59 "GO:0000724;GO:0000725" "recombinational repair" 0.973371397758954
