"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-600 0.0723734066023678 2 24 "GO:0000002" "mitochondrial genome maintenance" 0.985762797034813
521 0.4341309826148 5 6 "GO:0000012" "single strand break repair" 0.993705287826823
-408 0.111095859622799 6 41 "GO:0000018" "regulation of DNA recombination" 0.985762797034813
-1290 0.0528655013434809 2 6 "GO:0000019" "regulation of mitotic recombination" 0.985762797034813
-127 0.805267366411554 2 10 "GO:0000022" "mitotic spindle elongation" 0.993705287826823
-114 0.743749578642477 2 22 "GO:0000027" "ribosomal large subunit assembly" 0.993705287826823
487 0.301714031678133 2 12 "GO:0000028" "ribosomal small subunit assembly" 0.985762797034813
-188 0.645917236829081 4 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.993705287826823
187 0.444178721192585 7 45 "GO:0000041" "transition metal ion transport" 0.993705287826823
282 0.253780697035608 2 44 "GO:0000045;GO:1905037" "autophagosome organization" 0.985762797034813
170 0.798466623376856 3 6 "GO:0000050;GO:0019627;GO:0071941;GO:0000052" "urea cycle" 0.993705287826823
-699 0.257586251162185 2 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.985762797034813
-134 0.735596554226238 -1 17 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.993705287826823
229 0.131329730345278 2 118 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.985762797034813
396 0.348406734927126 2 15 "GO:0000076" "DNA replication checkpoint" 0.991682212078002
304 0.0881591652592676 7 85 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.985762797034813
181 0.48019591493996 2 41 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.993705287826823
-222 0.23777313442485 2 76 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.985762797034813
-723 0.0976390089129344 2 14 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.985762797034813
-174 0.35498394100174 3 76 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.993705287826823
183 0.53379135306278 3 31 "GO:0000096" "sulfur amino acid metabolic process" 0.993705287826823
42 0.923050611424843 2 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.995582361013767
710 0.149631216835301 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.985762797034813
285 0.643881136105231 3 7 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.993705287826823
-78 0.403819746655994 8 324 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.993705287826823
-555 0.0076950648998789 2 62 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.985762797034813
61 0.858029872215176 2 23 "GO:0000154" "rRNA modification" 0.993705287826823
-12 0.933084559212329 4 142 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.995582361013767
129 0.8600531464882 8 5 "GO:0000183" "chromatin silencing at rDNA" 0.993705287826823
119 0.572790189893391 2 60 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.993705287826823
-179 0.771763543474983 2 7 "GO:0000185" "activation of MAPKKK activity" 0.993705287826823
-7 0.983180592981645 2 26 "GO:0000186" "activation of MAPKK activity" 0.999098575821571
119 0.557095249541641 5 66 "GO:0000187" "activation of MAPK activity" 0.993705287826823
181 0.725378442482263 7 10 "GO:0000188" "inactivation of MAPK activity" 0.993705287826823
254 0.0553564288892795 9 156 "GO:0000209" "protein polyubiquitination" 0.985762797034813
-127 0.614587425010394 6 42 "GO:0000212" "meiotic spindle organization" 0.993705287826823
-35 0.689412975870106 3 379 "GO:0000226" "microtubule cytoskeleton organization" 0.993705287826823
-240 0.659815023606494 3 9 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.993705287826823
-303 0.287855409261624 2 33 "GO:0000245" "spliceosomal complex assembly" 0.985762797034813
-343 0.485616505904375 2 11 "GO:0000266" "mitochondrial fission" 0.993705287826823
-299 0.360202090809567 2 25 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 0.993705287826823
344 0.323951223750963 2 22 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "polysaccharide catabolic process" 0.985762797034813
-143 0.169877461778211 2 256 "GO:0000280;GO:0048285" "organelle fission" 0.985762797034813
-302 0.100679735529293 3 80 "GO:0000281" "mitotic cytokinesis" 0.985762797034813
243 0.348911845528543 2 40 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.991682212078002
240 0.522116537615366 8 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.993705287826823
1190 0.0742091077804368 2 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.985762797034813
306 0.380633121784957 2 22 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.993705287826823
-268 0.085154736347382 4 112 "GO:0000302" "response to reactive oxygen species" 0.985762797034813
-177 0.646081709079894 3 18 "GO:0000303;GO:0000305" "response to oxygen radical" 0.993705287826823
266 0.666476166855309 2 7 "GO:0000338" "protein deneddylation" 0.993705287826823
-87 0.381076754879603 8 286 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.993705287826823
-417 0.357787438326481 2 13 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.993705287826823
78 0.747523709246228 2 46 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.993705287826823
30 0.926717232267608 2 26 "GO:0000387" "spliceosomal snRNP assembly" 0.995582361013767
-345 0.576684036666828 3 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.993705287826823
308 0.618013183632488 2 7 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.993705287826823
533 0.327639628659231 8 9 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.985762797034813
246 0.534177300884068 2 17 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.993705287826823
19 0.975130772748939 3 7 "GO:0000414" "regulation of histone H3-K36 methylation" 0.999098575821571
788 0.009479897387231 4 29 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.985762797034813
-120 0.869216890520239 2 5 "GO:0000423" "mitophagy" 0.993705287826823
