"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-816 0.0564271764848993 3 11 "GO:0000030" "mannosyltransferase activity" 0.757064617839066
272 0.311224400213206 2 28 "GO:0000049" "tRNA binding" 0.89301064076281
63 0.859281524577593 6 16 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.990781188793483
-25 0.93251291938127 4 23 "GO:0000146;GO:0030898" "microfilament motor activity" 0.991597550773723
-453 0.00456774337607576 3 80 "GO:0000149;GO:0019905" "SNARE binding" 0.551555012661148
-4 0.949845659671187 3 530 "GO:0000166;GO:1901265;GO:0097367" "nucleoside phosphate binding" 0.991597550773723
-177 0.524961049182538 2 26 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.927338599075992
-544 0.277810351963165 2 8 "GO:0000182" "rDNA binding" 0.886570268747172
174 0.646376022967086 3 14 "GO:0000217" "DNA secondary structure binding" 0.95845872425626
-282 0.0615382855609323 4 90 "GO:0000287" "magnesium ion binding" 0.761808577771788
477 0.451756667091649 6 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.90993239248017
534 0.120832238806336 2 17 "GO:0000339" "RNA cap binding" 0.767920675571846
441 0.281106710355499 6 12 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.886570268747172
-74 0.876477339568134 4 9 "GO:0000400" "four-way junction DNA binding" 0.990781188793483
866 0.171985554135278 2 5 "GO:0000403" "Y-form DNA binding" 0.815438403671586
-563 0.374803646188892 4 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.897389267163575
-910 0.151146270731061 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.805912107010446
175 0.7115687179347 2 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.959135201616147
21 0.84025565571116 2 195 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.990781188793483
-116 0.364243953399482 2 125 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.897389267163575
-223 0.619621291327188 2 10 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.953111731563796
1 0.997171345769101 8 28 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.999483912531672
-25 0.759168482410102 2 311 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.966013170284454
203 0.473794155968465 -1 25 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.915570797665459
-27 0.935899356204805 4 18 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.991597550773723
-58 0.927146332341848 4 5 "GO:0001013;GO:0001163" "RNA polymerase I regulatory region DNA binding" 0.991597550773723
-740 0.243006958819566 4 5 "GO:0001016;GO:0001032" "RNA polymerase III regulatory region DNA binding" 0.874794532025986
-147 0.598218047579544 2 26 "GO:0001047;GO:0001046" "core promoter binding" 0.945791544945727
-61 0.916064567153486 3 6 "GO:0001069" "regulatory region RNA binding" 0.990901243249734
304 0.0599357220053109 2 78 "GO:0001085" "RNA polymerase II transcription factor binding" 0.761808577771788
29 0.948511485953105 5 10 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.991597550773723
119 0.851802106578399 2 5 "GO:0001094" "TFIID-class transcription factor complex binding" 0.990781188793483
21 0.940484570924986 2 25 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.991597550773723
533 0.101430121012742 2 19 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.761808577771788
158 0.665561816941571 2 15 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.95845872425626
19 0.935285087742335 7 39 "GO:0001158;GO:0035326" "enhancer binding" 0.991597550773723
237 0.658296665638831 4 7 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.95845872425626
