gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.001770053143288,0.12250554185123348,-8.177344779714563,2.9016685572857967e-16,5.124927005878174e-12,Variable vs Control
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.017536007236897,0.10422577052115534,-9.76280628244779,1.6259262655731358e-22,1.3278126847803015e-18,Variable vs Initial
Pseudodiploria192509,positive regulation of protein folding,53.645487179473186,-1.092888714044187,0.15612273392658796,-7.000189444274562,2.556166340676481e-12,2.2573504954514002e-8,Variable vs Control
Pseudodiploria192509,positive regulation of protein folding,53.645487179473186,-1.142028906518378,0.13200000580987536,-8.651733759491538,5.072286762728691e-18,2.0711414923911928e-14,Variable vs Initial
Pseudodiploria196007,NA,11.087177082923011,-1.8737941064878256,0.314102626535646,-5.96554739816917,2.4381525715247875e-9,1.0765662679567698e-5,Variable vs Control
Pseudodiploria196007,NA,11.087177082923011,-1.5181740914409154,0.27656972656362594,-5.489299607387266,4.035306408621117e-8,3.295432978600435e-5,Variable vs Initial
Pseudodiploria197331,NA,29.598022401184316,1.125407469054187,0.24686101624252832,4.558870761305349,5.1429406330129594e-6,0.01135432718253436,Variable vs Control
Pseudodiploria197331,NA,29.598022401184316,1.1872843038277998,0.199073461801151,5.964051125075353,2.4605969460867796e-9,3.349077493369614e-6,Variable vs Initial
Pseudodiploria179906,zinc ion binding,17.367238928499365,1.1243576573234555,0.2748073254569719,4.09143990413568,4.287030458959477e-5,0.04196844862237024,Variable vs Control
Pseudodiploria193272,NA,1.56025342305242,-3.2116934703612214,0.774081282880335,-4.149039049763093,3.3387385936155366e-5,0.0368555006502735,Variable vs Control
Pseudodiploria194656,Eukaryotic peptide chain release factor subunit,14.511032242694029,1.168115516777994,0.25866322544584314,4.51597058207474,6.302741437029978e-6,0.01236877991786927,Variable vs Control
Pseudodiploria195980,NA,25.207985185723015,-2.2388292350409835,0.554820546410644,-4.0352313005076414,5.454853366010719e-5,0.04587791435737205,Variable vs Control
Pseudodiploria166380,NA,2.6132574145183955,-2.4193471841986076,0.6570574959326467,-3.682093575029557,2.3132646669069215e-4,0.03668208913067063,Variable vs Initial
Pseudodiploria168212,NA,1.77711068849387,-3.0428702583011553,0.7791350113591553,-3.905446699145308,9.40514878421461e-5,0.01944484748007306,Variable vs Initial
Pseudodiploria168214,NA,7.041949274090074,1.2253127017773784,0.27803686219316687,4.4070152860741505,1.0480479439806632e-5,0.0034934218508237,Variable vs Initial
Pseudodiploria168526,NA,46.467567803760254,-1.0722174309194614,0.16187100665196455,-6.623900432180629,3.498424580185629e-11,6.348863185352432e-8,Variable vs Initial
Pseudodiploria168627,-,208.39405518866533,-1.0013907376936202,0.147692808457896,-6.780226797427952,1.1998737324136555e-11,3.2662562785853735e-8,Variable vs Initial
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,18.00992505305566,-1.243740941972193,0.34851203119466784,-3.5687173774424976,3.5873314523832264e-4,0.04511269757998956,Variable vs Initial
Pseudodiploria171308,NA,26.801276902310807,-1.3807465062832966,0.3365527618870057,-4.10261528843691,4.085061862681863e-5,0.01042520553174732,Variable vs Initial
Pseudodiploria172053,NA,2.0020577391541345,1.8193429513968595,0.5071557913530336,3.587345313642305,3.3406179146185767e-4,0.04472320688480755,Variable vs Initial
Pseudodiploria173599,NA,522.761945392215,-1.0017313623635666,0.14873546834930867,-6.734986439219577,1.6394522446928704e-11,3.4514925336116664e-8,Variable vs Initial
Pseudodiploria173906,NA,7.129805013714844,-1.3618160844335765,0.32718292371167884,-4.162246822006029,3.15131453914632e-5,0.00857840339464614,Variable vs Initial
Pseudodiploria174658,NA,5.205268064388636,-1.3472361649636495,0.37240349655171834,-3.617678613220403,2.972571870029029e-4,0.04296550119750808,Variable vs Initial
Pseudodiploria175640,Belongs to the AAA ATPase family,2.732852698521669,2.1086048840558296,0.5195827205721225,4.058265990320087,4.943843931776871e-5,0.01242273891349409,Variable vs Initial
Pseudodiploria177399,NA,3.4595297103008673,1.374846989549978,0.38469659419109914,3.573847573152724,3.517737584492359e-4,0.04511269757998956,Variable vs Initial
Pseudodiploria184239,NA,34.34470794615884,1.0985163669531048,0.2779548816194581,3.952139140542455,7.745567946776109e-5,0.01757060573259641,Variable vs Initial
Pseudodiploria184632,glycoside hydrolase family 63,6.875471397955784,1.54922226880263,0.3616600544404503,4.283642193217995,1.8385850382362114e-5,0.00566596404330415,Variable vs Initial
Pseudodiploria184779,NA,7.323648364400161,1.2498461327367911,0.292242121541929,4.276748766202313,1.896426166492699e-5,0.00573598677357875,Variable vs Initial
Pseudodiploria184992,NA,16.23858666109251,1.0416587994096689,0.23588325091209933,4.4159930617449294,1.0054730930004398e-5,0.00342133167249503,Variable vs Initial
Pseudodiploria187209,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",42.96291456923826,1.2955599753043916,0.30615006181504445,4.231780871196044,2.3184823390503668e-5,0.00652892621443269,Variable vs Initial
Pseudodiploria187226,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport,7.595918392831541,-1.998279818914104,0.3799675957584221,-5.259079566839119,1.447782396449413e-7,1.0748468127821938e-4,Variable vs Initial
Pseudodiploria187669,NA,2.500353888414887,-2.4480148330197897,0.6097788206942205,-4.014594718512486,5.95480270239989e-5,0.01389425607689962,Variable vs Initial
Pseudodiploria190873,Collagen triple helix,11.430282190002467,-1.1768449432383363,0.3269286140483891,-3.599700034406136,3.185844776433843e-4,0.04447384849016577,Variable vs Initial
Pseudodiploria190913,NA,4.020500213300091,-1.75155225501307,0.4627975549246173,-3.784705075415472,1.538909652129624e-4,0.02645790668235068,Variable vs Initial
Pseudodiploria191664,NA,2.632909847397857,-2.3430890218384497,0.6200314189724355,-3.778984338763993,1.5746932649659067e-4,0.02679110947571682,Variable vs Initial
