Species,Genotype,Sample ID,Sample_ID,Date Sampled,Treatment
Acer,SI-C,5,Acer.005,3/22/22,Initial
Acer,BC-8b,9,Acer.009,3/22/22,Initial
Acer,BC-8b,19,Acer.019,3/22/22,Initial
Acer,MB-B,21,Acer.021,3/22/22,Initial
Acer,BC-8b,22,Acer.022,3/22/22,Initial
Acer,SI-C,29,Acer.029,3/22/22,Initial
Acer,BC-8b,30,Acer.030,4/20/22,Variable
Acer,SI-C,34,Acer.034,3/22/22,Initial
Acer,MB-B,38,Acer.038,4/20/22,Variable
Acer,MB-B,41,Acer.041,4/20/22,Variable
Acer,MB-B,42,Acer.042,3/22/22,Initial
Acer,BC-8b,43,Acer.043,3/22/22,Initial
Acer,BC-8b,45,Acer.045,3/22/22,Initial
Acer,MB-B,55,Acer.055,3/22/22,Initial
Acer,MB-B,56,Acer.056,4/20/22,Control
Acer,MB-B,57,Acer.057,4/20/22,Control
Acer,MB-B,59,Acer.059,4/20/22,Variable
Acer,BC-8b,63,Acer.063,3/22/22,Initial
Acer,SI-C,64,Acer.064,3/22/22,Initial
Acer,BC-8b,68,Acer.068,4/20/22,Variable
Acer,SI-C,69,Acer.069,4/20/22,Variable
Acer,BC-8b,72,Acer.072,4/20/22,Control
Acer,MB-B,74,Acer.074,4/20/22,Variable
Acer,SI-C,78,Acer.078,3/22/22,Initial
Acer,SI-C,79,Acer.079,3/22/22,Initial
Acer,SI-C,82,Acer.082,4/20/22,Control
Acer,MB-B,83,Acer.083,3/22/22,Initial
Acer,BC-8b,89,Acer.089,4/20/22,Control
Acer,BC-8b,91,Acer.091,4/20/22,Variable
Acer,MB-B,94,Acer.094,3/22/22,Initial
Acer,SI-C,95,Acer.095,3/22/22,Initial
Acer,SI-C,96,Acer.096,4/20/22,Variable
Acer,MB-B,97,Acer.097,4/20/22,Control
Acer,MB-B,102,Acer.102,3/22/22,Initial
Acer,SI-C,106,Acer.106,4/20/22,Control
Acer,BC-8b,108,Acer.108,4/20/22,Control
Acer,BC-8b,110,Acer.110,3/22/22,Initial
Acer,MB-B,112,Acer.112,3/22/22,Initial
Acer,SI-C,113,Acer.113,4/20/22,Variable
Acer,SI-C,114,Acer.114,4/20/22,Control
Acer,SI-C,123,Acer.123,4/20/22,Control
Acer,BC-8b,124,Acer.124,3/22/22,Initial
Acer,BC-8b,137,Acer.137,4/20/22,Variable
Acer,SI-C,139,Acer.139,3/22/22,Initial
Acer,SI-C,141,Acer.141,4/20/22,Variable
Acer,MB-B,143,Acer.143,4/20/22,Control
Acer,BC-8b,146,Acer.146,4/20/22,Control
Acer,MB-B,150,Acer.150,3/22/22,Initial
Pcli,C,3,Pcli-003,4/20/22,Control
Pcli,A,4,Pcli-004,4/20/22,Control
Pcli,B,6,Pcli-006,4/20/22,Variable
Pcli,A,8,Pcli-008,4/20/22,Variable
Pcli,A,11,Pcli-011,3/22/22,Initial
Pcli,C,15,Pcli-015,4/20/22,Variable
Pcli,C,18,Pcli-018,4/20/22,Variable
Pcli,B,24,Pcli-024,4/20/22,Control
Pcli,A,26,Pcli-026,3/22/22,Initial
Pcli,C,28,Pcli-028,3/22/22,Initial
Pcli,B,29,Pcli-029,3/22/22,Initial
Pcli,A,33,Pcli-033,3/22/22,Initial
Pcli,C,38,Pcli-038,4/20/22,Control
Pcli,C,39,Pcli-039,4/20/22,Variable
Pcli,C,40,Pcli-040,3/22/22,Initial
Pcli,B,45,Pcli-045,3/22/22,Initial
Pcli,B,49,Pcli-049,4/20/22,Control
Pcli,A,50,Pcli-050,4/20/22,Control
Pcli,B,52,Pcli-052,3/22/22,Initial
Pcli,B,55,Pcli-055,3/22/22,Initial
Pcli,A,58,Pcli-058,4/20/22,Control
Pcli,C,64,Pcli-064,4/20/22,Control
Pcli,B,66,Pcli-066,4/20/22,Control
Pcli,C,67,Pcli-067,3/22/22,Initial
Pcli,A,69,Pcli-069,4/20/22,Control
Pcli,B,70,Pcli-070,3/22/22,Initial
Pcli,A,75,Pcli-075,3/22/22,Initial
Pcli,C,76,Pcli-076,4/20/22,Variable
Pcli,A,77,Pcli-077,3/22/22,Initial
Pcli,B,79,Pcli-079,4/20/22,Variable
Pcli,C,91,Pcli-091,3/22/22,Initial
Pcli,C,94,Pcli-094,3/22/22,Initial
Pcli,B,96,Pcli-096,4/20/22,Variable
Pcli,A,101,Pcli-101,4/20/22,Variable
Pcli,C,103,Pcli-103,3/22/22,Initial
Pcli,B,105,Pcli-105,3/22/22,Initial
Pcli,B,109,Pcli-109,4/20/22,Variable
Pcli,A,111,Pcli-111,3/22/22,Initial
Pcli,B,114,Pcli-114,3/22/22,Initial
Pcli,C,115,Pcli-115,3/22/22,Initial
Pcli,B,120,Pcli-120,3/22/22,Initial
Pcli,B,124,Pcli-124,4/20/22,Control
Pcli,A,126,Pcli-126,3/22/22,Initial
Pcli,A,128,Pcli-128,3/22/22,Initial
Pcli,A,130,Pcli-130,4/20/22,Variable
Pcli,A,132,Pcli-132,4/20/22,Variable
Pcli,C,135,Pcli-135,4/20/22,Control
Pcli,C,148,Pcli-148,3/22/22,Initial
