	Pcli-003	Pcli-004	Pcli-006	Pcli-008	Pcli-011	Pcli-015	Pcli-018	Pcli-024	Pcli-026	Pcli-028	Pcli-029	Pcli-033	Pcli-038	Pcli-039	Pcli-040	Pcli-045	Pcli-049	Pcli-050	Pcli-052	Pcli-055	Pcli-058	Pcli-064	Pcli-066	Pcli-067	Pcli-069	Pcli-070	Pcli-075	Pcli-076	Pcli-077	Pcli-079	Pcli-091	Pcli-094	Pcli-096	Pcli-101	Pcli-103	Pcli-105	Pcli-109	Pcli-111	Pcli-114	Pcli-115	Pcli-120	Pcli-124	Pcli-126	Pcli-128	Pcli-130	Pcli-132	Pcli-135	Pcli-148	
Breviolum164223	5	0	8	11	0	12	1	13	1	6	12	21	8	0	5	2	8	5	15	0	2	1	0	1	3	15	8	2	5	1	2	8	13	6	17	14	25	3	1	6	14	2	35	38	15	1	3	21	
Breviolum164243	0	0	1	1	0	0	0	0	1	0	1	3	0	3	0	0	1	1	1	0	0	1	0	0	3	2	3	0	0	0	3	1	4	4	0	2	4	0	0	0	5	0	7	7	0	0	1	1	
Breviolum164253	4	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	2	0	0	1	0	1	6	0	0	0	1	
Breviolum16426	0	0	1	1	0	0	0	2	0	0	1	7	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	2	0	0	0	5	0	3	6	2	0	0	0	
Breviolum164263	1	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	
Breviolum16431	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum164313	0	1	2	5	0	1	1	0	0	15	9	11	6	1	2	2	1	1	6	0	0	1	0	3	1	9	11	4	0	3	2	0	1	5	2	5	18	15	0	2	22	1	16	26	6	0	4	9	
Breviolum164315	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	
Breviolum164325	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum164328	1	0	0	3	0	0	2	3	0	2	1	5	2	0	0	2	1	0	2	0	0	0	0	0	0	7	1	1	0	0	0	0	0	1	0	0	5	1	0	2	1	0	3	5	1	0	0	1	
