"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-529 0.307554927798687 2 6 "GO:0000109" "nucleotide-excision repair complex" 0.989795245091916
-61 0.791789073805422 3 30 "GO:0000118" "histone deacetylase complex" 0.989795245091916
216 0.179076425176773 2 63 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.989795245091916
-242 0.547297128959655 2 10 "GO:0000124" "SAGA complex" 0.989795245091916
-22 0.958674595694395 2 9 "GO:0000125" "PCAF complex" 0.989795245091916
113 0.77822794842866 2 10 "GO:0000137" "Golgi cis cisterna" 0.989795245091916
212 0.479898823357445 2 18 "GO:0000138" "Golgi trans cisterna" 0.989795245091916
-28 0.752397483871956 4 216 "GO:0000139" "Golgi membrane" 0.989795245091916
338 0.5515697050388 2 5 "GO:0000145" "exocyst" 0.989795245091916
2 0.982061190823368 2 143 "GO:0000151" "ubiquitin ligase complex" 0.99050297756397
176 0.545502018764079 3 19 "GO:0000152" "nuclear ubiquitin ligase complex" 0.989795245091916
-176 0.603695847879527 3 14 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.989795245091916
76 0.87419399459769 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.989795245091916
330 0.492266572979324 4 7 "GO:0000164" "protein phosphatase type 1 complex" 0.989795245091916
-396 0.377975481228508 2 8 "GO:0000176" "nuclear exosome (RNase complex)" 0.989795245091916
766 0.177274228410397 3 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.989795245091916
-72 0.850410862291864 3 11 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.989795245091916
51 0.539054722470352 2 244 "GO:0000228;GO:0044454" "nuclear chromosome" 0.989795245091916
-306 0.523114262213102 2 7 "GO:0000235" "astral microtubule" 0.989795245091916
75 0.818187712680362 2 15 "GO:0000242" "pericentriolar material" 0.989795245091916
146 0.69039858259177 3 12 "GO:0000243" "commitment complex" 0.989795245091916
430 0.369997609752281 5 7 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.989795245091916
493 0.384969670736673 4 5 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.989795245091916
-476 0.402278254384226 4 5 "GO:0000306" "extrinsic component of vacuolar membrane" 0.989795245091916
-299 0.378499389325851 2 14 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.989795245091916
-177 0.386156139413016 2 39 "GO:0000313;GO:0005761" "organellar ribosome" 0.989795245091916
-141 0.667724737072429 4 15 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.989795245091916
-348 0.210440123689398 3 21 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.989795245091916
16 0.953848673592574 4 22 "GO:0000322;GO:0000324" "storage vacuole" 0.989795245091916
-77 0.329765059369974 4 273 "GO:0000323;GO:0005764" "lytic vacuole" 0.989795245091916
70 0.8769638415571 4 8 "GO:0000325;GO:0009705" "plant-type vacuole" 0.989795245091916
-191 0.691018107471573 2 7 "GO:0000329" "fungal-type vacuole membrane" 0.989795245091916
-359 0.454020135568499 4 7 "GO:0000346" "transcription export complex" 0.989795245091916
-971 0.0610083310813274 2 6 "GO:0000347;GO:0000445" "THO complex" 0.989795245091916
81 0.755310659446987 3 24 "GO:0000407" "phagophore assembly site" 0.989795245091916
479 0.191387914246331 5 12 "GO:0000421" "autophagosome membrane" 0.989795245091916
-34 0.805662772828578 4 84 "GO:0000428;GO:0030880;GO:0016591;GO:0055029" "RNA polymerase complex" 0.989795245091916
92 0.53844683321148 4 73 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.989795245091916
412 0.391214867586778 4 7 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.989795245091916
147 0.306713540865094 2 79 "GO:0000775" "chromosome, centromeric region" 0.989795245091916
166 0.35643304851898 3 50 "GO:0000776" "kinetochore" 0.989795245091916
431 0.120818059184356 2 21 "GO:0000777" "condensed chromosome kinetochore" 0.989795245091916
235 0.578449676613171 2 9 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.989795245091916
117 0.621941061085267 2 29 "GO:0000779" "condensed chromosome, centromeric region" 0.989795245091916
344 0.294613961749245 3 15 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.989795245091916
-186 0.374738944650897 2 37 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.989795245091916
-545 0.337165681179128 2 5 "GO:0000782;GO:0000783" "telomere cap complex" 0.989795245091916
129 0.116035079712792 2 255 "GO:0000785" "chromatin" 0.989795245091916
-87 0.797249129353262 2 14 "GO:0000786" "nucleosome" 0.989795245091916
-231 0.60649172590891 3 8 "GO:0000788" "nuclear nucleosome" 0.989795245091916
