"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-35 0.926612673987012 2 7 "GO:0000030" "mannosyltransferase activity" 0.982029009148961
-208 0.372657179848422 4 19 "GO:0000049" "tRNA binding" 0.933994522704394
-379 0.289738037773473 2 8 "GO:0000062" "fatty-acyl-CoA binding" 0.902663360757546
-137 0.653314230268638 2 11 "GO:0000146;GO:0030898" "microfilament motor activity" 0.971537206041167
-62 0.701617754031619 3 40 "GO:0000149;GO:0019905" "SNARE binding" 0.971537206041167
-4 0.944269694972782 2 366 "GO:0000166;GO:1901265;GO:0097367" "nucleotide binding" 0.985150078855808
-220 0.386678402847379 2 16 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.935034556138736
-304 0.397077452853793 2 8 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.936477167194367
10 0.939796467361278 2 63 "GO:0000287" "magnesium ion binding" 0.985150078855808
14 0.963212077355345 2 12 "GO:0000295;GO:0005346" "purine ribonucleotide transmembrane transporter activity" 0.986731910330059
342 0.224303077184978 2 13 "GO:0000339;GO:0000340" "RNA cap binding" 0.882997315014521
-684 0.131475358926878 3 5 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.882997315014521
31 0.677814521529996 2 191 "GO:0000976;GO:0044212;GO:1990837;GO:0001067" "regulatory region nucleic acid binding" 0.971537206041167
49 0.59177956546469 3 125 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.971537206041167
-40 0.717112271797753 2 88 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.971537206041167
-22 0.940353785545243 4 12 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.985150078855808
-43 0.555171419848866 3 209 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.971537206041167
66 0.747129723005623 -1 25 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.97873491864792
4 0.988037285719103 5 12 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.993251202794138
-93 0.822312759598491 5 6 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region DNA binding" 0.97873491864792
-98 0.611305176852126 2 28 "GO:0001047;GO:0001046" "core promoter binding" 0.971537206041167
-87 0.71536145253054 -1 18 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.971537206041167
-121 0.445305098925338 4 41 "GO:0001085" "RNA polymerase II transcription factor binding" 0.950579068437631
630 0.127968513442144 2 6 "GO:0001091;GO:0001094" "RNA polymerase II general transcription initiation factor binding" 0.882997315014521
