gene,lpv
Acropora1,-0.200917523
Acropora2,-0.626398147
Acropora3,-0.073880916
Acropora6,0.453925744
Acropora7,-0.427691562
Acropora8,-0.217805211
Acropora12,0.472236164
Acropora13,0.0455637
Acropora19,-0.119884831
Acropora20,-0.28348505
Acropora21,2.999616997
Acropora23,0.767464057
Acropora24,0.645086035
Acropora26,-0.016011057
Acropora27,-0.098782119
Acropora28,0.339696063
Acropora29,-1.21355884
Acropora30,-2.738663886
Acropora31,0.194812515
Acropora32,0.004921714
Acropora33,2.011823704
Acropora34,0.052954367
Acropora36,-1.022457508
Acropora39,-0.056822622
Acropora40,-0.122406961
Acropora41,1.062431243
Acropora46,0.445164185
Acropora47,0.297378904
Acropora48,0.239412064
Acropora49,-3.529499341
Acropora50,-0.472812664
Acropora51,-0.28325087
Acropora52,0.035747257
Acropora54,-2.271738543
Acropora55,-0.321578434
Acropora56,-1.683058733
Acropora57,-0.276305447
Acropora59,-1.166565921
Acropora60,-0.053251465
Acropora62,-0.132196459
Acropora66,-0.029387499
Acropora67,-0.134232381
Acropora68,-0.540479918
Acropora69,-0.350801272
Acropora72,0.042328663
Acropora76,-0.119749794
Acropora77,0.061065179
Acropora78,-0.132068249
Acropora79,0.333776574
Acropora81,0.980262803
Acropora82,0.091557784
Acropora83,0.555064891
Acropora84,0.307051739
Acropora85,0.437347139
Acropora86,-0.152636976
Acropora87,3.374254667
Acropora88,-0.447193282
Acropora92,-0.16186434
Acropora94,-0.849589699
Acropora95,0.091722885
Acropora96,0.902152281
Acropora99,-0.20004612
Acropora100,-0.506623361
Acropora101,0.037912189
Acropora102,-0.758670176
Acropora103,0.062241054
Acropora105,-0.317542172
Acropora109,-0.191652624
Acropora110,0.527042161
Acropora112,-0.186055454
Acropora113,-1.11313299
Acropora114,-1.190892469
Acropora117,-0.085408659
Acropora119,0.044677237
Acropora120,-0.041274047
Acropora121,-1.348441756
Acropora122,0.609885371
Acropora123,0.91753627
Acropora125,-0.635386476
Acropora132,-0.374399721
Acropora135,0.611697376
Acropora137,0.155130136
Acropora138,-0.243115826
Acropora139,0.32473495
Acropora140,3.366421034
Acropora141,-1.768098911
Acropora143,0.22077889
Acropora146,-2.641737309
Acropora147,-6.389305888
Acropora148,0.087665961
Acropora151,3.724336973
Acropora152,2.095223121
Acropora153,1.018428115
Acropora154,0.223140807
Acropora155,-2.334391531
Acropora156,0.818145326
Acropora158,0.355897992
Acropora159,0.723292473
Acropora160,0.13438243
Acropora161,0.151361152
Acropora162,0.160466874
Acropora165,-0.374426595
Acropora166,-0.358176843
Acropora171,-0.460391424
Acropora178,-0.188142292
Acropora180,-0.032763789
Acropora181,0.073140087
Acropora182,0.109254441
