name	term	lev	seq	value
"transferase activity, transferring aldehyde or ketonic groups"	GO:0016744	3	Acropora1127	-6.76969206438944
"transferase activity, transferring aldehyde or ketonic groups"	GO:0016744	3	Acropora4064	0.576895124331288
"transferase activity, transferring aldehyde or ketonic groups"	GO:0016744	3	Acropora5784	0.589238586183038
"transferase activity, transferring aldehyde or ketonic groups"	GO:0016744	3	Acropora1951	-6.28246164754644
"transferase activity, transferring aldehyde or ketonic groups"	GO:0016744	3	Acropora728	-16.6224503287158
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora13784	-1.09641843222962
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora16461	0.52483022544381
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora7471	-0.00955752643482908
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora8164	1.42632543889825
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora16707	1.33812562969811
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora405	-7.42764643388877
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora16140	1.96656494784843
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora16679	-0.0753995107856843
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora25182	-0.218800440105574
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora5075	-8.12430701506371
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora1099	-7.26044482910794
"ARF guanyl-nucleotide exchange factor activity"	GO:0005086	2	Acropora14176	0.362761781171286
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora14019	0.00876531205434643
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora216	-15.7449358567586
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora18575	0.476603582406548
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora34686	0.188035815200325
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora34915	-2.13037367723342
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora5265	0.306322031558063
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora26128	1.52069841500625
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora26580	0.967426752921314
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora87234	0.665375599001264
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora23082	0.149208605949519
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora41272	0.00331858731557448
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora12849	-6.6935612474494
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora8786	-3.09776157735443
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora37479	0.422719367188031
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora21157	2.46843634950591
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora3349	1.22113828408506
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora20808	-0.565737545317343
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora50442	0.484423698390032
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora41665	-4.36874269109024
"endodeoxyribonuclease activity"	GO:0004520	2	Acropora59817	0.539639403012464
