"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.200482396023085 3 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.450905432595573
0 0.539005295759173 2 49 "GO:0000049" "tRNA binding" 0.835483870967742
0 0.00151192173057106 2 23 "GO:0000146;GO:0030898" "microfilament motor activity" 0.0147058823529412
0 0.144313381807481 2 96 "GO:0000149;GO:0019905" "SNARE binding" 0.367808219178082
0 0.48887664054859 2 713 "GO:0000166;GO:1901265;GO:0097367" "nucleoside phosphate binding" 0.775623268698061
0 0.362425540800698 2 41 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.66241935483871
0 0.163564932988072 2 10 "GO:0000182" "rDNA binding" 0.395869565217391
0 0.0744188635403685 4 23 "GO:0000217" "DNA secondary structure binding" 0.245086705202312
0 0.292416670140821 5 118 "GO:0000287" "magnesium ion binding" 0.562988115449915
0 0.428383313760077 4 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.705467625899281
0 0.509387645174531 2 13 "GO:0000400" "four-way junction DNA binding" 0.799180327868853
0 0.0109674984567674 5 7 "GO:0000403" "Y-form DNA binding" 0.0751445086705202
0 0.0397961444083306 2 5 "GO:0000404" "heteroduplex DNA loop binding" 0.159649122807018
0 0.140815818171968 2 8 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.360689655172414
0 6.65669123697894e-14 2 305 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0
0 7.83426006114263e-09 2 200 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0
0 0.00303889151583712 2 18 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.0269230769230769
0 0.0381215514868692 7 52 "GO:0000980;GO:0001158;GO:0035326" "enhancer binding" 0.152816901408451
0 3.90651596393342e-15 3 463 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0
0 0.0127126945637697 -1 53 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.0798913043478261
0 0.0151641644881669 3 28 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.0861538461538462
0 0.0656829613431201 5 9 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region DNA binding" 0.227051671732523
0 0.395823271314812 6 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.663810930576071
0 0.190354595729676 2 7 "GO:0001032;GO:0000992;GO:0001006" "RNA polymerase III type 3 promoter DNA binding" 0.434489795918367
0 6.39551266746055e-05 2 36 "GO:0001046" "core promoter sequence-specific DNA binding" 0
0 4.08236204777788e-05 2 52 "GO:0001047" "core promoter binding" 0
0 0.000120019016310897 4 101 "GO:0001085" "RNA polymerase II transcription factor binding" 0
