"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.656525884420666 2 20 "GO:0000030" "mannosyltransferase activity" 0.971577574967405
0 0.622579063404293 5 46 "GO:0000049" "tRNA binding" 0.947248322147651
0 0.0290637221794753 3 23 "GO:0000146;GO:0030898" "microfilament motor activity" 0.136507936507936
0 0.00658118115021309 2 92 "GO:0000149;GO:0019905" "SNARE binding" 0.0466666666666667
0 0.609939882874005 2 679 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.93527815468114
0 0.518203747142671 2 39 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.860352422907489
0 0.807787328334865 3 21 "GO:0000217" "DNA secondary structure binding" 1
0 0.699571157484093 3 117 "GO:0000287" "magnesium ion binding" 1
0 0.381904961495651 3 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.733165829145729
0 0.145752824217724 2 8 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.4025
0 1.21598618248552e-13 6 293 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0
0 1.03597195282897e-07 2 191 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0
0 0.0113394134220898 2 18 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.072972972972973
0 0.0192517959626149 2 36 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.101382488479263
0 3.77015862092748e-15 3 443 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0
0 0.00572702494898466 -1 51 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.0391608391608392
0 0.137712080526831 2 26 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.401923076923077
0 0.0104738773250105 6 9 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region DNA binding" 0.0707865168539326
0 0.000878584623454873 2 36 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0024390243902439
0 0.000138561445318708 3 52 "GO:0001047" "core promoter binding" 0
0 0.000952764480138568 2 98 "GO:0001085" "RNA polymerase II transcription factor binding" 0.00232558139534884
0 0.706800673766983 2 17 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 0.28482738284978 2 39 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.603642987249545
0 0.00190685959989175 2 25 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.011214953271028
0 0.13639750614106 2 26 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.398313253012048
0 0.0204183453671137 2 8 "GO:0001134;GO:0001135" "transcription regulator recruiting activity" 0.105855855855856
0 0.00893326188342393 7 49 "GO:0001158;GO:0035326" "enhancer binding" 0.0627218934911243
0 0.0112795726103133 -1 8 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.0733695652173913
0 0.00286755778824236 2 22 "GO:0001221" "transcription cofactor binding" 0.0225806451612903
0 0.0771766690639156 2 8 "GO:0001222" "transcription corepressor binding" 0.278362573099415
