gene,Fish_kME
Acropora0,0.707435230831592
Acropora1,0
Acropora10,0
Acropora100,0
Acropora1000,0
Acropora10000,0
Acropora10001,0
Acropora10002,0
Acropora10003,0
Acropora10004,0.685502252754959
Acropora10005,0
Acropora10007,0
Acropora10008,0
Acropora10009,0.766756809032452
Acropora1001,0
Acropora10011,0.699779462582629
Acropora10012,0.674026230462502
Acropora10013,0
Acropora10014,0.497428094166536
Acropora10015,0
Acropora10016,0.720289191278328
Acropora10017,0
Acropora10018,0.592016163009723
Acropora1002,0
Acropora10020,0
Acropora10021,0.866457013863563
Acropora10022,0
Acropora10023,0.8449719620531
Acropora10024,0
Acropora10025,0
Acropora10026,0
Acropora10027,0.778485763316561
Acropora10029,0.716266897216954
Acropora1003,0
Acropora10030,0
Acropora10031,0.914109373914198
Acropora10032,0
Acropora10033,0
Acropora10034,0
Acropora10035,0
Acropora10036,0.802341125247542
Acropora10037,0
Acropora10038,0
Acropora10039,0
Acropora1004,0
Acropora10041,0
Acropora10042,0
Acropora10044,0
Acropora10045,0.846601967566627
Acropora10047,0.411137357961454
Acropora10048,0
Acropora10049,0
Acropora1005,0
Acropora10050,0
Acropora10051,0.409412818713796
Acropora10052,0
Acropora10055,0
Acropora10058,0.84803019700335
Acropora1006,0
Acropora10060,0
Acropora10061,0
Acropora10062,0.457287230339839
Acropora10063,0.588325772819113
Acropora10064,0
Acropora10065,0
Acropora10066,0
Acropora10067,0
Acropora10068,0
Acropora10069,0
Acropora1007,0
Acropora10071,0
Acropora10073,0
Acropora10075,0
Acropora10077,0
Acropora10078,0.241097919704007
Acropora10079,0
Acropora1008,0
Acropora10080,0
Acropora10081,0
Acropora10082,0
Acropora10083,0
Acropora10084,0
Acropora10086,0
Acropora10087,0
Acropora10088,0
Acropora1009,0
Acropora10090,0.256983070210214
Acropora10092,0
Acropora10093,0
Acropora10094,0.628221799331637
Acropora10095,0
Acropora10098,0.528214843261367
Acropora101,0
Acropora1010,0
Acropora10102,0.806547313986756
Acropora10103,0
Acropora10104,0
Acropora10105,0.898954440232741
Acropora10107,0
Acropora10108,0
Acropora10109,0
Acropora1011,0
Acropora10110,0
Acropora10111,0
Acropora10112,0
Acropora10114,0
Acropora10115,0
Acropora10117,0
Acropora10118,0
Acropora10119,0
Acropora1012,0
Acropora10120,0
Acropora10121,0.516836974513612
Acropora10123,0
Acropora10125,0
Acropora10126,0
Acropora10127,0
Acropora10129,0.297986697869581
Acropora1013,0
Acropora10130,0.705714457316612
Acropora10132,0
Acropora10133,0
Acropora10134,0
Acropora10139,0
Acropora1014,0
Acropora10140,0.593444037100569
Acropora10141,0
Acropora10142,0
Acropora10143,0
Acropora10144,0
Acropora10145,0.292633212987965
Acropora10147,0.446437929076456
Acropora10148,0
Acropora10149,0.325842368286312
Acropora1015,0
Acropora10150,0
Acropora10151,0
Acropora10152,0
Acropora10153,0.386207840976957
Acropora10154,0
