gene,Fish_kME
Acropora0,0
Acropora1,0
Acropora10,0.877384720051147
Acropora100,0
Acropora1000,0.634009373327146
Acropora10000,0
Acropora10001,0
Acropora10002,0.797797770299678
Acropora10003,0.367242541180546
Acropora10004,0
Acropora10005,0.499463416885447
Acropora10007,0
Acropora10008,0
Acropora10009,0
Acropora1001,0
Acropora10011,0
Acropora10012,0
Acropora10013,0.81650297494972
Acropora10014,0
Acropora10015,0.506130611026297
Acropora10016,0
Acropora10017,0
Acropora10018,0
Acropora1002,0
Acropora10020,0.91945076079894
Acropora10021,0
Acropora10022,0.297055097357258
Acropora10023,0
Acropora10024,0
Acropora10025,0
Acropora10026,0.484896081583835
Acropora10027,0
Acropora10029,0
Acropora1003,0
Acropora10030,0
Acropora10031,0
Acropora10032,0
Acropora10033,0
Acropora10034,0.756757952151674
Acropora10035,0.37321964879452
Acropora10036,0
Acropora10037,0
Acropora10038,0
Acropora10039,0
Acropora1004,0.604183008857826
Acropora10041,0
Acropora10042,0.327843292320938
Acropora10044,0.476343367959523
Acropora10045,0
Acropora10047,0
Acropora10048,0
Acropora10049,0
Acropora1005,0.713441696439259
Acropora10050,0.720181593297265
Acropora10051,0
Acropora10052,0
Acropora10055,0
Acropora10058,0
Acropora1006,0
Acropora10060,0
Acropora10061,0.403228866319637
Acropora10062,0
Acropora10063,0
Acropora10064,0.235345351427494
Acropora10065,0.244191194951193
Acropora10066,0.919152563483066
Acropora10067,0
Acropora10068,0
Acropora10069,0
Acropora1007,0.918071924303969
Acropora10071,0
Acropora10073,0
Acropora10075,0
Acropora10077,0
Acropora10078,0
Acropora10079,0
Acropora1008,0.567574869777796
Acropora10080,0
Acropora10081,0
Acropora10082,0.829382066062889
Acropora10083,0.868867409733606
Acropora10084,0.301307156854896
Acropora10086,0
Acropora10087,0
Acropora10088,0
Acropora1009,0
Acropora10090,0
Acropora10092,0.626198003944913
Acropora10093,0
Acropora10094,0
Acropora10095,0
Acropora10098,0
Acropora101,0
Acropora1010,0
Acropora10102,0
Acropora10103,0
Acropora10104,0.575515107216568
Acropora10105,0
Acropora10107,0
Acropora10108,0
Acropora10109,0
Acropora1011,0.934006593391345
Acropora10110,0.738889552346402
Acropora10111,0
Acropora10112,0
Acropora10114,0.755456637929538
Acropora10115,0
Acropora10117,0.753931089382568
Acropora10118,0
Acropora10119,0.410024316960504
Acropora1012,0
Acropora10120,0
Acropora10121,0
Acropora10123,0
Acropora10125,0.527683119917664
Acropora10126,0.620430534284135
Acropora10127,0.505124904428197
Acropora10129,0
Acropora1013,0
Acropora10130,0
Acropora10132,0.493630812552438
Acropora10133,0.327510136225879
Acropora10134,0
Acropora10139,0.684959753917775
Acropora1014,0.334201460830925
Acropora10140,0
Acropora10141,0
Acropora10142,0
Acropora10143,0.313828562561615
Acropora10144,0
Acropora10145,0
Acropora10147,0
Acropora10148,0.849837100798219
Acropora10149,0
Acropora1015,0
Acropora10150,0
Acropora10151,0
Acropora10152,0.436560447232038
Acropora10153,0
Acropora10154,0
Acropora10155,0
Acropora10157,0
Acropora1016,0
Acropora10160,0.734339767872155
Acropora10162,0.35451829831989
Acropora10163,0
Acropora10164,0.56206754970513
Acropora10165,0.385647416581879
Acropora10167,0.317766144807888
Acropora10168,0
Acropora10169,0.507246322524457
Acropora10170,0.816110014691365
Acropora10171,0
Acropora10172,0.688605172543919
Acropora10175,0
Acropora10176,0
Acropora10177,0.718654706922017
Acropora10178,0
Acropora10179,0
Acropora1018,0.224968813608284
Acropora10180,0.51562405579203
Acropora10181,0.406544143630061
Acropora10182,0.422302456061381
Acropora10184,0
Acropora10185,0
Acropora10186,0
Acropora10187,0
Acropora10189,0
Acropora1019,0
Acropora10190,0
Acropora10191,0
Acropora10192,0.701300875266794
Acropora10193,0.285274755892967
Acropora10194,0
Acropora10195,0
Acropora10197,0
Acropora10198,0
Acropora102,0
Acropora10200,0
Acropora10201,0
Acropora10202,0.554330713064583
Acropora10203,0.487570245209743
Acropora10204,0.725450670696534
Acropora10205,0.706932560894296
Acropora10206,0
Acropora10207,0
Acropora10208,0
Acropora1021,0.545513346143067
Acropora10210,0.221807028031716
Acropora10211,0
Acropora10212,0
Acropora10213,0
Acropora10214,0
Acropora10218,0
Acropora10219,0
Acropora1022,0.503584072375112
Acropora10220,0
Acropora10221,0
Acropora10222,0
Acropora10223,0
Acropora10224,0.795949340193993
Acropora10225,0
Acropora10227,0
Acropora10228,0.58356812120449
Acropora10229,0
Acropora1023,0
Acropora10230,0
Acropora10231,0.309658876264163
Acropora10232,0
Acropora10234,0
Acropora10235,0
Acropora10236,0
Acropora10237,0.90666783023517
Acropora10238,0
Acropora10239,0.219573985200646
Acropora1024,0
Acropora10240,0
Acropora10242,0.370834945434968
Acropora10245,0
Acropora10246,0
Acropora10247,0
Acropora10248,0
Acropora10249,0
Acropora1025,0.691983089314838
Acropora10250,0
Acropora10251,0.870055023036384
Acropora10252,0.591940959997368
Acropora10253,0
Acropora10254,0
Acropora10255,0.800272737492599
Acropora10256,0
Acropora10257,0
Acropora10259,0.815914364129955
Acropora1026,0.897846295126566
Acropora10260,0
Acropora10261,0
Acropora10262,0.857432124841881
Acropora10263,0
Acropora10266,0
Acropora10267,0
Acropora10268,0
Acropora10269,0
Acropora1027,0.74428533579801
Acropora10270,0.829306874111735
Acropora10273,0
Acropora10275,0
Acropora10277,0
Acropora10278,0.491817547771229
Acropora1028,0
Acropora10280,0
Acropora10282,0
Acropora10283,0
Acropora10285,0.241172816243164
Acropora10287,0
Acropora10288,0
Acropora10289,0
Acropora1029,0
Acropora10290,0
Acropora10292,0.657306386564288
Acropora10293,0
Acropora10294,0.326645953070475
Acropora10295,0
Acropora10296,0
Acropora10297,0.31175722584726
Acropora10298,0
Acropora10299,0
Acropora103,0
Acropora1030,0.749172385665247
Acropora10300,0.423595705122517
Acropora10302,0
Acropora10303,0.830126093158606
Acropora10304,0
Acropora10306,0
Acropora10307,0
Acropora10308,0
Acropora1031,0.524229841822271
Acropora10311,0
Acropora10312,0
Acropora10313,0
Acropora10314,0
Acropora10315,0.674561590829178
Acropora10316,0
Acropora10317,0.703388318243122
Acropora10318,0.772103904446124
Acropora1032,0
Acropora10320,0
Acropora10321,0
Acropora10322,0
Acropora10323,0.783104929076572
Acropora10324,0
Acropora10326,0
Acropora10327,0
Acropora10328,0
Acropora10329,0
Acropora1033,0
Acropora10330,0.437505248659005
Acropora10332,0
Acropora10333,0
Acropora10334,0.713441116869186
Acropora10335,0
Acropora10336,0
Acropora10337,0.774262399256858
Acropora10338,0.794556917284816
Acropora10339,0.436680153389622
Acropora1034,0
Acropora10340,0.732853207002826
Acropora10341,0
Acropora10342,0
Acropora10343,0.545910691159231
Acropora10344,0
Acropora10346,0
Acropora10347,0
Acropora10348,0
Acropora10349,0
Acropora1035,0
Acropora10350,0
Acropora10351,0.396437816823111
Acropora10352,0
Acropora10353,0
Acropora10355,0.318322294881857
Acropora10356,0
Acropora10357,0
Acropora10358,0.77245110480736
Acropora10359,0
Acropora1036,0.560709755960764
Acropora10360,0
Acropora10362,0
Acropora10363,0
Acropora10364,0
Acropora10365,0
Acropora10366,0
Acropora10368,0
Acropora10369,0
Acropora1037,0
Acropora10370,0
Acropora10371,0.712138511016365
Acropora10372,0
Acropora10373,0
Acropora10376,0.421371355769705
Acropora10377,0
Acropora1038,0
Acropora10380,0.733888494414586
Acropora10382,0
Acropora10383,0
Acropora10384,0
Acropora10385,0.281417897272794
Acropora10386,0
Acropora10387,0.219989129618122
Acropora10388,0.919547544117095
Acropora10389,0
Acropora1039,0
Acropora10391,0.593525075946773
Acropora10393,0
Acropora10394,0
Acropora10395,0
Acropora10396,0.761862485643562
Acropora10397,0
Acropora10399,0
Acropora104,0.273117809486054
Acropora1040,0
Acropora10400,0
Acropora10401,0
Acropora10402,0
Acropora10403,0.761589346456278
Acropora10404,0
Acropora10405,0
Acropora10407,0
Acropora10408,0
Acropora10409,0.517061789082395
Acropora1041,0
Acropora10410,0
Acropora10413,0
Acropora10414,0
Acropora10418,0.845704632343553
Acropora1042,0
Acropora10420,0
Acropora10421,0
Acropora10422,0
Acropora10424,0
Acropora10425,0
Acropora10426,0.613989172432904
Acropora10427,0
Acropora10428,0.866808791594357
Acropora1043,0
Acropora10430,0
Acropora10431,0
Acropora10432,0.734838218566835
Acropora10433,0
Acropora10434,0
Acropora10435,0.821296515064328
Acropora10436,0
Acropora10437,0.743458447699003
Acropora10438,0.43958590625414
Acropora10439,0
Acropora1044,0
Acropora10440,0
Acropora10441,0
Acropora10442,0
Acropora10443,0.6358237657998
Acropora10444,0
Acropora10445,0.200208676825905
Acropora10446,0
Acropora10448,0
Acropora10454,0
Acropora10456,0.469322841971668
Acropora10458,0
Acropora10459,0
Acropora1046,0.595725009352722
Acropora10461,0.266813732881712
Acropora10462,0
Acropora10464,0.717402300093063
Acropora10467,0
Acropora10468,0
Acropora10469,0
Acropora10471,0
Acropora10473,0.859944716876938
Acropora10475,0.35240650001301
Acropora10476,0
Acropora10478,0
Acropora1048,0.902016822898885
Acropora10480,0.639774647084218
Acropora10483,0.524654205540973
Acropora10484,0
Acropora10485,0
Acropora10488,0.627181021741734
Acropora10489,0
Acropora1049,0.658800003829753
Acropora10490,0.586218403853858
Acropora10491,0
Acropora10493,0
Acropora10495,0
Acropora10496,0.664267924427713
Acropora10497,0
Acropora10499,0
Acropora105,0
Acropora1050,0
Acropora10503,0
Acropora10504,0
Acropora10506,0.472929684743615
Acropora10507,0
Acropora10508,0
Acropora1051,0
Acropora10510,0
Acropora10512,0
Acropora10513,0
Acropora10515,0.690319156890482
Acropora10516,0
Acropora10517,0.422908686074771
Acropora10518,0
Acropora10519,0
Acropora1052,0
Acropora10521,0
Acropora10522,0
Acropora10523,0
Acropora10524,0
Acropora10525,0
Acropora10526,0
Acropora10527,0.520458537445442
Acropora10528,0
Acropora10529,0
Acropora1053,0
Acropora10531,0.462387071555491
Acropora10532,0.357021310231839
Acropora10533,0.860693069682275
Acropora10534,0
Acropora10535,0
Acropora10536,0.699339599040677
Acropora10538,0
Acropora10539,0
Acropora10540,0
Acropora10542,0
Acropora10543,0.274169380489176
Acropora10544,0
Acropora10545,0
Acropora10546,0
Acropora10547,0
Acropora10549,0
Acropora10550,0
Acropora10551,0
Acropora10552,0.666245182901949
Acropora10553,0.213182811651213
Acropora10555,0
Acropora10557,0.44494812062261
Acropora10558,0
Acropora10560,0
Acropora10563,0
Acropora10564,0
Acropora10565,0
Acropora10566,0
Acropora10568,0
Acropora10569,0.454702706862953
Acropora1057,0
Acropora10575,0
Acropora10576,0
Acropora10577,0.604004208262235
Acropora10579,0
Acropora1058,0
Acropora10580,0
Acropora10581,0.62848788086951
Acropora10582,0
Acropora10583,0.494633525903961
Acropora10586,0
Acropora10587,0
Acropora10588,0
Acropora10589,0
Acropora1059,0
Acropora10592,0.872109511213121
Acropora10593,0
Acropora10595,0.813575831307691
Acropora10596,0
Acropora10597,0
Acropora10598,0
Acropora106,0
Acropora1060,0.675651555425282
Acropora10600,0.854068129041477
Acropora10602,0
Acropora10604,0
Acropora10607,0.456901727245187
Acropora10608,0
Acropora10609,0
Acropora1061,0
Acropora10610,0
Acropora10611,0.701388521915616
Acropora10612,0
Acropora10613,0
Acropora10615,0.410611685753521
Acropora10616,0
Acropora10617,0
Acropora10618,0
Acropora10619,0
Acropora1062,0.313054122200734
Acropora10620,0
Acropora10621,0
Acropora10627,0
Acropora10628,0
Acropora10629,0
Acropora1063,0
Acropora10630,0
Acropora10631,0
Acropora10632,0
Acropora10633,0
Acropora10634,0.778293076112435
Acropora10635,0.729095312259028
Acropora10636,0
Acropora10637,0
Acropora10638,0
Acropora10639,0
Acropora1064,0.412310219137315
Acropora10640,0
Acropora10641,0
Acropora10643,0.504225478350475
Acropora10645,0
