"","module","gene","annot"
"1","black","Acropora60426",NA
"2","blue","Acropora5565",NA
"3","brown","Acropora1683","Catalyzes the formation of S-adenosylmethionine from methionine and ATP"
"4","cyan","Acropora1529","sequence-specific DNA binding"
"5","darkgreen","Acropora28424",NA
"6","darkgrey","Acropora13345",NA
"7","darkorange","Acropora17282",NA
"8","darkred","Acropora2876",NA
"9","darkturquoise","Acropora1156","structural constituent of cuticle"
"10","green","Acropora3194",NA
"11","greenyellow","Acropora13046",NA
"12","grey60","Acropora488","Major Facilitator Superfamily"
"13","lightcyan","Acropora3627","methanethiol oxidase activity"
"14","lightgreen","Acropora1686","Mesencephalic astrocyte-derived neurotrophic factor"
"15","lightyellow","Acropora9752",NA
"16","magenta","Acropora22736",NA
"17","midnightblue","Acropora225",NA
"18","orange","Acropora1001",NA
"19","pink","Acropora31145",NA
"20","purple","Acropora6820","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"
"21","red","Acropora37045",NA
"22","royalblue","Acropora2498",NA
"23","salmon","Acropora2694",NA
"24","tan","Acropora12720",NA
"25","turquoise","Acropora927","protein localization to plasma membrane"
"26","white","Acropora34166",NA
"27","yellow","Acropora14599",NA
