gene,Fish_kME
Acropora0,0
Acropora1,0
Acropora10,0
Acropora100,0
Acropora1000,0
Acropora10000,0
Acropora10001,0
Acropora10002,0
Acropora10003,0
Acropora10004,0
Acropora10005,0
Acropora10007,0
Acropora10008,0
Acropora10009,0
Acropora1001,0
Acropora10011,0
Acropora10012,0
Acropora10013,0
Acropora10014,0
Acropora10015,0
Acropora10016,0
Acropora10017,0
Acropora10018,0
Acropora1002,0
Acropora10020,0
Acropora10021,0
Acropora10022,0
Acropora10023,0
Acropora10024,0
Acropora10025,0
Acropora10026,0
Acropora10027,0
Acropora10029,0
Acropora1003,0
Acropora10030,0
Acropora10031,0
Acropora10032,0
Acropora10033,0
Acropora10034,0
Acropora10035,0
Acropora10036,0
Acropora10037,0
Acropora10038,0
Acropora10039,0
Acropora1004,0
Acropora10041,0
Acropora10042,0
Acropora10044,0
Acropora10045,0
Acropora10047,0
Acropora10048,0
Acropora10049,0
Acropora1005,0
Acropora10050,0
Acropora10051,0
Acropora10052,0
Acropora10055,0
Acropora10058,0
Acropora1006,0.867790860660547
Acropora10060,0
Acropora10061,0
Acropora10062,0
Acropora10063,0
Acropora10064,0
Acropora10065,0
Acropora10066,0
Acropora10067,0
Acropora10068,0
Acropora10069,0
Acropora1007,0
Acropora10071,0
Acropora10073,0
Acropora10075,0
Acropora10077,0
Acropora10078,0
Acropora10079,0.816609546751522
Acropora1008,0
Acropora10080,0
Acropora10081,0
Acropora10082,0
Acropora10083,0
Acropora10084,0
Acropora10086,0
Acropora10087,0
Acropora10088,0
Acropora1009,0.395627251530802
Acropora10090,0
Acropora10092,0
Acropora10093,0
Acropora10094,0
Acropora10095,0
Acropora10098,0
Acropora101,0
Acropora1010,0.719024915036505
Acropora10102,0
Acropora10103,0
Acropora10104,0
Acropora10105,0
Acropora10107,0
Acropora10108,0
Acropora10109,0
Acropora1011,0
Acropora10110,0
Acropora10111,0
Acropora10112,0
Acropora10114,0
Acropora10115,0
Acropora10117,0
Acropora10118,0
Acropora10119,0
Acropora1012,0
Acropora10120,0
Acropora10121,0
Acropora10123,0
Acropora10125,0
Acropora10126,0
Acropora10127,0
Acropora10129,0
Acropora1013,0
Acropora10130,0
Acropora10132,0
Acropora10133,0
Acropora10134,0
Acropora10139,0
Acropora1014,0
Acropora10140,0
Acropora10141,0
Acropora10142,0
Acropora10143,0
Acropora10144,0
Acropora10145,0
Acropora10147,0
Acropora10148,0
Acropora10149,0
Acropora1015,0
Acropora10150,0
Acropora10151,0
Acropora10152,0
Acropora10153,0
Acropora10154,0
Acropora10155,0
Acropora10157,0
Acropora1016,0
Acropora10160,0
Acropora10162,0
Acropora10163,0
Acropora10164,0
Acropora10165,0
Acropora10167,0
Acropora10168,0
Acropora10169,0
Acropora10170,0
Acropora10171,0
Acropora10172,0
Acropora10175,0
Acropora10176,0
Acropora10177,0
Acropora10178,0
Acropora10179,0
Acropora1018,0
Acropora10180,0
Acropora10181,0
Acropora10182,0
Acropora10184,0
Acropora10185,0
Acropora10186,0
Acropora10187,0
Acropora10189,0
Acropora1019,0
Acropora10190,0
Acropora10191,0
Acropora10192,0
Acropora10193,0
Acropora10194,0
Acropora10195,0
Acropora10197,0
Acropora10198,0
Acropora102,0
Acropora10200,0
Acropora10201,0
Acropora10202,0
Acropora10203,0
Acropora10204,0
Acropora10205,0
Acropora10206,0
Acropora10207,0
Acropora10208,0
Acropora1021,0
Acropora10210,0
Acropora10211,0
Acropora10212,0
Acropora10213,0
Acropora10214,0
Acropora10218,0
Acropora10219,0
Acropora1022,0
Acropora10220,0
Acropora10221,0
Acropora10222,0
Acropora10223,0
Acropora10224,0
Acropora10225,0
Acropora10227,0
Acropora10228,0
Acropora10229,0
Acropora1023,0
Acropora10230,0
Acropora10231,0
Acropora10232,0
Acropora10234,0
Acropora10235,0
Acropora10236,0
Acropora10237,0
Acropora10238,0
Acropora10239,0
Acropora1024,0
Acropora10240,0
Acropora10242,0
Acropora10245,0
Acropora10246,0
Acropora10247,0
Acropora10248,0
Acropora10249,0
Acropora1025,0
Acropora10250,0
Acropora10251,0
Acropora10252,0
Acropora10253,0
Acropora10254,0
Acropora10255,0
Acropora10256,0
Acropora10257,0.622497274353025
Acropora10259,0
Acropora1026,0
Acropora10260,0
Acropora10261,0
Acropora10262,0
Acropora10263,0
Acropora10266,0
Acropora10267,0
Acropora10268,0
Acropora10269,0
Acropora1027,0
Acropora10270,0
Acropora10273,0
Acropora10275,0
Acropora10277,0
Acropora10278,0
Acropora1028,0
Acropora10280,0
Acropora10282,0
Acropora10283,0
Acropora10285,0
Acropora10287,0
Acropora10288,0
Acropora10289,0
Acropora1029,0
Acropora10290,0
Acropora10292,0
Acropora10293,0
Acropora10294,0
Acropora10295,0
Acropora10296,0
Acropora10297,0
Acropora10298,0
Acropora10299,0
Acropora103,0
Acropora1030,0
Acropora10300,0
Acropora10302,0
Acropora10303,0
Acropora10304,0
Acropora10306,0
Acropora10307,0
Acropora10308,0
Acropora1031,0
Acropora10311,0
Acropora10312,0
Acropora10313,0
Acropora10314,0
Acropora10315,0
Acropora10316,0
Acropora10317,0
Acropora10318,0
Acropora1032,0
Acropora10320,0
Acropora10321,0
Acropora10322,0
Acropora10323,0
Acropora10324,0
Acropora10326,0
Acropora10327,0
Acropora10328,0
Acropora10329,0
Acropora1033,0
Acropora10330,0
Acropora10332,0
Acropora10333,0
Acropora10334,0
Acropora10335,0
Acropora10336,0
Acropora10337,0
Acropora10338,0
Acropora10339,0
Acropora1034,0
Acropora10340,0
Acropora10341,0
Acropora10342,0
Acropora10343,0
Acropora10344,0
Acropora10346,0
Acropora10347,0
Acropora10348,0
Acropora10349,0
Acropora1035,0
Acropora10350,0
Acropora10351,0
Acropora10352,0
Acropora10353,0
Acropora10355,0
Acropora10356,0
Acropora10357,0
Acropora10358,0
Acropora10359,0
Acropora1036,0
Acropora10360,0
Acropora10362,0
Acropora10363,0
Acropora10364,0
Acropora10365,0.82103126149637
Acropora10366,0.703821510318012
Acropora10368,0
Acropora10369,0
Acropora1037,0
Acropora10370,0
Acropora10371,0
Acropora10372,0
Acropora10373,0
Acropora10376,0
Acropora10377,0
Acropora1038,0
Acropora10380,0
Acropora10382,0
Acropora10383,0
Acropora10384,0
Acropora10385,0
Acropora10386,0
Acropora10387,0
Acropora10388,0
Acropora10389,0
Acropora1039,0
Acropora10391,0
Acropora10393,0
Acropora10394,0
Acropora10395,0
Acropora10396,0
Acropora10397,0
Acropora10399,0
Acropora104,0
Acropora1040,0
Acropora10400,0
Acropora10401,0
Acropora10402,0
Acropora10403,0
Acropora10404,0
Acropora10405,0
Acropora10407,0
Acropora10408,0
Acropora10409,0
Acropora1041,0.458473090975778
Acropora10410,0
Acropora10413,0
Acropora10414,0
Acropora10418,0
Acropora1042,0
Acropora10420,0
Acropora10421,0
Acropora10422,0
Acropora10424,0
Acropora10425,0
Acropora10426,0
Acropora10427,0
Acropora10428,0
Acropora1043,0
Acropora10430,0
Acropora10431,0
Acropora10432,0
Acropora10433,0
Acropora10434,0
Acropora10435,0
Acropora10436,0
Acropora10437,0
Acropora10438,0
Acropora10439,0
Acropora1044,0.71339096818539
Acropora10440,0
Acropora10441,0
Acropora10442,0
Acropora10443,0
Acropora10444,0
Acropora10445,0
Acropora10446,0
Acropora10448,0
Acropora10454,0
Acropora10456,0
Acropora10458,0
Acropora10459,0
Acropora1046,0
Acropora10461,0
Acropora10462,0
Acropora10464,0
Acropora10467,0
Acropora10468,0
Acropora10469,0
Acropora10471,0
Acropora10473,0
Acropora10475,0
Acropora10476,0
Acropora10478,0
Acropora1048,0
Acropora10480,0
Acropora10483,0
Acropora10484,0
Acropora10485,0
Acropora10488,0
Acropora10489,0
Acropora1049,0
Acropora10490,0
Acropora10491,0
Acropora10493,0
Acropora10495,0
Acropora10496,0
Acropora10497,0
Acropora10499,0
Acropora105,0
Acropora1050,0
Acropora10503,0
Acropora10504,0
Acropora10506,0
Acropora10507,0
Acropora10508,0
Acropora1051,0
Acropora10510,0
Acropora10512,0
Acropora10513,0
Acropora10515,0
Acropora10516,0
Acropora10517,0
Acropora10518,0
Acropora10519,0
Acropora1052,0
Acropora10521,0
Acropora10522,0
Acropora10523,0
Acropora10524,0
Acropora10525,0
Acropora10526,0
Acropora10527,0
Acropora10528,0
Acropora10529,0
Acropora1053,0
Acropora10531,0
Acropora10532,0
Acropora10533,0
Acropora10534,0
Acropora10535,0
Acropora10536,0
Acropora10538,0
Acropora10539,0
Acropora10540,0
Acropora10542,0
Acropora10543,0
Acropora10544,0
Acropora10545,0
Acropora10546,0
Acropora10547,0
Acropora10549,0
Acropora10550,0
Acropora10551,0
Acropora10552,0
Acropora10553,0
Acropora10555,0
Acropora10557,0
Acropora10558,0
Acropora10560,0
Acropora10563,0
Acropora10564,0
Acropora10565,0
Acropora10566,0
Acropora10568,0
Acropora10569,0
Acropora1057,0.929134715681689
Acropora10575,0
Acropora10576,0
Acropora10577,0
Acropora10579,0
Acropora1058,0
Acropora10580,0
Acropora10581,0
Acropora10582,0
Acropora10583,0
Acropora10586,0
Acropora10587,0
Acropora10588,0
Acropora10589,0
Acropora1059,0
Acropora10592,0
Acropora10593,0
Acropora10595,0
Acropora10596,0
Acropora10597,0
Acropora10598,0
Acropora106,0
Acropora1060,0
Acropora10600,0
Acropora10602,0
Acropora10604,0
Acropora10607,0
Acropora10608,0
Acropora10609,0
Acropora1061,0
Acropora10610,0
Acropora10611,0
Acropora10612,0
Acropora10613,0
Acropora10615,0
Acropora10616,0
Acropora10617,0
Acropora10618,0
Acropora10619,0
Acropora1062,0
Acropora10620,0
Acropora10621,0
Acropora10627,0
Acropora10628,0
Acropora10629,0
Acropora1063,0
Acropora10630,0
Acropora10631,0
Acropora10632,0
Acropora10633,0
Acropora10634,0
Acropora10635,0
Acropora10636,0
Acropora10637,0
Acropora10638,0
Acropora10639,0
Acropora1064,0
Acropora10640,0
Acropora10641,0
Acropora10643,0
Acropora10645,0
Acropora10646,0
Acropora10647,0
Acropora10648,0
Acropora10649,0
Acropora1065,0
Acropora10650,0
Acropora10651,0
Acropora10652,0
Acropora10653,0
Acropora10656,0
Acropora10657,0
Acropora10658,0.728031003953501
Acropora10659,0
Acropora1066,0
Acropora10660,0
Acropora10661,0
Acropora10662,0
Acropora10663,0
Acropora10665,0
Acropora10666,0
Acropora10667,0
Acropora10668,0
Acropora1067,0
Acropora10671,0
Acropora10672,0
Acropora10673,0
Acropora10674,0
Acropora10675,0
Acropora10676,0
Acropora10678,0
Acropora10679,0
Acropora1068,0
Acropora10680,0
Acropora10682,0
Acropora10684,0
Acropora10686,0
Acropora10687,0
Acropora10688,0
Acropora1069,0
Acropora10690,0
Acropora10692,0
Acropora10693,0
Acropora10695,0
Acropora10696,0
Acropora10697,0
Acropora10698,0
Acropora107,0
Acropora1070,0
Acropora10700,0
Acropora10701,0
Acropora10702,0
Acropora10703,0
Acropora10705,0
Acropora10706,0
Acropora10707,0
Acropora10708,0
Acropora10709,0
Acropora1071,0
Acropora10710,0
Acropora10711,0
Acropora10713,0
Acropora10714,0
Acropora10715,0
Acropora10716,0
Acropora10717,0
Acropora10718,0
Acropora10719,0
Acropora1072,0
Acropora10720,0
Acropora10721,0
Acropora10722,0
Acropora10723,0
Acropora10724,0
Acropora10725,0
Acropora10726,0
Acropora10729,0
Acropora1073,0
Acropora10731,0
Acropora10732,0
Acropora10736,0
Acropora10737,0
Acropora10738,0
Acropora10739,0
Acropora10740,0
Acropora10741,0
Acropora10743,0
Acropora10744,0
Acropora10745,0.518779772169695
Acropora10746,0
Acropora10748,0
Acropora10749,0
Acropora1075,0
Acropora10750,0
Acropora10751,0
Acropora10752,0
Acropora10753,0
Acropora10754,0
Acropora10757,0
Acropora10758,0
Acropora10759,0
Acropora1076,0
Acropora10760,0
