Sample	Filename	File type	Encoding	Total Sequences	Filtered Sequences	Sequence length	%GC	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_base_gc_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	kmer_content
ACER-112_S69_L001_R1_001	ACER-112_S69_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13680610.0	0.0	101.0	43.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
ACER-124_S70_L001_R1_001	ACER-124_S70_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13426280.0	0.0	101.0	42.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-005_S23_L001_R1_001	Acer-005_S23_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11893867.0	0.0	101.0	43.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-009_S24_L001_R1_001	Acer-009_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13209851.0	0.0	101.0	43.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-019_S25_L001_R1_001	Acer-019_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13340389.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-021_S26_L001_R1_001	Acer-021_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11816133.0	0.0	101.0	45.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-022_S27_L001_R1_001	Acer-022_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13786013.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-029_S28_L001_R1_001	Acer-029_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11690763.0	0.0	101.0	45.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-030_S29_L001_R1_001	Acer-030_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12892034.0	0.0	101.0	43.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-034_S30_L001_R1_001	Acer-034_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15041032.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-038_S31_L001_R1_001	Acer-038_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11570068.0	0.0	101.0	40.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-041_S32_L001_R1_001	Acer-041_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13899610.0	0.0	101.0	40.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-042_S33_L001_R1_001	Acer-042_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14013158.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-043_S34_L001_R1_001	Acer-043_S34_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13173395.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-045_S35_L001_R1_001	Acer-045_S35_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14424718.0	0.0	101.0	45.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-055_S36_L001_R1_001	Acer-055_S36_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11795849.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	warn
Acer-056_S37_L001_R1_001	Acer-056_S37_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16734417.0	0.0	101.0	39.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-057_S38_L001_R1_001	Acer-057_S38_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13126670.0	0.0	101.0	38.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-059_S39_L001_R1_001	Acer-059_S39_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13417235.0	0.0	101.0	37.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-063_S40_L001_R1_001	Acer-063_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13968542.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-064_S41_L001_R1_001	Acer-064_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13687891.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-068_S42_L001_R1_001	Acer-068_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8880017.0	0.0	101.0	39.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-069_S43_L001_R1_001	Acer-069_S43_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12205253.0	0.0	101.0	40.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-072_S44_L001_R1_001	Acer-072_S44_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6299928.0	0.0	101.0	32.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	warn	fail
Acer-074_S45_L001_R1_001	Acer-074_S45_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10027271.0	0.0	101.0	39.0	101.0	101	pass	pass	pass	fail	fail	fail	pass	pass	fail	pass	fail
Acer-078_S46_L001_R1_001	Acer-078_S46_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12982523.0	0.0	101.0	45.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
Acer-079_S47_L001_R1_001	Acer-079_S47_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8999379.0	0.0	101.0	44.0	101.0	101	pass	pass	pass	fail	fail	warn	pass	pass	fail	pass	fail
