"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
181 0.73600103199559 3 10 "GO:0000109" "nucleotide-excision repair complex" 0.883085680617116
-207 0.435272179606898 4 41 "GO:0000118" "histone deacetylase complex" 0.688358271666991
54 0.774862197391253 5 81 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.900483796059229
466 0.34013927862215 2 12 "GO:0000124" "SAGA complex" 0.596995026780753
316 0.621576987729905 7 7 "GO:0000125" "PCAF complex" 0.817752229140372
152 0.75574341653214 3 12 "GO:0000137" "Golgi cis cisterna" 0.889640396494723
-309 0.43978804728806 2 18 "GO:0000138" "Golgi trans cisterna" 0.688402922999882
139 0.149111359996466 3 328 "GO:0000139" "Golgi membrane" 0.381228043724298
-89 0.867858666131692 2 10 "GO:0000145" "exocyst" 0.932652257497616
76 0.517607888660598 2 217 "GO:0000151" "ubiquitin ligase complex" 0.75020200415948
499 0.125977836553085 3 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.33949046599992
166 0.756252331831238 4 10 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.889640396494723
903 0.0919124948732032 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.278505553498276
-503 0.373027251370971 4 9 "GO:0000164" "protein phosphatase type 1 complex" 0.624565336975723
700 0.355353923155452 2 5 "GO:0000172" "ribonuclease MRP complex" 0.612832402497005
454 0.283532863974976 4 16 "GO:0000176;GO:0000178;GO:1905354" "exosome (RNase complex)" 0.554191327158383
643 0.230209920991444 4 10 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.49751859847853
713 0.302032204757662 4 6 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.564033812414506
-293 0.00173014804446868 3 348 "GO:0000228;GO:0044454" "nuclear chromosome" 0.0181784047959928
-424 0.452392147335511 6 9 "GO:0000235" "astral microtubule" 0.69675658033401
-206 0.6271129583417 4 16 "GO:0000242" "pericentriolar material" 0.820988428341613
920 0.124569949679793 3 8 "GO:0000243" "commitment complex" 0.33949046599992
1451 0.0357697830367276 2 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.155002393159153
1647 0.0171978679176167 5 6 "GO:0000276;GO:0045263" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.0905479767237268
-571 0.114269621435522 2 22 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.317553621887846
401 0.0831722636280047 3 54 "GO:0000313;GO:0005761" "organellar ribosome" 0.261447238535572
354 0.338619824812924 3 21 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.596886186375509
435 0.146727350498334 3 32 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.377650596752423
767 0.0700517593097973 3 16 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.231593531856097
253 0.00291240076447806 5 427 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.0265929926946985
734 0.220041433224589 2 8 "GO:0000346;GO:0000347;GO:0000445" "transcription export complex" 0.493484734746373
216 0.558849817492321 3 21 "GO:0000407" "phagophore assembly site" 0.771937499306893
457 0.295810345127306 4 15 "GO:0000421" "autophagosome membrane" 0.560213665957145
71 0.652830481015235 5 117 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.83592817852869
729 0.254658698005264 3 7 "GO:0000439" "transcription factor TFIIH core complex" 0.515364700184795
645 0.00673977589227384 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.0499211973044696
686 0.283796036881779 2 7 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.554191327158383
-329 0.0400847466786127 2 114 "GO:0000775" "chromosome, centromeric region" 0.166189192986465
-228 0.234926635696254 2 79 "GO:0000776" "kinetochore" 0.500510471733113
-372 0.214745828106517 4 32 "GO:0000777" "condensed chromosome kinetochore" 0.484441323993231
-1347 0.00588882688017103 2 12 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.0456235375463756
