"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
939 0.11702783250007 4 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.559648901187562
-1046 0.00834157439113041 5 16 "GO:0000030" "mannosyltransferase activity" 0.191477048523675
12 0.96662256607798 2 33 "GO:0000049" "tRNA binding" 0.990264953732986
-687 0.083362710151561 3 16 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.492376241246062
65 0.913558082844495 2 7 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.987688928622109
-116 0.757214616412856 4 18 "GO:0000146;GO:0030898" "microfilament motor activity" 0.967480216010872
-134 0.4614869769276 2 77 "GO:0000149" "SNARE binding" 0.843048354046748
545 0.399166172158537 3 6 "GO:0000150" "recombinase activity" 0.829627836034725
1 0.996869005176269 3 31 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.997687519307739
432 0.440866730543368 2 8 "GO:0000182" "rDNA binding" 0.843048354046748
845 0.0106522003685067 3 23 "GO:0000217" "DNA secondary structure binding" 0.209438788239314
-749 0.290446938789299 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.729729871087542
376 0.502739352871102 3 8 "GO:0000285;GO:0016307" "phosphatidylinositol phosphate kinase activity" 0.871819894630191
-56 0.724052253135834 3 102 "GO:0000287" "magnesium ion binding" 0.967480216010872
-934 0.148918449059869 4 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.594468572021164
-277 0.484016687881997 3 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.862181401694562
591 0.148573648132959 2 15 "GO:0000400" "four-way junction DNA binding" 0.594468572021164
1089 0.051979411351945 4 8 "GO:0000403" "Y-form DNA binding" 0.421190660243162
798 0.217622546169793 2 6 "GO:0000405" "bubble DNA binding" 0.657376867643221
672 0.298853194878157 2 6 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.734408094469437
310 0.000666421849252968 2 320 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012" "regulatory region nucleic acid binding" 0.061189642522318
289 0.0272362955794644 2 151 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.347938036948536
82 0.846240118276349 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.976563920721226
133 0.611682511233104 2 37 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.925651410230955
281 0.00091934990285631 2 373 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.0714264155296056
-365 0.161952045548253 -1 37 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.602060734587457
289 0.629400119724395 7 7 "GO:0000992;GO:0001006;GO:0001032" "RNA polymerase III type 3 promoter DNA binding" 0.93198629269572
266 0.452924218997838 2 20 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.843048354046748
57 0.935482425722677 4 5 "GO:0001013;GO:0001163" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.987688928622109
103 0.845080131532152 4 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.976563920721226
54 0.86945652242292 2 23 "GO:0001046" "core promoter sequence-specific DNA binding" 0.982055743772069
3 0.992183521258565 4 32 "GO:0001047" "core promoter binding" 0.997687519307739
253 0.155368888787331 3 80 "GO:0001085" "RNA polymerase II transcription factor binding" 0.599367495182877
467 0.288617008314155 5 13 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.729478852114006
687 0.219914246482912 2 8 "GO:0001094" "TFIID-class transcription factor complex binding" 0.658026442007481
270 0.352108618911074 2 30 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.785054536644999
-502 0.157229922049789 2 20 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.601523565417753
876 0.0160322349054504 2 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.263748517098176
479 0.459498324892193 3 6 "GO:0001134;GO:0001135" "transcription regulator recruiting activity" 0.843048354046748
