"","pval","term","direction","color"
"7/51 peptide receptor activity",0.0325405723202253,"GO:0001653;GO:0008528",0,"skyblue2"
"2/21 cyclase activity",0.0232792376610569,"GO:0009975",0,"skyblue2"
"6/60 proton transmembrane transporter activity",0.0302554724613777,"GO:0015078",1,"lightcoral"
"1/8 cytochrome-c oxidase activity",0.0188862512699383,"GO:0004129;GO:0015002;GO:0016676;GO:0016675",1,"lightcoral"
"7/60 electron transfer activity",0.0001149122947543,"GO:0009055",1,"firebrick1"
"4/66 oxidoreductase activity, acting on NAD(P)H",0.0148970437406799,"GO:0016651",1,"lightcoral"
"2/30 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0214903947390592,"GO:0003954;GO:0008137;GO:0050136;GO:0016655",1,"lightcoral"
"50/449 oxidoreductase activity",1.05137251136602e-05,"GO:0016491",1,"firebrick1"
"2/47 oxidoreductase activity, acting on the CH-CH group of donors",0.0276274308884385,"GO:0016627",1,"lightcoral"
"21/236 cofactor binding",0.0253297502030038,"GO:0048037",1,"lightcoral"
"5/65 obsolete protein transporter activity",0.0115667399234616,"GO:0008565",1,"lightcoral"
"10/98 transcription corepressor activity",0.00782410036231769,"GO:0003714",0,"dodgerblue2"
"36/327 chromatin binding",2.82872384995088e-07,"GO:0003682",0,"dodgerblue2"
"9/59 chromatin DNA binding",9.21387465504179e-05,"GO:0031490",0,"dodgerblue2"
"19/216 DNA-binding transcription factor binding",0.03701546260388,"GO:0061629;GO:0140297",0,"skyblue2"
"4/22 transcription cofactor binding",0.0314320047305914,"GO:0001221",0,"skyblue2"
"37/403 transcription factor binding",0.00114989437882071,"GO:0008134",0,"dodgerblue2"
"49/448 DNA-binding transcription factor activity",1.6975244901665e-10,"GO:0000981;GO:0003700",0,"dodgerblue2"
"12/84 DNA-binding transcription repressor activity",0.000316524703783758,"GO:0001227;GO:0001217",0,"dodgerblue2"
"47/446 sequence-specific DNA binding",2.11791057368239e-08,"GO:0003690;GO:0043565",0,"dodgerblue2"
"5/10 HMG box domain binding",0.00782410036231769,"GO:0071837",0,"dodgerblue2"
"23/153 DNA-binding transcription activator activity",0.00710443559989031,"GO:0001228;GO:0001216",0,"dodgerblue2"
"2/6 cAMP response element binding",0.0169960856176038,"GO:0035497",0,"skyblue2"
"40/373 regulatory region nucleic acid binding",4.75017134981941e-10,"GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012",0,"dodgerblue2"
"25/179 proximal promoter sequence-specific DNA binding",2.07319810794061e-05,"GO:0000978;GO:0000987",0,"dodgerblue2"
"6/120 structural constituent of ribosome",1.6975244901665e-10,"GO:0003735",1,"firebrick1"
"16/284 structural molecule activity",0.00114989437882071,"GO:0005198",1,"firebrick1"
"11/144 phosphatidylinositol binding",0.00114989437882071,"GO:1901981;GO:0035091",0,"dodgerblue2"
"21/235 phospholipid binding",0.0070185392396494,"GO:0005543",0,"dodgerblue2"
"6/37 phosphatidylinositol-3,4,5-trisphosphate binding",0.0107782900583664,"GO:0005547",0,"skyblue2"
"3/21 phosphatidylinositol-3,4-bisphosphate binding",0.0198318243705851,"GO:0043325",0,"skyblue2"
"9/70 phosphatidylinositol bisphosphate binding",0.0360896552112176,"GO:1902936",0,"skyblue2"
"5/173 tubulin binding",0.0115667399234616,"GO:0015631",0,"skyblue2"
"4/123 microtubule binding",0.00214411273627255,"GO:0008017",0,"dodgerblue2"
"29/445 cytoskeletal protein binding",0.0243896799547519,"GO:0008092",0,"skyblue2"
"18/306 ATPase activity",0.0280243947408102,"GO:0016887;GO:0042623",0,"skyblue2"
"0/30 ATP-dependent microtubule motor activity",0.00782410036231769,"GO:1990939",0,"dodgerblue2"
"5/74 motor activity",0.006699698488306,"GO:0003774",0,"dodgerblue2"
"2/52 microtubule motor activity",0.000426193267869114,"GO:0003777",0,"dodgerblue2"
"29/417 kinase activity",0.00347748579863291,"GO:0016301;GO:0016773",0,"dodgerblue2"
"25/306 protein kinase activity",0.000316524703783758,"GO:0004672",0,"dodgerblue2"
"17/213 protein serine/threonine kinase activity",4.26279638456588e-05,"GO:0004674",0,"dodgerblue2"
"3/59 SH3 domain binding",0.0292036518280154,"GO:0017124",0,"skyblue2"
"30/435 protein domain specific binding",7.52991445534864e-05,"GO:0019904",0,"dodgerblue2"
"0/9 delta-catenin binding",0.0339604685670617,"GO:0070097",0,"skyblue2"
"38/447 kinase binding",0.000660777707563013,"GO:0019900;GO:0019901",0,"dodgerblue2"
"3/27 mitogen-activated protein kinase binding",0.00398737581192496,"GO:0051019",0,"dodgerblue2"
"1/8 phospholipid scramblase activity",0.0314320047305914,"GO:0017128",0,"skyblue2"
"2/9 intracellular calcium activated chloride channel activity",0.0302554724613777,"GO:0005229;GO:0061778",0,"skyblue2"
"2/16 calcium activated cation channel activity",0.0243896799547519,"GO:0005227",0,"skyblue2"
"1/5 iodide transmembrane transporter activity",0.0177850645868253,"GO:0015111;GO:0097603",0,"skyblue2"
"3/8 extracellularly glutamate-gated ion channel activity",0.0149991122926518,"GO:0005234;GO:0008068",0,"skyblue2"
"10/30 extracellular ligand-gated ion channel activity",0.0232792376610569,"GO:0005230",0,"skyblue2"
"7/19 excitatory extracellular ligand-gated ion channel activity",0.00347748579863291,"GO:0005231",0,"dodgerblue2"
"13/43 ligand-gated cation channel activity",0.0070185392396494,"GO:0099094",0,"dodgerblue2"
"27/122 gated channel activity",2.93828617188879e-06,"GO:0022839;GO:0022836",0,"dodgerblue2"
"19/65 ligand-gated ion channel activity",0.00102676125687369,"GO:0015276;GO:0022834",0,"dodgerblue2"
"36/176 channel activity",1.78042290404466e-05,"GO:0005216;GO:0015267;GO:0022803;GO:0005261",0,"dodgerblue2"
"8/27 intracellular ligand-gated ion channel activity",0.0126477865744629,"GO:0005217",0,"skyblue2"
"3/12 postsynaptic neurotransmitter receptor activity",0.0448418976519624,"GO:0098960",0,"skyblue2"
"3/8 neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential",0.025246176146777,"GO:0099529;GO:1904315",0,"skyblue2"
"5/15 outward rectifier potassium channel activity",9.80142774164681e-05,"GO:0015271",0,"dodgerblue2"
"4/9 delayed rectifier potassium channel activity",0.0013445739463001,"GO:0005251;GO:0086008;GO:0086087;GO:0086089;GO:0086090",0,"dodgerblue2"
"10/61 voltage-gated channel activity",0.000320611582347134,"GO:0005244;GO:0022832;GO:0022843",0,"dodgerblue2"
"5/25 voltage-gated potassium channel activity",0.0013445739463001,"GO:0005249",0,"dodgerblue2"
"9/38 potassium channel activity",0.0019015640707826,"GO:0005267",0,"dodgerblue2"
"11/61 potassium ion transmembrane transporter activity",0.0257919195078135,"GO:0015079",0,"skyblue2"
"4/23 actinin binding",0.0115667399234616,"GO:0042805;GO:0051393",0,"skyblue2"
"52/606 signaling receptor binding",0.00347748579863291,"GO:0005102",0,"dodgerblue2"
"3/12 potassium channel inhibitor activity",0.0126477865744629,"GO:0019870",0,"skyblue2"
