name	term	lev	seq	value
"ruffle membrane"	GO:0032587	2	Acropora_005485	-2.42142078822716
"ruffle membrane"	GO:0032587	2	Acropora_013380	-0.177312367228043
"ruffle membrane"	GO:0032587	2	Acropora_010886	1.62714130969381
"ruffle membrane"	GO:0032587	2	Acropora_007395	-3.85810315396035
"ruffle membrane"	GO:0032587	2	Acropora_024965	-2.43398768656472
"ruffle membrane"	GO:0032587	2	Acropora_008638	-0.0246014378474806
"ruffle membrane"	GO:0032587	2	Acropora_019589	-0.25234875737167
"ruffle membrane"	GO:0032587	2	Acropora_016631	0.138631487148063
"ruffle membrane"	GO:0032587	2	Acropora_019423	0.543369779239027
"ruffle membrane"	GO:0032587	2	Acropora_008430	-0.568493764612913
"ruffle membrane"	GO:0032587	2	Acropora_022170	-3.1247554456776
"ruffle membrane"	GO:0032587	2	Acropora_014864	-0.827005580933644
"ruffle membrane"	GO:0032587	2	Acropora_022726	-1.61799847815512
"ruffle membrane"	GO:0032587	2	Acropora_019766	-0.449830501993433
"ruffle membrane"	GO:0032587	2	Acropora_009584	-0.762571150415853
"ruffle membrane"	GO:0032587	2	Acropora_026935	5.13000805836284
"ruffle membrane"	GO:0032587	2	Acropora_006658	-1.74863650892947
"ruffle membrane"	GO:0032587	2	Acropora_004703	0.358105908353106
"ruffle membrane"	GO:0032587	2	Acropora_031316	-3.97269191453765
"ruffle membrane"	GO:0032587	2	Acropora_029694	-0.425554601958584
"ruffle membrane"	GO:0032587	2	Acropora_005709	3.1091494211312
"ruffle membrane"	GO:0032587	2	Acropora_019697	8.10895213764034
"ruffle membrane"	GO:0032587	2	Acropora_015056	-1.79836980888966
"ruffle membrane"	GO:0032587	2	Acropora_015108	-2.33907420092292
"ruffle membrane"	GO:0032587	2	Acropora_026166	-1.69068781309926
"ruffle membrane"	GO:0032587	2	Acropora_025962	0.0464659983672551
"ruffle membrane"	GO:0032587	2	Acropora_011166	11.1430988851745
"ruffle membrane"	GO:0032587	2	Acropora_018486	1.39312490780251
"ruffle membrane"	GO:0032587	2	Acropora_005707	0.392618488467961
"ruffle membrane"	GO:0032587	2	Acropora_011285	0.658502343057386
"ruffle membrane"	GO:0032587	2	Acropora_018928	-0.592033898922664
"ruffle membrane"	GO:0032587	2	Acropora_031959	0.345667108905626
"ruffle membrane"	GO:0032587	2	Acropora_009163	4.39807088310612
"ruffle membrane"	GO:0032587	2	Acropora_009451	-0.00903549446615765
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_019707	0.238830855448696
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_000181	0.116922993500036
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_014817	3.47544533746021
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_010414	20.685662638938
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_016012	2.42364793340702
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_026652	-0.701606469958934
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_030246	0.758436957518466
"dihydrolipoyl dehydrogenase complex"	GO:0005947;GO:0045240	2	Acropora_017688	-0.127864571002062
"GATOR2 complex"	GO:0061700	2	Acropora_004144	-0.0145473782413224
"GATOR2 complex"	GO:0061700	2	Acropora_013475	-0.313607599924331
"GATOR2 complex"	GO:0061700	2	Acropora_003277	-0.0128075803079355
"GATOR2 complex"	GO:0061700	2	Acropora_011557	-0.717751467135795
"GATOR2 complex"	GO:0061700	2	Acropora_022819	2.46544069825166
"WASH complex"	GO:0071203	3	Acropora_007997	-0.202810537307148
"WASH complex"	GO:0071203	3	Acropora_009247	0.554493654204097
"WASH complex"	GO:0071203	3	Acropora_019358	-0.0283471641188201
"WASH complex"	GO:0071203	3	Acropora_022027	-2.02569579563888
"WASH complex"	GO:0071203	3	Acropora_34244	-0.175786483330877
"WASH complex"	GO:0071203	3	Acropora_014069	-0.0668135198506873
"WASH complex"	GO:0071203	3	Acropora_019248	0.105382143021154
"nuclear inner membrane"	GO:0005637	3	Acropora_011567	-0.146252668066118
"nuclear inner membrane"	GO:0005637	3	Acropora_028101	0.0534362250063982
"nuclear inner membrane"	GO:0005637	3	Acropora_007795	-0.184626417781101
"nuclear inner membrane"	GO:0005637	3	Acropora_009331	0.0593165520435492
"nuclear inner membrane"	GO:0005637	3	Acropora_015848	0.202838318732545
"nuclear inner membrane"	GO:0005637	3	Acropora_010428	0.575696877402852
"nuclear inner membrane"	GO:0005637	3	Acropora_019664	0.756216611061563
"nuclear inner membrane"	GO:0005637	3	Acropora_017898	2.62325448013658
"nuclear inner membrane"	GO:0005637	3	Acropora_009332	7.18873559685296
"nuclear inner membrane"	GO:0005637	3	Acropora_029799	-0.502661974216101
"nuclear inner membrane"	GO:0005637	3	Acropora_015455	0.423765171493121
"nuclear inner membrane"	GO:0005637	3	Acropora_019577	1.61222019262136
"nuclear inner membrane"	GO:0005637	3	Acropora_022730	0.168512641892239
"nuclear inner membrane"	GO:0005637	3	Acropora_010638	-9.84776867634613
"nuclear inner membrane"	GO:0005637	3	Acropora_013218	0.126355815543435
"nuclear inner membrane"	GO:0005637	3	Acropora_015847	0.189971470329178
"nuclear inner membrane"	GO:0005637	3	Acropora_019715	3.48131942730348
"nuclear inner membrane"	GO:0005637	3	Acropora_013284	-0.212709934439885
"nuclear inner membrane"	GO:0005637	3	Acropora_025952	5.75279848360898
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_022536	0.502425253870179
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_000805	0.000667883104226314
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_010637	-0.29534707051204
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_014136	-0.189457377668395
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_020071	1.92559034362081
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_006009	6.52692729387976
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_023838	-0.593746720437054
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_008129	0.646628427361038
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_013380	-0.177312367228043
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_003465	-3.02853077971804
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_004135	-2.23997994576675
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_008068	-2.17312817828651
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_032441	-7.8661758974476
"anchoring junction"	GO:0005912;GO:0070161	3	Acropora_004029	0.405830734039751
