term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0000018,regulation of DNA recombination,764,0.00292387805006041,3,51,0.0848391210802103,-1557,3.20492562263778e-6,2,37,3.40238549512257e-5
GO:0000022,mitotic spindle elongation,1776,0.00126721538275124,2,11,0.0467071615737028,1387,2.01660635721213e-8,4,68,4.60938595934201e-7
GO:0000041,transition metal ion transport,-144,0.518834951049178,3,68,0.854498384520767,92,0.638070089629964,2,109,0.753955464413702
GO:0000096,sulfur amino acid metabolic process,-193,0.563544101444684,3,30,0.879266832073842,-573,0.0646222333205661,3,43,0.146660387677881
GO:0000122,negative regulation of transcription by RNA polymerase II,268,0.00500271668517732,2,391,0.114663107216984,18,0.874557800466792,2,334,0.928294756411739
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",-1192,1.90731465651223e-8,3,75,6.12023614780836e-6,1422,4.54374448389387e-10,2,80,1.85054320798587e-8
GO:0000186,activation of MAPKK activity,219,0.512204758214638,2,30,0.852561981777207,486,0.126447119097607,6,41,0.240092935490937
GO:0000187,activation of MAPK activity,62,0.762498240045698,2,79,0.950304093471714,622,0.00232082863977517,4,100,0.00979031290601955
GO:0000209,protein polyubiquitination,-251,0.0767324065548579,4,171,0.452694011084998,862,1.0200562964603e-6,2,135,1.31317592187993e-5
GO:0000226,microtubule cytoskeleton organization,378,9.74064545829296e-5,2,376,0.00781803964373928,-62,0.517904614868917,2,474,0.656084186132953
GO:0000245,spliceosomal complex assembly,499,0.093386466565969,2,38,0.487486291978336,-106,0.752160977726666,4,37,0.841578716337528
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",-36,0.891704501535852,2,49,0.984073077163644,37,0.900190849048616,2,48,0.938982812718753
GO:0000302,response to reactive oxygen species,-128,0.448156229938054,2,120,0.82790654297303,522,0.00268649274709391,3,139,0.011062028958622
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",207,0.429145786447371,3,49,0.823374157978711,130,0.668598141677753,4,45,0.774785223672099
GO:0000722,telomere maintenance via recombination,927,0.0675333887978026,2,13,0.438592474935398,-1506,2.09149537014041e-5,5,33,1.83005844887286e-4
GO:0000724;GO:0000725,recombinational repair,737,3.35892948467491e-4,6,80,0.0185080407463653,-1436,1.30585707960647e-6,5,47,1.60925322795137e-5
GO:0001101,response to acid chemical,103,0.416295243871372,3,216,0.817617051433435,-84,0.568788424948583,2,196,0.70004729224441
GO:0001501,skeletal system development,28,0.826788333927444,2,207,0.971050765955833,35,0.798810381919714,2,224,0.877249981969117
GO:0001503,ossification,315,0.0868636951117981,2,100,0.475586352239919,177,0.40767849320924,2,91,0.556489838384337
GO:0001504,neurotransmitter uptake,352,0.455457469934466,3,15,0.83046440159239,-1185,3.28184454276536e-4,2,38,0.0018151436483443
GO:0001505,regulation of neurotransmitter levels,43,0.712102304249364,2,251,0.934469247742273,109,0.388755386614343,3,266,0.538868852732753
GO:0001508,action potential,467,0.0636671129034451,2,53,0.42727890765206,-204,0.313231173099825,4,102,0.464968739392716
GO:0001525,angiogenesis,232,0.155179890859628,2,128,0.59781518689214,21,0.889509135835434,2,185,0.935595055936794
GO:0001541,ovarian follicle development,108,0.717253821409083,2,38,0.936929979833943,175,0.600229567061104,3,37,0.722468688993484
GO:0001558,regulation of cell growth,-61,0.602361788009092,3,257,0.89218914902665,580,2.15813811964471e-5,2,228,1.88102310817282e-4
GO:0001569,branching involved in blood vessel morphogenesis,989,0.0362342187713595,3,15,0.331790418895257,83,0.786579976300635,2,44,0.870523293929557
GO:0001570,vasculogenesis,143,0.599609009950635,2,45,0.891628274521447,143,0.612771616916492,3,52,0.732448464190471
GO:0001649,osteoblast differentiation,866,0.00355427346623132,2,38,0.094578350040448,18,0.954554392668809,2,41,0.972351905219705
GO:0001656,metanephros development,405,0.157250978468859,2,41,0.600770593812758,-233,0.446899055734149,3,44,0.595865407645532
GO:0001658,branching involved in ureteric bud morphogenesis,648,0.0565566848423835,5,29,0.408631411675764,-1205,6.62104448090287e-4,2,33,0.00334034676514019
GO:0001667,ameboidal-type cell migration,51,0.680234860947725,4,223,0.924968798907367,453,2.72469322520639e-4,4,277,0.00154906416864526
GO:0001676,long-chain fatty acid metabolic process,-174,0.481067385063659,4,55,0.841794343698134,-756,0.0159926969212202,6,42,0.0479566815308343
GO:0001700,embryonic development via the syncytial blastoderm,-201,0.227061674658245,5,123,0.674263165629138,490,0.00466251833839065,5,140,0.0174067351299918
GO:0001701,in utero embryonic development,351,0.00800265234576478,2,196,0.156604567581117,-136,0.304262615489203,2,242,0.455885122873455
GO:0001706,endoderm formation,26,0.934102840889524,2,34,0.991470743915011,539,0.146615949097304,2,30,0.267889889816262
GO:0001708,cell fate specification,417,0.02343817343513,3,100,0.276921930432019,-33,0.861928465820662,3,115,0.921144925304524
GO:0001709,cell fate determination,414,0.0188751886211652,3,109,0.256129736140438,182,0.30102889672202,2,135,0.451644158511269
GO:0001751,compound eye photoreceptor cell differentiation,290,0.169150727713079,2,76,0.616797679184732,182,0.340816961993629,7,114,0.492535480558535
GO:0001764,neuron migration,50,0.806835690161978,4,81,0.960523297483899,567,0.0123838735976991,2,81,0.0394592842942333
GO:0001816,cytokine production,-15,0.948764683913433,2,58,0.992598369097699,1153,5.26148811839697e-5,2,51,3.95494408899638e-4
GO:0001817,regulation of cytokine production,35,0.781702748119692,4,221,0.953233447614013,1016,3.78120971471794e-10,2,160,1.5685018075867e-8
GO:0001818,negative regulation of cytokine production,-21,0.913820007344292,2,87,0.98833256032031,1063,6.07010182436518e-5,3,59,4.44347323090784e-4
GO:0001819,positive regulation of cytokine production,-9,0.955575030761948,2,129,0.99377233269367,858,1.27557140059618e-5,3,108,1.15679349689694e-4
GO:0001824,blastocyst development,1092,2.08728636382373e-5,2,51,0.00264794118945545,-392,0.229107858732908,2,39,0.371885219972256
GO:0001837,epithelial to mesenchymal transition,329,0.179098097823715,2,56,0.622972151436511,41,0.89591955269518,3,42,0.938662206752668
GO:0001890,placenta development,425,0.0579574495575819,3,67,0.413278284100143,-131,0.659366128662575,3,47,0.76733562103976
GO:0001932,regulation of protein phosphorylation,35,0.651469641325344,3,623,0.917141537288436,510,2.20058312718639e-8,2,537,4.73971750470915e-7
GO:0001945,lymph vessel development,620,0.174914636336919,2,16,0.619566799533625,-81,0.821796825518575,2,32,0.891872523818608
GO:0001952,regulation of cell-matrix adhesion,130,0.592763651236763,5,57,0.889995843739405,1027,0.00371704208871153,5,33,0.0145055301022889
GO:0002011,morphogenesis of an epithelial sheet,269,0.341976222001975,3,42,0.765845573964467,734,0.0167305306534117,2,44,0.0492617378773818
GO:0002040,sprouting angiogenesis,729,0.0221605674762651,4,33,0.271044608930552,195,0.490262930041479,2,52,0.632976405362701
GO:0002042,cell migration involved in sprouting angiogenesis,240,0.694027917492787,4,9,0.92622244033826,376,0.280334960931449,3,34,0.428050656091647
GO:0002067,glandular epithelial cell differentiation,14,0.960856685666201,6,40,0.994388388080556,-93,0.798139666932158,2,31,0.87724870163299
GO:0002088,lens development in camera-type eye,268,0.367892701478761,2,38,0.786526297157223,-38,0.918777083227113,2,30,0.951421069666395
GO:0002168,instar larval development,81,0.770191623412605,2,44,0.951502292035375,26,0.92581636207876306,2,54,0.955955335904037
GO:0002244,hematopoietic progenitor cell differentiation,367,0.156975990900717,4,50,0.600770593812758,-494,0.183104024450351,3,30,0.314293497907116
GO:0002252,immune effector process,-342,2.80751023280492e-4,2,402,0.0166467046955987,407,0.0106683064516095,2,166,0.0345832220717877
GO:0002449,lymphocyte mediated immunity,-1,0.996896070196067,2,36,0.999710632100998,-33,0.916514609644307,3,43,0.949580354118061
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,-1347,0.00320633788497901,4,16,0.0887846353429467,1815,1.27406502499235e-14,2,75,4.07700807997552e-12
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",-653,0.381616087575951,3,6,0.794524802621981,2088,9.96642768681411e-15,2,57,3.72079966974393e-12
GO:0002521,leukocyte differentiation,-59,0.681455970787251,2,164,0.924968798907367,160,0.357028838940051,4,139,0.509370245729192
GO:0002526,acute inflammatory response,-156,0.663789079527089,2,26,0.922520760313915,-943,0.0110831447260467,2,30,0.0357212146566109
GO:0002573,myeloid leukocyte differentiation,-238,0.284195681096953,2,68,0.729335847230028,259,0.324006970067288,2,60,0.474946462855927
GO:0002576,platelet degranulation,-75,0.759287250242422,2,56,0.949326598687236,112,0.70010010573028,3,49,0.799298795533041
GO:0002682,regulation of immune system process,-71,0.385143333784592,3,542,0.797024615248463,618,9.82069359072266e-10,2,428,3.43724275675293e-8
GO:0002683,negative regulation of immune system process,-117,0.439509318779475,2,149,0.824091866548211,621,0.00119159492935297,2,114,0.00556812638928873
GO:0002684,positive regulation of immune system process,-95,0.369459024561747,4,311,0.786526297157223,606,6.86656701049468e-7,3,288,9.55348453634042e-6
GO:0002685,regulation of leukocyte migration,-370,0.161800210617285,4,48,0.606348794469674,872,0.00496009850458638,2,43,0.0183418623937783
GO:0002697,regulation of immune effector process,-171,0.237027988169204,4,164,0.686299190797775,746,1.53420825767899e-6,2,175,1.82799281766007e-5
GO:0002698,negative regulation of immune effector process,-348,0.223545803556421,2,41,0.671306759241179,1298,3.54239303851192e-5,5,42,2.83391443080954e-4
