delta.rank,pval,level,nseqs,term,name,p.adj,GO_category
694,0.00270525694511596,4,54,GO:0000313;GO:0005761,organellar ribosome,0.0230548008544882,CC
-1069,0.00131322753369607,2,26,GO:0001917,photoreceptor inner segment,0.0145977611354331,CC
733,0.00168578984004732,4,53,GO:0005657,replication fork,0.016792218276835,CC
1916,0.00556198903242927,7,6,GO:0005658,alpha DNA polymerase:primase complex,0.0406290055987929,CC
1117,0.00515542450305129,2,18,GO:0005666,RNA polymerase III complex,0.0383903941149548,CC
-519,0.00151323409825177,2,109,GO:0005700,polytene chromosome,0.0158993226487549,CC
1390,0.00309274335002895,7,13,GO:0005736,RNA polymerase I complex,0.0255068188115291,CC
735,1.68213786082982e-17,2,413,GO:0005740;GO:0031966,mitochondrial envelope,4.30066579752157e-15,CC
1524,2.64455303651248e-9,3,44,GO:0005746;GO:0070469;GO:0098803,respirasome,1.44883727071791e-7,CC
1513,8.17824615971519e-6,4,25,GO:0005747;GO:0045271;GO:0030964,mitochondrial respiratory chain complex I,1.90082266803077e-4,CC
1534,0.00265986676630793,4,11,GO:0005753;GO:0045259,mitochondrial proton-transporting ATP synthase complex,0.0229809593800703,CC
772,1.80635705142603e-14,2,297,GO:0005759,mitochondrial matrix,1.97925122634824e-12,CC
468,0.00403433915357784,2,110,GO:0005775,vacuolar lumen,0.0319003931009712,CC
-342,4.63388515713823e-5,5,439,GO:0005813;GO:0005815,microtubule organizing center,9.3531313566448e-4,CC
856,8.61175219347775e-10,3,151,GO:0005840;GO:0044391,ribosome,5.50434494366453e-8,CC
-1463,2.49984073100901e-4,3,18,GO:0005858,axonemal dynein complex,0.00375407834029587,CC
-809,0.00201914391087205,2,42,GO:0005871,kinesin complex,0.0191195478967761,CC
-591,1.97441383537245e-4,4,116,GO:0005875,microtubule associated complex,0.00319099571072528,CC
-332,1.05398559385228e-5,2,556,GO:0005887;GO:0031226,intrinsic component of plasma membrane,2.37766750142558e-4,CC
-1912,0.0056785860397187,4,6,GO:0005892,acetylcholine-gated channel complex,0.0410893914383419,CC
-656,7.48726211425398e-8,2,199,GO:0005911,cell-cell junction,3.02248949559621e-6,CC
-427,0.00266663022793515,3,145,GO:0005912;GO:0070161,anchoring junction,0.0229809593800703,CC
-952,3.91489474624723e-4,2,40,GO:0005913,cell-cell adherens junction,0.0055606005006882,CC
-680,2.1469582916658e-15,3,420,GO:0005929;GO:0044441,cilium,2.74452834951278e-13,CC
-778,1.59967566566551e-7,3,133,GO:0005930;GO:0032838;GO:0097014,plasma membrane bounded cell projection cytoplasm,5.57705107075203e-6,CC
-324,0.00496559366729412,5,224,GO:0005938,cell cortex,0.0380861034281459,CC
-1364,0.00258603327323968,4,14,GO:0008074,"guanylate cyclase complex, soluble",0.022910142000506,CC
-1055,0.00187162500331829,3,25,GO:0008076;GO:0034705,potassium channel complex,0.0181941848592886,CC
1270,2.43733878644493e-4,3,24,GO:0009295;GO:0042645,mitochondrial nucleoid,0.00375407834029587,CC
-346,7.46461110902448e-4,2,286,GO:0009986,cell surface,0.00923444632358351,CC
-722,0.00714191913827009,2,40,GO:0014704;GO:0044291,cell-cell contact zone,0.0493500178293077,CC
-330,1.24870527327571e-6,2,701,GO:0015630,microtubule cytoskeleton,3.54724794297211e-5,CC
1020,7.14393565542391e-8,4,81,GO:0015934,large ribosomal subunit,3.02248949559621e-6,CC
929,6.98612086008678e-5,4,53,GO:0015935,small ribosomal subunit,0.00137393710248373,CC
-422,4.42843426252954e-4,2,206,GO:0016324,apical plasma membrane,0.00617565287156392,CC
1075,6.44849205951702e-4,2,29,GO:0016469,proton-transporting two-sector ATPase complex,0.00852757484422337,CC
