name	term	lev	seq	value
"SCAR complex"	GO:0031209	3	Acropora4440	-0.836333454
"SCAR complex"	GO:0031209	3	Acropora5612	-0.250120228
"SCAR complex"	GO:0031209	3	Acropora6403	-0.737294405
"SCAR complex"	GO:0031209	3	Acropora9416	0.764533324
"SCAR complex"	GO:0031209	3	Acropora8063	-0.901659723
"SCAR complex"	GO:0031209	3	Acropora6709	-0.553003245
"cell body fiber"	GO:0070852	2	Acropora10234	-0.442869187
"cell body fiber"	GO:0070852	2	Acropora14315	-0.150176284
"cell body fiber"	GO:0070852	2	Acropora18302	0.193205484
"cell body fiber"	GO:0070852	2	Acropora1192	0.50391958
"cell body fiber"	GO:0070852	2	Acropora13851	6.13327489
"cell body fiber"	GO:0070852	2	Acropora14224	-0.127437945
"cell body fiber"	GO:0070852	2	Acropora26551	1.044877818
"cell body fiber"	GO:0070852	2	Acropora11104	0.391925761
"cell body fiber"	GO:0070852	2	Acropora13024	-0.36642282
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora4098	0.165337138
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora1960	3.744018891
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora10073	-0.308995355
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora9768	2.585719897
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora3549	0.384292922
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora5048	-0.499018631
"TIM23 mitochondrial import inner membrane translocase complex"	GO:0005744	2	Acropora9459	0.398646513
"replisome"	GO:0030894;GO:0043601	3	Acropora11158	-0.273443951
"replisome"	GO:0030894;GO:0043601	3	Acropora1894	-1.266343247
"replisome"	GO:0030894;GO:0043601	3	Acropora2855	-0.078288387
"replisome"	GO:0030894;GO:0043601	3	Acropora20533	1.19258456
"replisome"	GO:0030894;GO:0043601	3	Acropora7778	4.179913494
"replisome"	GO:0030894;GO:0043601	3	Acropora22769	-0.698883404
