"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0514134734075028 2 26 "GO:0000118" "histone deacetylase complex" 0.641071428571429
0 0.00571967891161714 3 48 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.655555555555556
0 0.0675950787733884 3 13 "GO:0000138" "Golgi trans cisterna" 0.644117647058823
0 0.934894244034364 3 155 "GO:0000139" "Golgi membrane" 1
0 0.27765769396184 2 110 "GO:0000151" "ubiquitin ligase complex" 0.668776371308017
0 0.201293854016065 4 16 "GO:0000152" "nuclear ubiquitin ligase complex" 0.662359550561798
0 0.033713428172494 4 182 "GO:0000228;GO:0044454" "nuclear chromosome" 0.751428571428571
0 0.318220652149734 3 28 "GO:0000313;GO:0005761" "organellar ribosome" 0.725296442687747
0 0.552564646114495 4 198 "GO:0000323;GO:0005764" "lytic vacuole" 0.860752688172043
0 0.20481934421975 5 62 "GO:0000428;GO:0030880;GO:0016591;GO:0055029" "RNA polymerase complex" 0.662222222222222
0 0.155842340216424 2 58 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.639041095890411
0 0.00269824089784405 4 59 "GO:0000775" "chromosome, centromeric region" 0.5
0 0.0140709262234463 2 38 "GO:0000776" "kinetochore" 0.75
0 0.0546469102024041 3 16 "GO:0000777" "condensed chromosome kinetochore" 0.641379310344828
0 0.147336756150505 2 22 "GO:0000779" "condensed chromosome, centromeric region" 0.642028985507246
0 0.128313064283394 4 24 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.625396825396825
0 0.0021761151369988 3 192 "GO:0000785" "chromatin" 0.6
0 0.0810973351192803 2 13 "GO:0000786;GO:0044815" "DNA packaging complex" 0.575
0 0.0026813804777509 5 129 "GO:0000790" "nuclear chromatin" 0.6
0 0.00511751220223224 2 26 "GO:0000791;GO:0005719" "euchromatin" 0.65
0 0.0422370009655883 2 36 "GO:0000792" "heterochromatin" 0.728571428571429
0 0.0499427901412821 2 63 "GO:0000793" "condensed chromosome" 0.655555555555556
0 0.227857012650984 5 35 "GO:0000794" "condensed nuclear chromosome" 0.672680412371134
0 0.266775072608613 2 18 "GO:0000803" "sex chromosome" 0.675663716814159
0 0.0467151774023817 4 8 "GO:0000812" "Swr1 complex" 0.666
0 0.349912569441039 2 42 "GO:0000922" "spindle pole" 0.741851851851852
0 0.145772979981622 2 37 "GO:0000932" "P-body" 0.643703703703704
0 0.38777467573773 4 50 "GO:0001650" "fibrillar center" 0.772758620689655
0 0.148082342501358 6 29 "GO:0001669" "acrosomal vesicle" 0.637857142857143
0 0.495423857842071 2 33 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.826149425287356
0 0.538316863982855 2 51 "GO:0001726" "ruffle" 0.84579945799458
0 0.167857371939153 2 18 "GO:0001750" "photoreceptor outer segment" 0.616666666666667
0 0.644399279462072 4 29 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.916829268292683
0 0.71220301642495 2 200 "GO:0005615" "extracellular space" 0.950340136054422
0 0.309277980872627 2 27 "GO:0005618;GO:0030312" "external encapsulating structure" 0.717741935483871
0 0.0707832863479622 2 172 "GO:0005635" "nuclear envelope" 0.606666666666667
0 0.269081456532049 3 13 "GO:0005637" "nuclear inner membrane" 0.67117903930131
0 0.106797653869445 2 36 "GO:0005643" "nuclear pore" 0.627619047619048
0 0.0156736577431294 2 26 "GO:0005657" "replication fork" 0.721052631578947
0 0.0918926490471143 2 98 "GO:0005667" "transcription factor complex" 0.596842105263158
0 0.0382098936911302 3 16 "GO:0005669" "transcription factor TFIID complex" 0.733333333333333
0 0.422780942937567 3 87 "GO:0005681" "spliceosomal complex" 0.818936877076412
0 0.151818670449234 5 40 "GO:0005684" "U2-type spliceosomal complex" 0.650354609929078
0 0.157818326583555 5 13 "GO:0005685" "U1 snRNP" 0.632214765100671
0 0.160733813894207 2 19 "GO:0005686" "U2 snRNP" 0.633112582781457
0 0.536385384866876 3 16 "GO:0005697" "telomerase holoenzyme complex" 0.845108695652174
0 0.0817547870314198 2 64 "GO:0005700" "polytene chromosome" 0.566666666666667
0 0.406021509859442 2 23 "GO:0005703" "polytene chromosome puff" 0.796959459459459
0 0.0148622736117676 2 16 "GO:0005720" "nuclear heterochromatin" 0.705555555555555
0 0.163934879059962 3 15 "GO:0005721" "pericentric heterochromatin" 0.60875
0 0.701849432483352 3 365 "GO:0005730" "nucleolus" 0.936136363636364
0 0.0698333798838041 2 217 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.615068493150685
0 0.586134598611159 2 61 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.851
0 0.075420897905936 2 153 "GO:0005743;GO:0019866" "organelle inner membrane" 0.6025
0 0.379180057825639 4 25 "GO:0005746;GO:0070469;GO:0098803" "respirasome" 0.767253521126761
0 0.115081523151377 2 41 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.652727272727273
0 0.186370020008054 2 157 "GO:0005759" "mitochondrial matrix" 0.667272727272727
0 0.300074417643016 6 81 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.697551020408163
0 0.592044174764986 4 61 "GO:0005766;GO:0042582" "azurophil granule" 0.854975124378109
0 0.428907286367953 4 265 "GO:0005768" "endosome" 0.809708737864078
0 0.950610082502329 5 119 "GO:0005769" "early endosome" 1
0 0.275336770361938 6 84 "GO:0005770" "late endosome" 0.666382978723404
0 0.101607236440484 2 16 "GO:0005771" "multivesicular body" 0.63030303030303
0 0.39700802008213 3 251 "GO:0005773" "vacuole" 0.786689419795222
0 0.233457678460018 4 110 "GO:0005774" "vacuolar membrane" 0.676381909547739
0 0.629368338739074 2 65 "GO:0005775" "vacuolar lumen" 0.909158415841584
0 0.0806868604366488 2 38 "GO:0005776" "autophagosome" 0.579310344827586
0 0.472655776890918 3 72 "GO:0005777;GO:0042579" "microbody" 0.805865102639296
0 0.586242209346467 4 18 "GO:0005778;GO:0031903" "microbody membrane" 0.849376558603491
0 0.152806249998394 2 72 "GO:0005788" "endoplasmic reticulum lumen" 0.648591549295775
0 0.359755654887964 2 388 "GO:0005789;GO:0044432;GO:0042175;GO:0098827" "endoplasmic reticulum part" 0.749090909090909
0 0.232735484716216 5 22 "GO:0005790" "smooth endoplasmic reticulum" 0.675757575757576
0 0.331921984203359 2 48 "GO:0005791" "rough endoplasmic reticulum" 0.741634241245136
0 0.582924983103023 4 36 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.850375939849624
0 0.260049149134055 4 51 "GO:0005795;GO:0031985" "Golgi stack" 0.7018779342723
0 0.751171795332615 3 55 "GO:0005798" "Golgi-associated vesicle" 0.989601769911505
0 0.251955097334697 5 75 "GO:0005802" "trans-Golgi network" 0.709708737864078
0 0.783187407268072 2 36 "GO:0005811" "lipid droplet" 1
0 0.0307641589497815 4 169 "GO:0005813" "centrosome" 0.790322580645161
0 0.321328680698559 2 34 "GO:0005814" "centriole" 0.722745098039216
0 0.126471723205877 2 226 "GO:0005815" "microtubule organizing center" 0.634426229508197
0 0.272364774127764 3 118 "GO:0005819" "spindle" 0.663090128755365
0 0.208495128809761 2 17 "GO:0005838;GO:0022624" "proteasome regulatory particle" 0.65792349726776
0 0.114839087730719 2 18 "GO:0005839" "proteasome core complex" 0.658715596330275
0 0.26815455148085 2 141 "GO:0005840;GO:0044391" "ribosome" 0.674449339207048
0 0.0758982611794338 2 61 "GO:0005844" "polysome" 0.581927710843373
0 0.0673681852454036 2 16 "GO:0005858" "axonemal dynein complex" 0.649253731343284
0 0.209523493251024 2 20 "GO:0005871" "kinesin complex" 0.652432432432432
0 0.321562797068967 4 63 "GO:0005874" "microtubule" 0.721875
0 0.0833208890368666 3 65 "GO:0005875" "microtubule associated complex" 0.574725274725275
0 0.464868427498059 5 15 "GO:0005881" "cytoplasmic microtubule" 0.840247678018576
0 0.122137230449119 4 29 "GO:0005884" "actin filament" 0.645689655172414
0 0.692968256055763 3 242 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.937096774193548
0 0.518479721785546 4 24 "GO:0005901;GO:0044853" "plasma membrane raft" 0.840616246498599
0 0.120476876717381 3 26 "GO:0005902" "microvillus" 0.657142857142857
0 0.457536264907611 2 51 "GO:0005903" "brush border" 0.825465838509317
0 0.0758842580725271 2 15 "GO:0005905" "clathrin-coated pit" 0.589024390243902
0 0.363548106345307 2 147 "GO:0005911" "cell-cell junction" 0.752346570397112
0 0.165418066734178 3 92 "GO:0005912;GO:0070161" "anchoring junction" 0.609316770186335
0 0.562478287990671 2 22 "GO:0005913" "cell-cell adherens junction" 0.86604774535809
0 0.0650918850772644 4 17 "GO:0005918" "septate junction" 0.65625
0 0.110783596791605 4 18 "GO:0005923" "bicellular tight junction" 0.637962962962963
0 0.190562332424424 2 60 "GO:0005924;GO:0030055;GO:0005925" "cell-substrate junction" 0.663905325443787
0 0.310760020094597 2 232 "GO:0005929;GO:0044441" "cilium" 0.718875502008032
0 0.378306254145398 4 137 "GO:0005938" "cell cortex" 0.767844522968198
0 0.344943094865379 2 71 "GO:0008021;GO:0070382" "exocytic vesicle" 0.757692307692308
0 0.121597715031632 2 15 "GO:0009295;GO:0042645" "mitochondrial nucleoid" 0.649565217391304
0 0.188849979830671 3 27 "GO:0009506;GO:0055044" "plasmodesma" 0.664670658682635
0 0.529525028187436 2 61 "GO:0009507;GO:0009536" "plastid" 0.854722222222222
0 0.316578004231853 2 23 "GO:0009526;GO:0009941" "plastid envelope" 0.727490039840637
0 0.0721584516356098 4 22 "GO:0009532;GO:0009570" "chloroplast stroma" 0.610526315789474
0 0.0118871938874518 3 17 "GO:0009534;GO:0031976;GO:0009535;GO:0055035" "plastid thylakoid" 0.771428571428571
0 0.0296841402955507 2 24 "GO:0009579;GO:0042651;GO:0034357;GO:0044436" "thylakoid" 0.831034482758621
0 0.17469934325319 2 41 "GO:0009897" "external side of plasma membrane" 0.639877300613497
0 0.0786898890073873 3 61 "GO:0009898" "cytoplasmic side of plasma membrane" 0.584705882352941
0 0.197171869521044 2 133 "GO:0009986" "cell surface" 0.657954545454545
0 0.765991962844933 4 117 "GO:0010008;GO:0044440" "endosomal part" 1
0 0.50844835434592 2 26 "GO:0010494" "cytoplasmic stress granule" 0.832294617563739
0 0.272033094374649 3 190 "GO:0012506;GO:0030659" "vesicle membrane" 0.66551724137931
0 0.241829230512473 3 74 "GO:0014069;GO:0099572;GO:0032279;GO:0098984" "postsynaptic specialization" 0.69009900990099
0 0.30731760207398 2 26 "GO:0014704;GO:0044291" "cell-cell contact zone" 0.713765182186235
0 0.154001240912693 2 24 "GO:0015030" "Cajal body" 0.64
0 0.271044402544913 3 131 "GO:0015629" "actin cytoskeleton" 0.666233766233766
0 0.120888693813611 2 376 "GO:0015630" "microtubule cytoskeleton" 0.65
0 0.556719548816677 3 73 "GO:0015934;GO:0022625" "large ribosomal subunit" 0.8616
0 0.532590775976779 3 47 "GO:0015935" "small ribosomal subunit" 0.857063711911357
0 0.700799423798607 2 32 "GO:0016234" "inclusion body" 0.936902050113895
0 0.228740088067708 2 12 "GO:0016235" "aggresome" 0.672307692307692
0 0.490972760799402 2 80 "GO:0016323" "basolateral plasma membrane" 0.822543352601156
0 0.384202213705775 3 105 "GO:0016324" "apical plasma membrane" 0.775174825174825
0 0.0193187832301578 3 16 "GO:0016327" "apicolateral plasma membrane" 0.717391304347826
0 0.0266742519513221 3 18 "GO:0016328" "lateral plasma membrane" 0.807407407407407
0 0.38333774870936 2 42 "GO:0016363" "nuclear matrix" 0.774736842105263
0 0.208548449592572 2 22 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.654347826086957
0 0.057345640384025 2 26 "GO:0016528;GO:0016529" "sarcoplasm" 0.626229508196721
0 0.141283232311132 2 253 "GO:0016604" "nuclear body" 0.655813953488372
0 0.0451639497835669 5 26 "GO:0016605" "PML body" 0.704347826086956
0 0.306235986792614 2 132 "GO:0016607" "nuclear speck" 0.715447154471545
0 0.0242914964151595 2 27 "GO:0017053" "transcriptional repressor complex" 0.808
