gene,lpv
Acropora1,-1.639006153
Acropora2,0.431924764
Acropora3,0.654329264
Acropora6,-3.212150436
Acropora7,-1.300294953
Acropora8,0.082265617
Acropora9,0.368454913
Acropora12,-1.857689685
Acropora13,0.166392292
Acropora15,0.042921663
Acropora16,0.22697084
Acropora18,-0.247013745
Acropora19,-0.070816035
Acropora20,2.423590419
Acropora21,-1.724397872
Acropora23,-2.665750787
Acropora24,-0.754377562
Acropora25,0.550834415
Acropora26,0.668027853
Acropora27,-0.020052711
Acropora28,-3.093735033
Acropora29,-0.865021268
Acropora30,11.36310811
Acropora31,-0.093214341
Acropora32,5.00945099
Acropora33,-4.955347579
Acropora34,-0.056479671
Acropora36,1.853946052
Acropora37,0.692651694
Acropora38,0.504304207
Acropora39,0.336746396
Acropora40,-1.3826457110000001
Acropora41,-0.796673892
Acropora46,-3.173058342
Acropora47,0.051090296
Acropora48,-2.568930007
Acropora49,9.949591526
Acropora50,-1.592404108
Acropora51,0.393252366
Acropora52,-5.281041794
Acropora53,0.036308424
Acropora54,7.08177783
Acropora55,0.592200079
Acropora56,1.556550906
Acropora57,0.477732661
Acropora59,5.828499491
Acropora60,-0.251091905
Acropora61,-0.084620065
Acropora62,0.4613651
Acropora63,0.19113607
Acropora64,-0.457892352
Acropora65,-0.145444192
Acropora66,-0.343051963
Acropora67,-3.423439072
Acropora68,1.537902843
Acropora69,0.336539649
Acropora70,0.016488529
Acropora72,-3.892630531
Acropora73,0.094921475
Acropora74,-0.374655893
Acropora76,1.047619011
Acropora77,3.313269994
Acropora78,-0.415075783
Acropora79,-2.50157346
Acropora81,-4.637607935
Acropora82,-1.103557445
Acropora83,0.07924114
Acropora84,-0.139006711
Acropora85,-0.601233281
Acropora86,-0.610604585
Acropora87,-5.060564187
Acropora88,-0.01137114
Acropora89,0.027580161
Acropora90,-0.456786719
Acropora91,-0.654983796
Acropora92,0.085334234
Acropora94,4.265551485
Acropora95,-0.293577781
Acropora96,-2.744084254
Acropora98,-0.018194846
Acropora99,0.244083798
Acropora100,3.731724965
Acropora101,-0.006433707
Acropora102,7.879955441
Acropora103,1.096028018
Acropora104,-0.644888468
Acropora105,-1.190302752
Acropora106,0.277895289
Acropora107,0.115333999
Acropora109,-0.675790039
Acropora110,-1.986652519
Acropora112,2.930707396
Acropora113,0.647062043
Acropora114,2.421074415
Acropora115,-0.041607479
Acropora116,0.017709438
Acropora117,-0.147488662
Acropora118,-1.210439114
Acropora119,-9.117946669
Acropora120,-0.240073077
Acropora121,0.503302917
Acropora122,-4.356898445
Acropora123,-19.32865319
Acropora125,1.128368302
Acropora132,2.195319999
Acropora135,-2.756789661
Acropora137,-0.049928834
Acropora138,1.138067459
Acropora139,-0.011085959
Acropora140,-4.660542692
Acropora141,0.428604393
Acropora143,-0.753540376
Acropora144,-0.476305052
Acropora146,10.58903219
Acropora147,8.298030458
Acropora148,-1.688981354
Acropora149,-0.793708537
Acropora150,-0.953717067
Acropora151,-16.01829356
Acropora152,-19.35594701
Acropora153,-3.85356801
Acropora154,-2.680748172
Acropora155,1.980760951
Acropora156,-0.808477229
Acropora157,-1.024766637
Acropora158,-2.598726441
Acropora159,-0.794556361
Acropora160,-4.950586322
Acropora161,-0.473085491
Acropora162,0.117105937
Acropora164,-0.189201472
Acropora165,-7.400035805
Acropora166,5.392268377
Acropora168,0.023658237
Acropora169,0.026829318
Acropora171,0.270075155
Acropora174,-0.244083798
Acropora175,-0.836299611
Acropora178,0.102129027
Acropora180,1.873866358
Acropora181,-0.0079501
Acropora182,-1.763044986
Acropora183,-2.348196712
Acropora184,8.389993365
Acropora185,0.525565675
Acropora189,0.318579876
Acropora190,-1.833686454
Acropora191,0.032505654
Acropora192,-1.521471938
Acropora193,-1.095345254
Acropora194,0.159064956
Acropora195,-0.177667011
Acropora196,-5.946033124
Acropora197,-1.440545064
Acropora198,-1.150052529
Acropora199,-1.517912507
Acropora201,0.020007533
Acropora202,-0.160363323
Acropora203,1.706873643
Acropora204,-0.418842341
Acropora205,3.273800687
Acropora206,0.343358152
Acropora207,0.20693158
Acropora208,-1.036903282
Acropora209,3.622912466
Acropora211,-0.255105756
Acropora212,-0.307396087
Acropora213,-0.679329505
Acropora215,-3.441960507
Acropora216,0.025777722
Acropora217,0.235745644
Acropora218,1.857168
Acropora219,-0.181434777
Acropora221,3.78472444
Acropora223,-0.407706628
Acropora224,11.22606304
Acropora226,2.225818887
Acropora227,-0.238553155
Acropora228,0.770864132
Acropora231,3.144449238
Acropora233,0.617459274
Acropora234,1.127284735
Acropora235,0.777994054
Acropora236,-0.127616548
Acropora237,-7.930905966
Acropora238,-1.275012135
Acropora239,-6.012777466
Acropora240,-2.360606049
Acropora241,4.226591112
Acropora242,14.25373946
Acropora243,9.283339244
Acropora244,-0.178262888
Acropora245,0.166345693
Acropora246,0.557229225
Acropora247,-0.129680803
Acropora248,1.624677257
Acropora249,0.616460093
Acropora250,-0.419386896
Acropora252,2.000834552
Acropora253,-0.095761621
Acropora254,-2.021032029
Acropora255,-3.094166395
Acropora257,-5.399321187
Acropora258,-2.399014839
Acropora259,2.162567699
Acropora260,-0.151699538
Acropora261,-2.496420997
Acropora262,-3.24489076
Acropora263,-11.80116662
Acropora264,-1.667844596
Acropora265,-0.351471507
Acropora268,-1.290067254
Acropora270,-4.954916186
Acropora271,0.423128174
Acropora272,-0.035968498
Acropora274,-0.007144311
Acropora275,0.072109427
Acropora277,-2.364515514
Acropora279,-0.384373579
Acropora282,0.388517994
Acropora283,-1.234479005
Acropora285,0.710599938
Acropora286,0.567280492
Acropora287,-1.213111406
Acropora289,-0.171696211
Acropora291,2.118213082
Acropora293,-0.761659137
Acropora294,-0.066042503
Acropora296,-4.691843874
Acropora297,-0.916187229
Acropora298,-7.155722068
Acropora301,-3.235377886
Acropora302,1.785784257
Acropora304,-0.701781963
Acropora305,-0.501625449
Acropora306,-0.701781963
Acropora307,-2.693068097
Acropora308,-2.980124959
Acropora309,0.556675257
Acropora310,-7.624153694
Acropora311,0.162127223
Acropora313,2.523247992
Acropora315,7.517346132
Acropora317,-0.411485991
Acropora319,-0.756034314
Acropora321,0.498067624
Acropora323,-3.824707177
Acropora324,1.004087839
Acropora325,3.818546146
Acropora326,0.074005811
Acropora327,2.318911622
Acropora328,3.101331933
Acropora330,-0.97897692
Acropora331,15.75205712
Acropora332,0.064471173
Acropora333,-0.092754834
Acropora334,3.19670308
Acropora335,-3.86930028
Acropora336,0.148003879
Acropora337,-0.858901917
Acropora338,-0.053417981
Acropora339,-0.294124423
Acropora340,-0.51826389
Acropora341,2.126205838
Acropora342,1.732624264
Acropora344,0.228126675
Acropora346,-0.935479165
Acropora347,-1.692890241
Acropora349,0.158766626
Acropora350,-0.174254324
Acropora352,0.147452255
Acropora353,0.758743126
Acropora354,0.240567685
Acropora355,0.059676088
Acropora356,0.036126869
Acropora357,0.03944521
Acropora358,-0.434315558
Acropora359,-0.249374149
Acropora361,-0.595676308
Acropora362,-0.332658257
Acropora363,-5.226540375
Acropora364,-0.214501439
Acropora366,-1.032187271
Acropora367,-0.287677288
Acropora368,1.908219001
Acropora369,0.08716564
Acropora370,-1.120031461
Acropora371,0.092754834
Acropora372,4.526336476
Acropora373,-0.09929167
Acropora374,1.324358273
Acropora375,-1.561145883
Acropora376,0.247740816
Acropora377,-0.271563078
Acropora378,0.559114888
Acropora379,2.456156203
Acropora381,-0.885137556
Acropora382,-0.995933701
Acropora385,0.533275664
Acropora386,-0.52470403
Acropora387,2.871384563
Acropora388,0.569211215
Acropora389,0.17774669
Acropora390,-0.760558448
Acropora391,-1.034259569
Acropora392,-2.106533647
Acropora393,4.31682588
Acropora394,-1.94823949
Acropora395,-4.113268597
Acropora396,-1.205811207
Acropora397,0.055427937
Acropora398,1.035671919
Acropora401,0.916686974
Acropora402,-5.28555744
Acropora403,-0.129296054
Acropora405,-1.357521375
Acropora407,0.05943726
Acropora409,-0.007826468
Acropora410,-0.932623944
Acropora411,-0.018194846
Acropora412,-0.520022392
Acropora413,-2.570022411
Acropora417,0.033127031
Acropora418,4.711256681
Acropora419,0.972436738
Acropora420,1.027164921
Acropora421,-1.40655746
Acropora422,2.523400955
Acropora424,-0.952761599
Acropora425,3.212817191
Acropora426,-0.282063087
Acropora427,0.357041022
Acropora428,0.110210364
Acropora429,1.830229239
Acropora430,-0.545743701
Acropora433,-0.022140062
Acropora435,-0.614198336
Acropora436,-0.727686567
Acropora437,5.533086833
Acropora441,0.374980053
Acropora443,-1.402962518
Acropora444,3.537015555
