gene,Fish_kME
Acropora1,0
Acropora2,0
Acropora6,0
Acropora7,0
Acropora12,0
Acropora13,0.203589208121739
Acropora19,0
Acropora20,0.516849044391568
Acropora21,0
Acropora23,0
Acropora24,0
Acropora26,0.508229793078195
Acropora27,0
Acropora28,0
Acropora29,0
Acropora30,0.875366710706083
Acropora31,0
Acropora32,0.561376651587123
Acropora33,0
Acropora34,0
Acropora36,0.374711479263529
Acropora39,0.200825756619607
Acropora40,0
Acropora41,0
Acropora46,0
Acropora48,0
Acropora49,0.754246439929521
Acropora50,0
Acropora51,0
Acropora52,0
Acropora54,0.694189893859012
Acropora55,0.268143797671644
Acropora56,0.180996129008093
Acropora57,0
Acropora59,0.497138694458495
Acropora60,0
Acropora62,0
Acropora66,0
Acropora67,0
Acropora68,0.137613742923873
Acropora69,0
Acropora72,0
Acropora76,0.514203771727869
Acropora77,0.75864219528287
Acropora78,0
Acropora79,0
Acropora81,0
Acropora82,0
Acropora83,0
Acropora84,0
Acropora85,0
Acropora86,0
Acropora87,0
Acropora88,0
Acropora92,0
Acropora94,0.52467874220218
Acropora96,0
Acropora99,0.199853803225319
Acropora100,0.801051997953481
Acropora101,0
Acropora102,0.845891816232311
Acropora103,0.479148450230248
Acropora109,0
Acropora110,0
Acropora112,0.627161580021544
Acropora113,0.237876266482989
Acropora114,0
Acropora117,0
Acropora119,0
Acropora120,0
Acropora121,0
Acropora122,0
Acropora123,0
Acropora125,0.070554674287044
Acropora132,0.335300415971126
Acropora135,0
Acropora137,0
Acropora138,0
Acropora139,0
Acropora140,0
Acropora141,0
Acropora143,0
Acropora146,0.683988292056864
Acropora147,0
Acropora148,0
Acropora151,0
Acropora152,0
Acropora153,0
Acropora154,0
Acropora155,0
Acropora156,0
Acropora158,0
Acropora159,0
Acropora160,0
Acropora161,0
Acropora162,0.351258534050286
Acropora165,0
Acropora166,0.619027349485723
Acropora178,0.235245685521118
Acropora180,0.688802388001769
Acropora182,0
Acropora183,0
Acropora184,0.709917447668784
Acropora185,0
Acropora190,0
Acropora192,0
Acropora195,0
Acropora196,0
Acropora198,0
Acropora199,0
Acropora201,0.403376837518857
Acropora202,0
Acropora203,0.498595032697818
Acropora204,0
Acropora205,0.551619057156052
Acropora207,0.361169455915465
Acropora208,0
Acropora209,0.584909417872251
Acropora211,0
Acropora212,0
Acropora213,0
Acropora215,0
Acropora218,0.486383137702206
Acropora219,0
Acropora221,0.596983239000304
Acropora223,0
Acropora224,0.828435107165796
Acropora226,0
Acropora227,0
Acropora228,0
Acropora233,0
Acropora234,0.651026874573818
Acropora235,0
Acropora236,0
Acropora237,0
Acropora238,0
Acropora239,0
Acropora240,0
Acropora241,0.485890905165893
Acropora242,0.898486969467496
Acropora243,0.944917719834173
Acropora244,0.0998217345161784
Acropora245,0
Acropora246,0
Acropora247,0
Acropora249,0.345183313191864
Acropora250,0
Acropora252,0.611361756645461
Acropora253,0
Acropora255,0
Acropora257,0
Acropora258,0
Acropora259,0.597388748237332
Acropora261,0
Acropora262,0
Acropora263,0
Acropora264,0
Acropora268,0
Acropora270,0
Acropora272,0
Acropora277,0
Acropora279,0
Acropora282,0
Acropora285,0
Acropora286,0
Acropora287,0
Acropora291,0.237545760662056
Acropora293,0
Acropora296,0
Acropora298,0
Acropora301,0
Acropora302,0.485658435732628
Acropora304,0
Acropora305,0
Acropora306,0
Acropora307,0
Acropora308,0
Acropora309,0
Acropora310,0
Acropora311,0
Acropora313,0.428841619375086
Acropora315,0
Acropora319,0
Acropora323,0
Acropora324,0.539929198246323
Acropora325,0.700942468701554
Acropora326,0
Acropora327,0.665324188787539
Acropora328,0.73972549593287
Acropora330,0
Acropora331,0.924609959795312
Acropora333,0
Acropora334,0.762509065659437
Acropora335,0
Acropora336,0
Acropora337,0
Acropora338,0
Acropora339,0
Acropora342,0
Acropora347,0
Acropora349,0.0893256497684764
Acropora353,0
Acropora354,0
Acropora355,0
Acropora356,0
Acropora357,0
Acropora358,0
Acropora359,0
Acropora361,0
Acropora362,0
Acropora363,0
Acropora364,0
Acropora366,0
Acropora368,0.777551558807633
Acropora370,0
Acropora371,0
Acropora372,0.86316905725361
Acropora373,0
Acropora374,0
Acropora375,0
Acropora376,0
Acropora378,0.558705564881619
Acropora379,0.690826314773276
Acropora381,0
Acropora382,0
Acropora385,0.564891139596241
Acropora386,0
Acropora387,0.668645569944213
Acropora388,0.516384272732206
Acropora390,0
Acropora391,0
Acropora392,0
Acropora393,0.785093634526336
Acropora394,0
Acropora395,0
Acropora396,0
Acropora398,0.267477630401836
Acropora401,0.331254798265094
Acropora402,0
Acropora405,0
Acropora407,0.121129827946362
Acropora409,0.302204273480731
Acropora413,0
Acropora417,0
Acropora418,0.814945977705222
Acropora419,0.164340127288836
Acropora420,0.534740692532199
Acropora421,0
Acropora422,0
Acropora424,0
Acropora425,0.559862277568533
Acropora427,0.20191112784201
Acropora429,0.664427096848415
Acropora430,0
Acropora435,0
Acropora436,0
Acropora437,0
Acropora441,0.225977368456903
Acropora443,0
Acropora444,0.452174268919177
Acropora445,0.0525012054979061
Acropora446,0
Acropora447,0
Acropora448,0.873128465843128
Acropora449,0
Acropora452,0
Acropora454,0
Acropora455,0
Acropora456,0
Acropora457,0
Acropora464,0
Acropora465,0
Acropora466,0
Acropora469,0
Acropora470,0.311842429711071
Acropora471,0
Acropora475,0
Acropora476,0
Acropora477,0
Acropora479,0
Acropora480,0
Acropora481,0
Acropora485,0
Acropora487,0
Acropora490,0.83283297658392
Acropora496,0.451002959908788
Acropora497,0
Acropora498,0.657646427912077
Acropora499,0
Acropora500,0
Acropora501,0
Acropora503,0
Acropora506,0
Acropora507,0
Acropora508,0
Acropora509,0
Acropora510,0
Acropora511,0
Acropora512,0
Acropora514,0
Acropora516,0.33084570092475
Acropora517,0
Acropora518,0
Acropora519,0.760381661412559
Acropora521,0
Acropora523,0
Acropora524,0
Acropora525,0
Acropora527,0
Acropora531,-0.0158213384734498
Acropora532,0.230982902382207
Acropora533,0
Acropora534,0
Acropora535,0.0898878070755061
Acropora536,0.501446276281164
Acropora537,0
Acropora541,0.685963969720057
Acropora542,0
Acropora543,0
Acropora546,0
Acropora551,0
Acropora552,0
Acropora564,0
Acropora565,0
Acropora566,0
Acropora570,0
Acropora572,0
Acropora573,0
Acropora574,0
Acropora575,0
Acropora579,0
Acropora580,0
Acropora581,0
Acropora582,0.506672611345205
Acropora584,0.242989335919623
Acropora587,0
Acropora588,0.123409393974425
Acropora594,0
Acropora596,0.147536518594589
Acropora601,0
Acropora602,0.875859915082324
Acropora603,0
Acropora605,0.81328807738002
Acropora607,0
Acropora608,0
Acropora609,0
Acropora610,0
Acropora611,0
Acropora612,0
Acropora613,0
Acropora614,0
Acropora615,0.416957519446251
Acropora616,0
Acropora617,0
Acropora619,0.783089707131257
Acropora620,0
Acropora624,0.506538094004935
Acropora625,0
Acropora626,0
Acropora627,0
Acropora628,0
Acropora629,0
Acropora631,0.316483940285516
Acropora632,0.191637504005775
Acropora633,0
Acropora636,0
Acropora639,0
Acropora640,0
Acropora641,0.402066444400397
Acropora644,0.698648580044874
Acropora647,0.533678453897774
Acropora648,0
Acropora649,0
Acropora650,0
Acropora651,0
Acropora658,0.0491543899015287
Acropora659,0
Acropora667,0
Acropora669,0
Acropora670,0.573480524626446
Acropora671,0.430239000243937
Acropora672,0.331443319282037
Acropora674,0
Acropora675,0
Acropora677,0
Acropora678,0.841515730255196
Acropora679,0
Acropora680,0
Acropora681,0
Acropora682,0
Acropora683,0.900053178998365
Acropora684,0.448439447384092
Acropora688,0
Acropora689,0.55455682954465
Acropora690,0
Acropora692,0.641874228134987
Acropora695,0.230108163430977
Acropora696,0
Acropora698,0
Acropora700,0.322806879246552
Acropora703,0
Acropora706,0
Acropora707,0
Acropora710,0
Acropora711,0
Acropora712,0
Acropora713,0
Acropora716,0
