gene,Fish_kME
Acropora1,0
Acropora2,0
Acropora6,0
Acropora7,0
Acropora12,0
Acropora13,0
Acropora19,0
Acropora20,0
Acropora21,0
Acropora23,0
Acropora24,0
Acropora26,0
Acropora27,0
Acropora28,0
Acropora29,0
Acropora30,0
Acropora31,0
Acropora32,0
Acropora33,0
Acropora34,0
Acropora36,0
Acropora39,0
Acropora40,0
Acropora41,0
Acropora46,0
Acropora48,0
Acropora49,0
Acropora50,0
Acropora51,0.58037386648833
Acropora52,0
Acropora54,0
Acropora55,0
Acropora56,0
Acropora57,0
Acropora59,0
Acropora60,0
Acropora62,0
Acropora66,0
Acropora67,0
Acropora68,0
Acropora69,0
Acropora72,0
Acropora76,0
Acropora77,0
Acropora78,0
Acropora79,0
Acropora81,0
Acropora82,0
Acropora83,0
Acropora84,0
Acropora85,0
Acropora86,0.586921746212194
Acropora87,0
Acropora88,0
Acropora92,0
Acropora94,0
Acropora96,0
Acropora99,0
Acropora100,0
Acropora101,0
Acropora102,0
Acropora103,0
Acropora109,0
Acropora110,0
Acropora112,0
Acropora113,0
Acropora114,0
Acropora117,0
Acropora119,0
Acropora120,0
Acropora121,0
Acropora122,0
Acropora123,0
Acropora125,0
Acropora132,0
Acropora135,0
Acropora137,0
Acropora138,0
Acropora139,0
Acropora140,0
Acropora141,0.748103589323366
Acropora143,0
Acropora146,0
Acropora147,0
Acropora148,0
Acropora151,0
Acropora152,0
Acropora153,0
Acropora154,0
Acropora155,0
Acropora156,0
Acropora158,0
Acropora159,0
Acropora160,0
Acropora161,0
Acropora162,0
Acropora165,0
Acropora166,0
Acropora178,0
Acropora180,0
Acropora182,0
Acropora183,0
Acropora184,0
Acropora185,0
Acropora190,0
Acropora192,0
Acropora195,0
Acropora196,0
Acropora198,0
Acropora199,0
Acropora201,0
Acropora202,0
Acropora203,0
Acropora204,0
Acropora205,0
Acropora207,0
Acropora208,0
Acropora209,0
Acropora211,0
Acropora212,0
Acropora213,0
Acropora215,0
Acropora218,0
Acropora219,0
Acropora221,0
Acropora223,0
Acropora224,0
Acropora226,0
Acropora227,0
Acropora228,0
Acropora233,0
Acropora234,0
Acropora235,0
Acropora236,0
Acropora237,0
Acropora238,0
Acropora239,0
Acropora240,0
Acropora241,0
Acropora242,0
Acropora243,0
Acropora244,0
Acropora245,0
Acropora246,0
Acropora247,0
Acropora249,0
Acropora250,0
Acropora252,0
Acropora253,0
Acropora255,0
Acropora257,0
Acropora258,0
Acropora259,0
Acropora261,0
Acropora262,0
Acropora263,0
Acropora264,0
Acropora268,0
Acropora270,0
Acropora272,0
Acropora277,0
Acropora279,0
Acropora282,0
Acropora285,0
Acropora286,0
Acropora287,0
Acropora291,0
Acropora293,0
Acropora296,0
Acropora298,0
Acropora301,0
Acropora302,0
Acropora304,0
Acropora305,0
Acropora306,0
Acropora307,0
Acropora308,0
Acropora309,0
Acropora310,0
Acropora311,0
Acropora313,0
Acropora315,0
Acropora319,0
Acropora323,0
Acropora324,0
Acropora325,0
Acropora326,0
Acropora327,0
Acropora328,0
Acropora330,0
Acropora331,0
Acropora333,0
Acropora334,0
Acropora335,0
Acropora336,0
Acropora337,0
Acropora338,0
Acropora339,0
Acropora342,0
Acropora347,0
Acropora349,0
Acropora353,0
Acropora354,0
Acropora355,0
Acropora356,0
Acropora357,0
Acropora358,0
Acropora359,0
Acropora361,0
Acropora362,0
Acropora363,0
Acropora364,0
Acropora366,0
Acropora368,0
Acropora370,0
Acropora371,0
Acropora372,0
Acropora373,0
Acropora374,0.633347032501144
Acropora375,0
Acropora376,0
Acropora378,0
Acropora379,0
Acropora381,0
Acropora382,0
Acropora385,0
Acropora386,0
Acropora387,0
Acropora388,0
Acropora390,0
Acropora391,0
Acropora392,0
Acropora393,0
Acropora394,0
Acropora395,0
Acropora396,0
Acropora398,0
Acropora401,0
Acropora402,0
Acropora405,0
Acropora407,0
Acropora409,0
Acropora413,0
Acropora417,0
Acropora418,0
Acropora419,0
Acropora420,0
Acropora421,0
Acropora422,0
Acropora424,0
Acropora425,0
Acropora427,0
Acropora429,0
Acropora430,0
Acropora435,0
Acropora436,0
Acropora437,0
Acropora441,0
Acropora443,0
Acropora444,0
Acropora445,0
Acropora446,0
Acropora447,0
Acropora448,0
Acropora449,0
Acropora452,0
Acropora454,0
Acropora455,0
Acropora456,0
Acropora457,0
Acropora464,0
Acropora465,0
Acropora466,0
Acropora469,0
Acropora470,0
Acropora471,0
Acropora475,0
Acropora476,0
Acropora477,0
Acropora479,0
Acropora480,0
Acropora481,0
Acropora485,0
Acropora487,0
Acropora490,0
Acropora496,0
Acropora497,0
Acropora498,0
Acropora499,0
Acropora500,0
Acropora501,0
Acropora503,0
Acropora506,0
Acropora507,0
Acropora508,0
Acropora509,0
Acropora510,0
Acropora511,0
Acropora512,0
Acropora514,0
Acropora516,0
Acropora517,0
Acropora518,0
Acropora519,0
Acropora521,0
Acropora523,0
Acropora524,0
Acropora525,0
Acropora527,0
Acropora531,0
Acropora532,0
Acropora533,0
Acropora534,0
Acropora535,0
Acropora536,0
Acropora537,0
Acropora541,0
Acropora542,0
Acropora543,0
Acropora546,0
Acropora551,0
Acropora552,0
Acropora564,0
Acropora565,0
Acropora566,0
Acropora570,0
Acropora572,0
Acropora573,0
Acropora574,0
Acropora575,0
Acropora579,0
Acropora580,0
Acropora581,0
Acropora582,0
Acropora584,0
Acropora587,0
Acropora588,0
Acropora594,0
Acropora596,0
Acropora601,0
Acropora602,0
Acropora603,0
Acropora605,0
Acropora607,0
Acropora608,0
Acropora609,0
Acropora610,0
Acropora611,0
Acropora612,0
Acropora613,0
Acropora614,0
Acropora615,0
Acropora616,0
Acropora617,0
Acropora619,0
Acropora620,0
Acropora624,0
Acropora625,0
Acropora626,0
Acropora627,0
Acropora628,0
Acropora629,0
Acropora631,0
Acropora632,0
Acropora633,0
Acropora636,0
Acropora639,0
Acropora640,0
Acropora641,0
Acropora644,0
Acropora647,0
Acropora648,0
Acropora649,0
Acropora650,0
Acropora651,0
Acropora658,0
Acropora659,0
Acropora667,0
Acropora669,0
Acropora670,0
Acropora671,0
Acropora672,0
Acropora674,0
Acropora675,0
Acropora677,0
Acropora678,0
Acropora679,0.678193738846521
Acropora680,0
Acropora681,0
Acropora682,0
Acropora683,0
Acropora684,0
Acropora688,0
Acropora689,0
Acropora690,0
Acropora692,0
Acropora695,0
Acropora696,0
Acropora698,0
Acropora700,0
Acropora703,0
Acropora706,0
Acropora707,0
Acropora710,0
Acropora711,0
Acropora712,0
Acropora713,0
Acropora716,0
Acropora717,0
Acropora719,0
Acropora720,0
Acropora724,0
Acropora725,0
Acropora726,0
Acropora727,0
Acropora728,0
Acropora729,0
Acropora730,0
Acropora731,0
Acropora732,0
Acropora734,0
Acropora735,0
Acropora736,0
Acropora737,0
Acropora739,0
Acropora740,0
Acropora744,0
Acropora745,0
Acropora746,0
Acropora747,0
Acropora748,0
Acropora750,0
Acropora751,0
Acropora753,0
Acropora754,0
Acropora755,0
Acropora756,0
Acropora757,0
Acropora758,0
Acropora759,0
Acropora760,0
Acropora761,0
Acropora763,0
Acropora764,0
Acropora765,0
Acropora777,0
Acropora778,0
Acropora779,0
Acropora780,0
Acropora781,0
Acropora785,0
Acropora786,0
Acropora788,0
Acropora790,0
Acropora793,0
Acropora795,0
Acropora796,0
Acropora798,0
Acropora799,0
Acropora800,0
Acropora803,0
Acropora805,0
Acropora806,0
Acropora809,0
Acropora819,0
Acropora832,0
Acropora833,0
Acropora834,0
Acropora838,0
Acropora839,0
Acropora840,0
Acropora841,0
Acropora851,0
Acropora862,0
Acropora864,0
Acropora866,0
Acropora867,0
Acropora868,0
Acropora869,0
Acropora870,0
Acropora873,0
Acropora875,0
Acropora877,0
Acropora878,0
Acropora879,0
Acropora887,0
Acropora903,0
Acropora904,0
Acropora920,0
Acropora925,0
Acropora937,0
