"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
461 0.389299938980627 2 10 "GO:0000109" "nucleotide-excision repair complex" 0.63395552695996
-387 0.144149829328046 5 41 "GO:0000118" "histone deacetylase complex" 0.368543063648704
-103 0.58627887421988 4 81 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.764754926065728
339 0.487812291111918 6 12 "GO:0000124" "SAGA complex" 0.698813826490533
316 0.622050701465204 6 7 "GO:0000125" "PCAF complex" 0.788616343841011
-256 0.60049000279026 2 12 "GO:0000137" "Golgi cis cisterna" 0.776687743912528
-581 0.145888126585893 2 18 "GO:0000138" "Golgi trans cisterna" 0.370517195666821
-48 0.619985030691074 4 328 "GO:0000139" "Golgi membrane" 0.787298871755056
330 0.53836069383161 4 10 "GO:0000145" "exocyst" 0.737535565786099
-9 0.937189897721947 2 217 "GO:0000151" "ubiquitin ligase complex" 0.969837776791373
606 0.0635069603397207 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.219329558310488
-803 0.133897562807553 3 10 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.352919005750492
220 0.681456470993061 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.8296462115106
-1001 0.0761210863279948 4 9 "GO:0000164" "protein phosphatase type 1 complex" 0.239282267268738
739 0.32889422061319 2 5 "GO:0000172" "ribonuclease MRP complex" 0.581248541959255
730 0.0850039813927271 2 16 "GO:0000176;GO:0000178;GO:1905354" "exosome (RNase complex)" 0.26183957320571
1166 0.0294978007510007 4 10 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.131539611488474
681 0.324499059742898 3 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.581248541959255
88 0.347978502686876 4 348 "GO:0000228;GO:0044454" "nuclear chromosome" 0.607228046259274
-290 0.608033307395959 3 9 "GO:0000235" "astral microtubule" 0.779868807312208
-224 0.597629668156156 3 16 "GO:0000242" "pericentriolar material" 0.774293843709074
585 0.328478780394205 3 8 "GO:0000243" "commitment complex" 0.581248541959255
1466 0.0339608530915207 2 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.142338657492876
1830 0.00812047586285803 3 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.0532342306565138
53 0.884225690613777 3 22 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.941945978751065
694 0.00270525694511596 4 54 "GO:0000313;GO:0005761" "organellar ribosome" 0.0230548008544882
740 0.0453437327128936 3 21 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.172171499954403
614 0.0407547801307138 3 32 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.161128434846688
898 0.03393933515466 2 16 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.142338657492876
217 0.010891885386797 2 427 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.0652662194661977
795 0.184442737617365 2 8 "GO:0000346;GO:0000347;GO:0000445" "transcription export complex" 0.424827566824381
-24 0.947516553062548 4 21 "GO:0000407" "phagophore assembly site" 0.973403321531203
24 0.956074323621634 2 15 "GO:0000421" "autophagosome membrane" 0.976443417067634
168 0.287704805326753 5 117 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.548929317625919
839 0.190089825698444 5 7 "GO:0000439" "transcription factor TFIIH core complex" 0.429560659437451
403 0.0907272386984848 2 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.275050561587897
431 0.500887998410863 4 7 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.710533234821448
250 0.11887321610355 5 114 "GO:0000775" "chromosome, centromeric region" 0.323318286352563
318 0.0966742585853744 3 79 "GO:0000776" "kinetochore" 0.285189062826855
485 0.105895766612072 5 32 "GO:0000777" "condensed chromosome kinetochore" 0.301157705923107
285 0.560612568580657 2 12 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.755818374726897
314 0.225927969163194 2 43 "GO:0000779" "condensed chromosome, centromeric region" 0.479651701780732
236 0.533440477743793 5 20 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.736543048931359
17 0.942609470798386 2 52 "GO:0000781" "chromosome, telomeric region" 0.971749279707476
763 0.269374671087699 4 6 "GO:0000782;GO:0000783" "telomere cap complex" 0.525726139247494
-204 0.471145207090919 5 36 "GO:0000784" "nuclear chromosome, telomeric region" 0.695550707504078
-180 0.0570322781570528 4 341 "GO:0000785" "chromatin" 0.204410081058222
314 0.23100425433303 4 42 "GO:0000786;GO:0044815" "DNA packaging complex" 0.487416430127495
146 0.686567923931409 2 22 "GO:0000788" "nuclear nucleosome" 0.832575442558291
-123 0.294648643374827 2 217 "GO:0000790" "nuclear chromatin" 0.556639185882986
-752 0.0121270012679178 5 32 "GO:0000791;GO:0005719" "euchromatin" 0.0699354133270147
-601 0.0115918336789706 2 51 "GO:0000792" "heterochromatin" 0.0678697437539729
317 0.0365598920754847 5 127 "GO:0000793" "condensed chromosome" 0.148720364898718
185 0.351212484553543 2 74 "GO:0000794" "condensed nuclear chromosome" 0.607228046259274
120 0.758442699367162 3 19 "GO:0000795;GO:0099086" "synaptonemal structure" 0.873557889112936
1126 0.0354431100671161 3 10 "GO:0000796" "condensin complex" 0.146155190438054
267 0.699056487700685 3 6 "GO:0000798;GO:0008278" "cohesin complex" 0.843044537840291
234 0.696184781581999 5 8 "GO:0000800" "lateral element" 0.84222985405898
-440 0.149022431152406 2 31 "GO:0000803" "sex chromosome" 0.374376486659366
-669 0.171195520296057 6 12 "GO:0000805" "X chromosome" 0.407785602692782
586 0.32765149071046 4 8 "GO:0000808;GO:0005664" "origin recognition complex" 0.581248541959255
222 0.663745010165104 4 11 "GO:0000812" "Swr1 complex" 0.821325348225369
-750 0.241301978170828 6 7 "GO:0000813" "ESCRT I complex" 0.501568068447222
-300 0.616606040513901 6 8 "GO:0000815" "ESCRT III complex" 0.78560935726605
-1322 0.0808024833485198 2 5 "GO:0000835" "ER ubiquitin ligase complex" 0.250912974608561
-9 0.958077159191564 4 99 "GO:0000922" "spindle pole" 0.976742084266904
543 0.473401974831599 2 5 "GO:0000923" "equatorial microtubule organizing center" 0.695592556888576
723 0.156753224390084 4 11 "GO:0000930" "gamma-tubulin complex" 0.386093999590663
871 0.207682970462121 2 6 "GO:0000931;GO:0008274" "gamma-tubulin large complex" 0.456320443698288
-483 0.0352378643299872 5 55 "GO:0000932" "P-body" 0.146094280762704
367 0.627817840296776 4 5 "GO:0000938" "GARP complex" 0.79200046629544
273 0.560704895983839 3 13 "GO:0000940" "condensed chromosome outer kinetochore" 0.755818374726897
130 0.863645084870641 3 5 "GO:0000942" "condensed nuclear chromosome outer kinetochore" 0.925161704044388
-237 0.564438433951774 2 17 "GO:0000974" "Prp19 complex" 0.756176081625714
-199 0.739625965616575 3 8 "GO:0001520" "outer dense fiber" 0.863459841138376
-631 0.404677601666596 3 5 "GO:0001533" "cornified envelope" 0.643957926303484
-166 0.351511411393895 3 92 "GO:0001650" "fibrillar center" 0.607228046259274
55 0.841619703540171 2 38 "GO:0001669" "acrosomal vesicle" 0.918239420505421
713 0.115188370953273 2 14 "GO:0001673" "male germ cell nucleus" 0.316664804735342
-575 0.203828078709022 6 14 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.450536416051354
-435 0.114158866719804 3 38 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.316100544310793
-503 0.0128615927375627 4 71 "GO:0001726" "ruffle" 0.0730729009608192
-518 0.270545025207675 6 13 "GO:0001741" "XY body" 0.526670137904281
-623 0.0218579062917173 2 39 "GO:0001750" "photoreceptor outer segment" 0.104765353903258
-24 0.966111604872817 2 9 "GO:0001772" "immunological synapse" 0.978873977460305
-698 0.123052712152877 2 14 "GO:0001891" "phagocytic cup" 0.331162913057041
-1069 0.00131322753369607 2 26 "GO:0001917" "photoreceptor inner segment" 0.0145977611354331
892 0.238655172731245 2 5 "GO:0001939" "female pronucleus" 0.497414449687133
240 0.728768464321385 2 6 "GO:0001940" "male pronucleus" 0.863334413500358
244 0.665417250238985 2 9 "GO:0002080" "acrosomal membrane" 0.821325348225369
751 0.27730244856505 2 6 "GO:0002081" "outer acrosomal membrane" 0.534399442335159
-783 0.0734044832193617 3 15 "GO:0002102" "podosome" 0.234588494288543
-1375 0.0693928219970577 3 5 "GO:0002116" "semaphorin receptor complex" 0.22843044837658
-592 0.391937989616316 4 6 "GO:0002177" "manchette" 0.635552723119904
1252 0.0699810799898843 2 6 "GO:0002178;GO:0017059;GO:0031211;GO:1905961" "palmitoyltransferase complex" 0.229382428855732
163 0.489999106207275 4 52 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.69986836957352
-39 0.707898688744989 2 279 "GO:0005635" "nuclear envelope" 0.849699991028805
654 0.0927286872816136 4 19 "GO:0005637" "nuclear inner membrane" 0.278913345666657
841 0.189033871741058 2 7 "GO:0005639;GO:0031229;GO:0044453" "nuclear membrane part" 0.42928902786328
525 0.4121242078143 3 7 "GO:0005640" "nuclear outer membrane" 0.650791045420545
-371 0.467069047133268 4 11 "GO:0005641" "nuclear envelope lumen" 0.692984192995472
-756 0.317882538793883 2 5 "GO:0005642" "annulate lamellae" 0.579135171626861
-29 0.896301207253759 2 60 "GO:0005643" "nuclear pore" 0.950847892065883
135 0.741989014201285 4 17 "GO:0005652" "nuclear lamina" 0.864902087982349
688 0.250361076907911 5 8 "GO:0005655;GO:0030681;GO:0030677" "multimeric ribonuclease P complex" 0.511157235113642
733 0.00168578984004732 4 53 "GO:0005657" "replication fork" 0.016792218276835
1916 0.00556198903242927 7 6 "GO:0005658" "alpha DNA polymerase:primase complex" 0.0406290055987929
852 0.217513311562785 4 6 "GO:0005663;GO:0031390" "DNA replication factor C complex" 0.468631207777124
722 0.139907799851615 2 12 "GO:0005665" "RNA polymerase II, core complex" 0.361018258226185
1117 0.00515542450305129 2 18 "GO:0005666" "RNA polymerase III complex" 0.0383903941149548
-297 0.0173319372237788 2 190 "GO:0005667" "transcription factor complex" 0.0883199951898666
-176 0.562721251271657 4 31 "GO:0005669" "transcription factor TFIID complex" 0.756176081625714
-14 0.975714845294859 2 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.982428840132606
-1610 0.0198153583161635 2 6 "GO:0005677" "chromatin silencing complex" 0.0980540634096607
991 0.0235112300655757 3 15 "GO:0005680" "anaphase-promoting complex" 0.110225432428434
-291 0.0445321368213271 4 140 "GO:0005681" "spliceosomal complex" 0.170780744709789
-179 0.673220675174952 2 16 "GO:0005682" "U5 snRNP" 0.824856641947585
-172 0.453629859323349 2 55 "GO:0005684" "U2-type spliceosomal complex" 0.683564051278995
-64 0.900571033192482 2 11 "GO:0005685" "U1 snRNP" 0.951429727904454
-146 0.714564800607544 2 18 "GO:0005686" "U2 snRNP" 0.853693461161972
1319 0.056283690989747 2 6 "GO:0005688" "U6 snRNP" 0.20267413609923
