"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
309 0.623841049587076 2 8 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.830549633579983
625 0.149244254883741 5 17 "GO:0000030" "mannosyltransferase activity" 0.390962820807886
183 0.534233981344941 3 37 "GO:0000049" "tRNA binding" 0.766317389265225
1588 0.00133908290905953 5 13 "GO:0000062" "fatty-acyl-CoA binding" 0.0201672327679104
202 0.721036747803165 2 10 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.88186143206901
-579 0.147152584765097 3 20 "GO:0000146;GO:0030898" "microfilament motor activity" 0.386525597407818
-520 0.00832440675861926 3 83 "GO:0000149" "SNARE binding" 0.0735098822636136
680 0.281238338557171 2 8 "GO:0000150" "recombinase activity" 0.558903776261529
97 0.755200381566783 3 33 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.895701937656432
-56 0.924517999978343 3 9 "GO:0000182" "rDNA binding" 0.959464105919653
1195 0.000827210167486495 3 25 "GO:0000217" "DNA secondary structure binding" 0.0137241686878441
1634 0.0405529955484329 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.188959702661847
-534 0.463949675932734 2 6 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 0.716537228697241
72 0.672144382485725 5 111 "GO:0000287" "magnesium ion binding" 0.851663804468259
778 0.285357316467984 2 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.564018522621737
-215 0.63002818901225 2 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.833189452860403
1145 0.00820070972292705 2 17 "GO:0000400" "four-way junction DNA binding" 0.0730063182650823
1538 0.0147613266256435 6 8 "GO:0000403" "Y-form DNA binding" 0.105644788595292
1104 0.129687484497871 2 6 "GO:0000405" "bubble DNA binding" 0.362264784502981
-128 0.830042119968974 2 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.926608211620687
-619 8.28206651708928e-11 3 373 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012" "regulatory region nucleic acid binding" 2.26721570905319e-08
-666 8.399474588514e-07 5 179 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 6.84766114759566e-05
-1231 0.00989478090705775 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.0839905821180484
-551 0.048666672906742 5 41 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.20898041895248
-548 3.81417356780578e-10 3 448 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 8.35304011349466e-08
-587 0.0314741723901878 -1 43 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.164626462406937
-462 0.493825335561098 3 7 "GO:0000992;GO:0001006;GO:0001032" "RNA polymerase III type 3 promoter DNA binding" 0.737706333478039
-36 0.927043857591774 5 21 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.959464105919653
-758 0.297932668878472 5 6 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.575372614500753
101 0.865497887797442 2 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.942067780455466
-1286 0.00024350662029307 4 26 "GO:0001046" "core promoter sequence-specific DNA binding" 0.00561838126405275
-1150 9.16571913760735e-05 2 37 "GO:0001047" "core promoter binding" 0.0027879062376889
-415 0.189449266240892 -1 32 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.449019364791725
-452 0.018789624435687 2 87 "GO:0001085" "RNA polymerase II transcription factor binding" 0.1208203027325
-170 0.722144334400288 5 14 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.88186143206901
107 0.857633553710976 2 9 "GO:0001094" "TFIID-class transcription factor complex binding" 0.941934544948364
-179 0.570272399637283 3 32 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.790917234484823
-455 0.221996170569999 6 23 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.486230822592631
117 0.7693228296461 2 20 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.90328935754831
123 0.877775014156541 -1 5 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 0.945096991643473
-1013 0.13310450170524 2 7 "GO:0001134" "transcription regulator recruiting activity" 0.369661221350414
-1577 0.0480618528653919 4 5 "GO:0001135" "RNA polymerase II transcription regulator recruiting activity" 0.207947934375871
-661 0.00499117383076727 2 58 "GO:0001158;GO:0035326" "enhancer binding" 0.0551118283294841
347 0.519361339611075 3 11 "GO:0001161;GO:0044213;GO:0001162" "intronic transcription regulatory region DNA binding" 0.753245916389572
-1561 0.0321021105133905 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.164695543753441
473 0.402416867408726 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.667646166382659
-1266 0.000888935088611382 4 22 "GO:0001221" "transcription cofactor binding" 0.0144032044552343
-617 0.251829177332176 2 11 "GO:0001222" "transcription corepressor binding" 0.519308755515504
-1807 0.00238903949708001 2 9 "GO:0001223" "transcription coactivator binding" 0.0322962746827483
-818 0.147197419286813 2 10 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.386525597407818
-242 0.719968496086948 2 7 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.88186143206901
-725 0.000216290566847836 2 84 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.00550786443484606
-539 0.000222639931137435 3 153 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.00554069828626117
201 0.721368915622866 2 10 "GO:0001530" "lipopolysaccharide binding" 0.88186143206901
-190 0.778474053724849 2 7 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.905653866113564
-687 0.0594981573133014 2 24 "GO:0001540" "amyloid-beta binding" 0.229368720581853
-465 0.434330109775926 2 9 "GO:0001609;GO:0035586" "purinergic receptor activity" 0.687270910700345
632 0.385546583812752 2 6 "GO:0001618;GO:0140272;GO:0104005" "virus receptor activity" 0.649497706576867
