"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-693 0.272128527925084 5 8 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.59835489573889
1010 0.0196532766515246 2 17 "GO:0000030" "mannosyltransferase activity" 0.166824325065267
160 0.585662225620618 3 37 "GO:0000049" "tRNA binding" 0.833465832132482
1103 0.0259209415646461 2 13 "GO:0000062" "fatty-acyl-CoA binding" 0.187969741809851
652 0.247913946474866 5 10 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.577971031431915
90 0.821783310490893 3 20 "GO:0000146;GO:0030898" "microfilament motor activity" 0.956272821453271
-221 0.26160556212342 2 83 "GO:0000149" "SNARE binding" 0.58941993935215
387 0.539405846274577 2 8 "GO:0000150" "recombinase activity" 0.807076955270519
194 0.533450557198561 3 33 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.801100312084338
1 0.999328376694629 4 9 "GO:0000182" "rDNA binding" 0.999328376694629
298 0.40388582954608 2 25 "GO:0000217" "DNA secondary structure binding" 0.721460005469751
1579 0.0477506514548993 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.255058357771291
-591 0.41714873248833 2 6 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 0.725212558434254
19 0.910728797289816 2 111 "GO:0000287" "magnesium ion binding" 0.97660019550543
1047 0.150814680035279 2 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.460485959899068
92 0.837232511736529 3 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.957764200445498
314 0.469025710489436 3 17 "GO:0000400" "four-way junction DNA binding" 0.768113284305092
322 0.609527101887098 3 8 "GO:0000403" "Y-form DNA binding" 0.839905006453845
613 0.400005598526685 3 6 "GO:0000405" "bubble DNA binding" 0.718042836699541
-728 0.221303207249776 2 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.546153226452091
-676 1.30141406844367e-12 3 373 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012" "regulatory region nucleic acid binding" 4.7501613498194e-10
-707 1.7039984448005e-07 2 179 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 2.07319810784061e-05
-833 0.0808738007205128 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.336006569723727
-551 0.048531284555535 2 41 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.25670457640724
-638 3.1004830870621e-13 2 448 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 1.6975144901665e-10
-372 0.172547420330319 -1 43 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.493078967885407
-530 0.431601529794733 4 7 "GO:0000992;GO:0001006;GO:0001032" "RNA polymerase III type 3 promoter DNA binding" 0.736142796145222
-36 0.92670298982474 2 21 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.97660019550543
-60 0.934922555213454 4 6 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.977636237313832
-49 0.933883631682306 3 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.977636237313832
-791 0.0240028373481115 2 26 "GO:0001046" "core promoter sequence-specific DNA binding" 0.183762325366385
-640 0.0296348543596072 2 37 "GO:0001047" "core promoter binding" 0.204089091344465
-315 0.318425310778544 -1 32 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.638506661570745
