"","pval","term","direction","color"
"1/16 chromatin remodeling at centromere",0.043934114666457,"GO:0031055;GO:0034080;GO:0061641",1,"lightcoral"
"0/17 regulation of mitochondrial translation",0.0139353195307161,"GO:0070129",1,"lightcoral"
"3/151 DNA recombination",0.0356955378623894,"GO:0006310",1,"lightcoral"
"5/328 DNA repair",0.00460888700578211,"GO:0006281",1,"firebrick1"
"2/148 double-strand break repair",0.0161507983324769,"GO:0006302",1,"lightcoral"
"0/20 DNA amplification",0.0400471565744712,"GO:0006277;GO:0007307",1,"lightcoral"
"0/5 leading strand elongation",0.0481647479674976,"GO:0006272",1,"lightcoral"
"2/108 DNA-dependent DNA replication",0.000510618032867991,"GO:0006261",1,"firebrick1"
"10/526 DNA metabolic process",0.000449900370875527,"GO:0006259",1,"firebrick1"
"5/151 DNA replication",0.000531597068909796,"GO:0006260",1,"firebrick1"
"0/77 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.00237477124431965,"GO:0000184",1,"firebrick1"
"5/360 organic cyclic compound catabolic process",0.000409974347842741,"GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361",1,"firebrick1"
"7/236 protein targeting",0.0206131423446142,"GO:0006605",1,"lightcoral"
"1/90 protein targeting to membrane",0.000259614320400233,"GO:0006612",1,"firebrick1"
"1/147 establishment of protein localization to membrane",0.0232387498409398,"GO:0090150",1,"lightcoral"
"0/77 establishment of protein localization to endoplasmic reticulum",1.17376744379458e-05,"GO:0006613;GO:0006614;GO:0045047;GO:0072599",1,"firebrick1"
"0/87 protein localization to endoplasmic reticulum",0.000568945990722757,"GO:0070972",1,"firebrick1"
"0/99 translational initiation",0.00617022074435473,"GO:0006413",1,"firebrick1"
"2/507 cellular amide metabolic process",3.87826908744528e-07,"GO:0043603",1,"firebrick1"
"2/420 amide biosynthetic process",0.000370067773007496,"GO:0006518;GO:0043604",1,"firebrick1"
"0/86 cytoplasmic translation",1.28026738353384e-05,"GO:0002181",1,"firebrick1"
"0/273 peptide biosynthetic process",0.000763243042526756,"GO:0006412;GO:0043043",1,"firebrick1"
"0/63 translational elongation",0.0223671327805266,"GO:0006414",1,"lightcoral"
"1/76 mitochondrial gene expression",0.0282812360774518,"GO:0140053;GO:0032543",1,"lightcoral"
"5/73 proton transmembrane transport",0.0165819267526035,"GO:1902600",1,"lightcoral"
"1/55 mitochondrial respiratory chain complex assembly",1.05850406728919e-07,"GO:0033108",1,"firebrick1"
"13/300 mitochondrion organization",0.000161717154983884,"GO:0007005",1,"firebrick1"
"1/33 NADH dehydrogenase complex assembly",1.64280015692674e-05,"GO:0010257;GO:0032981",1,"firebrick1"
"0/17 respiratory chain complex IV assembly",0.0177339271025933,"GO:0008535;GO:0033617",1,"lightcoral"
"0/25 cytochrome complex assembly",0.0296526136299498,"GO:0017004",1,"lightcoral"
"29/598 oxidation-reduction process",5.31470099747078e-08,"GO:0055114",1,"firebrick1"
"1/105 cellular respiration",7.96708227476088e-07,"GO:0045333",1,"firebrick1"
"1/54 aerobic respiration",0.00492849056276,"GO:0009060",1,"firebrick1"
"4/154 energy derivation by oxidation of organic compounds",0.0063939824718261,"GO:0015980",1,"firebrick1"
"11/410 drug metabolic process",3.35638062825872e-08,"GO:0017144",1,"firebrick1"
"0/25 mitochondrial electron transport, NADH to ubiquinone",8.96725325458209e-05,"GO:0006120",1,"firebrick1"
"4/259 generation of precursor metabolites and energy",6.0037830726188e-06,"GO:0006091",1,"firebrick1"
"0/66 oxidative phosphorylation",6.00917457588889e-09,"GO:0006119",1,"firebrick1"
