"","pval","term","direction","color"
"1/36 intramolecular oxidoreductase activity",0.0232819105671554,"GO:0016860",0,"skyblue2"
"1/113 structural constituent of ribosome",0.0178007022166282,"GO:0003735",0,"skyblue2"
"1/10 misfolded protein binding",0.03126800703072,"GO:0051787",0,"skyblue2"
"1/121 microtubule binding",0.0178007022166282,"GO:0008017",1,"lightcoral"
"3/39 repressing transcription factor binding",0.0259858518039424,"GO:0070491",1,"lightcoral"
"15/290 chromatin binding",0.00024740861786277,"GO:0003682",1,"firebrick1"
"17/384 sequence-specific DNA binding",0.0188702701892475,"GO:0003690;GO:0043565",1,"lightcoral"
"2/134 catalytic activity, acting on DNA",0.0128061663469558,"GO:0140097",1,"lightcoral"
"0/100 helicase activity",0.0178007022166282,"GO:0004386;GO:0008026;GO:0070035",1,"lightcoral"
"7/295 ATPase activity",0.00184592960189961,"GO:0016887;GO:0042623",1,"firebrick1"
