delta.rank,pval,level,nseqs,term,name,p.adj,GO_category
-293,0.00173014804446868,3,348,GO:0000228;GO:0044454,nuclear chromosome,0.0181784047959928,CC
253,0.00291240076447806,5,427,GO:0000323;GO:0005773;GO:0005764,vacuole,0.0265929926946985,CC
645,0.00673977589227384,2,51,GO:0000502;GO:1905369,endopeptidase complex,0.0499211973044696,CC
-1347,0.00588882688017103,2,12,GO:0000778,condensed nuclear chromosome kinetochore,0.0456235375463756,CC
-431,5.00766125122139e-6,2,341,GO:0000785,chromatin,1.47726006911031e-4,CC
-473,0.00581990364900617,3,99,GO:0000922,spindle pole,0.0455496540692626,CC
-1106,8.8254637762056e-4,2,26,GO:0001917,photoreceptor inner segment,0.0108250134388733,CC
-338,0.0067022054132184,2,190,GO:0005667,transcription factor complex,0.0499211973044696,CC
-327,3.47169268097927e-6,2,650,GO:0005694;GO:0044427,chromosome,1.10949511929629e-4,CC
-525,0.00132594902820111,2,109,GO:0005700,polytene chromosome,0.0152004605937278,CC
1420,0.00251354072243071,3,13,GO:0005736,RNA polymerase I complex,0.0238010584457328,CC
790,6.05824437668699e-20,2,413,GO:0005740;GO:0031966,mitochondrial envelope,2.32333671845946e-17,CC
505,0.00220836036412221,2,107,GO:0005741;GO:0031968;GO:0019867,outer membrane,0.0212842872493023,CC
1401,0.00197125042957435,5,14,GO:0005744,TIM23 mitochondrial import inner membrane translocase complex,0.0198940668353096,CC
1574,7.93842362177864e-10,3,44,GO:0005746;GO:0070469;GO:0098803,respirasome,5.53524628900383e-8,CC
1338,7.95757552179298e-5,3,25,GO:0005747;GO:0045271;GO:0030964,NADH dehydrogenase complex,0.00174384583577578,CC
560,2.68095563382279e-8,2,297,GO:0005759,mitochondrial matrix,1.08225945849583e-6,CC
568,4.85295518534782e-4,3,110,GO:0005775,vacuolar lumen,0.00684006066254219,CC
602,0.00332050793731949,2,69,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,0.0291796220392162,CC
494,0.00361845536605316,3,101,GO:0005798,Golgi-associated vesicle,0.0311837670310424,CC
-463,3.5203026228219e-8,2,439,GO:0005813;GO:0005815,microtubule organizing center,1.3500360558522e-6,CC
-339,0.00334785754817604,2,223,GO:0005819,spindle,0.0291796220392162,CC
890,1.80938733893645e-10,2,151,GO:0005840;GO:0044391,ribosome,1.54200009884917e-8,CC
848,1.66828884108631e-4,3,57,GO:0005844,polysome,0.00312092083198341,CC
-947,3.03311003855653e-4,2,42,GO:0005871,kinesin complex,0.0049497774458997,CC
-553,4.89087746852152e-4,2,116,GO:0005875,microtubule associated complex,0.00684006066254219,CC
-263,4.90486748943703e-4,3,556,GO:0005887;GO:0031226,intrinsic component of plasma membrane,0.00684006066254219,CC
-679,2.61776775248366e-8,2,199,GO:0005911,cell-cell junction,1.08225945849583e-6,CC
-892,8.89147127312928e-4,3,40,GO:0005913,cell-cell adherens junction,0.0108250134388733,CC
-527,7.71091636035403e-10,2,420,GO:0005929;GO:0044441,cilium,5.53524628900383e-8,CC
-501,7.44908640041654e-4,2,133,GO:0005930;GO:0032838;GO:0097014,plasma membrane bounded cell projection cytoplasm,0.0100235952089816,CC
-1437,0.00151054366204373,2,14,GO:0008074,"guanylate cyclase complex, soluble",0.0165512426969649,CC
-1133,8.34120385888651e-4,5,25,GO:0008076;GO:0034705,potassium channel complex,0.0108250134388733,CC
-345,7.72812301436401e-4,2,286,GO:0009986,cell surface,0.0102197764689952,CC
-405,2.78128176316291e-9,2,701,GO:0015630,microtubule cytoskeleton,1.4221620748973e-7,CC
1115,3.83750204400368e-9,2,81,GO:0015934,large ribosomal subunit,1.83960254234426e-7,CC
912,9.41954877047073e-5,2,53,GO:0015935,small ribosomal subunit,0.00200688719637529,CC
-378,0.00163111948762685,2,206,GO:0016324,apical plasma membrane,0.0173759534306916,CC
1049,8.64876829591096e-4,2,29,GO:0016469,proton-transporting two-sector ATPase complex,0.0108250134388733,CC
-481,1.59765704535549e-8,2,426,GO:0016604,nuclear body,7.20825266933918e-7,CC
-692,1.10337150819592e-9,3,231,GO:0016607,nuclear speck,7.05238288988559e-8,CC
-659,0.00438094080706715,2,54,GO:0017053,transcriptional repressor complex,0.0365555859566333,CC
882,4.32707101063129e-18,2,291,GO:0019866;GO:0005743,organelle inner membrane,1.10628782171807e-15,CC
1548,1.78442536876059e-10,2,49,GO:0022625,cytosolic large ribosomal subunit,1.54200009884917e-8,CC
1314,6.60705491509704e-13,2,87,GO:0022626,cytosolic ribosome,8.44601853313238e-11,CC
1304,1.3678692784134e-5,3,32,GO:0022627,cytosolic small ribosomal subunit,3.74698477336813e-4,CC
1530,0.00175948311153623,2,12,GO:0030008,TRAPP complex,0.018236804683085,CC
-505,0.00454026855888676,4,92,GO:0030027,lamellipodium,0.037046659411342,CC
-414,1.90706110532911e-5,1,323,GO:0030054,cell junction,4.71843828318525e-4,CC
1107,2.81711221611059e-4,2,31,GO:0030120,vesicle coat,0.00469722841251483,CC
847,0.00210672137340283,3,38,GO:0030173;GO:0031228,intrinsic component of Golgi membrane,0.0207160935051278,CC
-325,1.45077336695194e-4,2,422,GO:0030424,axon,0.00292827150645299,CC
-264,0.00279542020826788,2,393,GO:0030425;GO:0097447,dendritic tree,0.0258323771053188,CC
487,0.00536758129113486,3,95,GO:0030658,transport vesicle membrane,0.0424426273226849,CC
678,0.00520927590508781,2,49,GO:0030660,Golgi-associated vesicle membrane,0.0416199439500245,CC
1081,0.0022200038851945,2,23,GO:0030867,rough endoplasmic reticulum membrane,0.0212842872493023,CC
