"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
943 0.115308221080312 2 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.524600465275293
-995 0.0121240751756156 2 16 "GO:0000030" "mannosyltransferase activity" 0.239235320277418
-48 0.861306775796867 2 33 "GO:0000049" "tRNA binding" 0.98742320494306
-732 0.0649197502447209 4 16 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.437126318314454
11 0.985517867816327 2 7 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.995155572556119
-114 0.761471024834408 8 18 "GO:0000146;GO:0030898" "microfilament motor activity" 0.970074780626022
-156 0.391023360835593 3 77 "GO:0000149" "SNARE binding" 0.792806874496872
436 0.500541574254285 2 6 "GO:0000150" "recombinase activity" 0.861324543624329
-102 0.720211297812166 4 31 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.957548024691599
595 0.287993640280938 5 8 "GO:0000182" "rDNA binding" 0.727183941709368
932 0.00485807515238899 3 23 "GO:0000217" "DNA secondary structure binding" 0.146335573772687
-651 0.358255281042224 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.781507200545672
547 0.32925376586371 2 8 "GO:0000285;GO:0016307" "phosphatidylinositol phosphate kinase activity" 0.752584581445603
-56 0.721309590512234 2 102 "GO:0000287" "magnesium ion binding" 0.957548024691599
-1031 0.111137175305351 6 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.517035854004886
-290 0.464535425765917 2 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.839879531592515
680 0.0965474065718196 4 15 "GO:0000400" "four-way junction DNA binding" 0.489625753804577
1321 0.0184071421048934 6 8 "GO:0000403" "Y-form DNA binding" 0.27165160093242
1014 0.117012692349154 2 6 "GO:0000405" "bubble DNA binding" 0.525649410216842
920 0.154815523615926 3 6 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.56165578125718
332 0.000272746098859877 2 320 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012" "regulatory region nucleic acid binding" 0.025043050895316
320 0.0142495603067485 2 151 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.266519553885481
253 0.551152709818748 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.878294139057992
36 0.889273604971286 2 37 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.990895534237524
285 0.00079791026795955 3 373 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.0572531715033956
-229 0.379944706881916 -1 37 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.791992211850306
120 0.841459862604518 8 7 "GO:0000992;GO:0001006;GO:0001032" "RNA polymerase III type 3 promoter DNA binding" 0.987242653706945
352 0.320630340649194 2 20 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.746167382616788
134 0.84996443684447 7 5 "GO:0001013;GO:0001163" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.987242653706945
-40 0.939795874434498 2 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.990895534237524
282 0.393832595359195 2 23 "GO:0001046" "core promoter sequence-specific DNA binding" 0.792806874496872
189 0.501444387773372 2 32 "GO:0001047" "core promoter binding" 0.861324543624329
273 0.125727238320551 4 80 "GO:0001085" "RNA polymerase II transcription factor binding" 0.540359620015985
660 0.133345650298251 3 13 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.547509071589349
876 0.117942318188179 2 8 "GO:0001094" "TFIID-class transcription factor complex binding" 0.525649410216842
407 0.160147378757074 3 30 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.567481983806189
-588 0.097249383668563 2 20 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.489625753804577
828 0.0228913114606612 6 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.278556922593588
747 0.248154062236003 3 6 "GO:0001134;GO:0001135" "transcription regulator recruiting activity" 0.682923628895501
82 0.714078565111773 6 51 "GO:0001158;GO:0035326" "enhancer binding" 0.955245054930125
1185 0.0344860780334275 7 8 "GO:0001161;GO:0044213;GO:0001162" "intronic transcription regulatory region sequence-specific DNA binding" 0.341479792291782
-1063 0.100406302748483 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.489625753804577
-155 0.781822644979784 -1 8 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.970074780626022
233 0.500890799998275 4 21 "GO:0001221" "transcription cofactor binding" 0.861324543624329
466 0.330036013921252 2 11 "GO:0001222" "transcription corepressor binding" 0.752584581445603
270 0.608990430243676 5 9 "GO:0001223" "transcription coactivator binding" 0.903201666000166
28 0.955846141490315 2 10 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.990895534237524
180 0.764192390000126 2 7 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.970074780626022
416 0.0351777152158203 3 65 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.344946527844451
200 0.160350422695044 4 126 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.567481983806189
-1212 0.0217468643957192 2 9 "GO:0001530" "lipopolysaccharide binding" 0.27165160093242
-272 0.674432511469849 4 6 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.950037428988211
69 0.839001726632634 2 22 "GO:0001540" "amyloid-beta binding" 0.987242653706945
-140 0.828861034941689 3 6 "GO:0001618;GO:0140272;GO:0104005" "virus receptor activity" 0.986041985030749
432 0.0938093829849108 2 38 "GO:0001653;GO:0008528" "peptide receptor activity" 0.489625753804577
109 0.519157363509696 2 90 "GO:0001664" "G protein-coupled receptor binding" 0.865259589513523
-455 0.116249746055262 4 30 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.525649410216842
-20 0.950705772224039 2 23 "GO:0001784" "phosphotyrosine residue binding" 0.990895534237524
-586 0.0400502686540628 3 31 "GO:0001786" "phosphatidylserine binding" 0.351646708965767
-274 0.518353021255187 2 14 "GO:0001871;GO:0030247" "polysaccharide binding" 0.865259589513523
