"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-513 0.415995218044752 5 8 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.739472019089291
990 0.0223110254448482 4 17 "GO:0000030" "mannosyltransferase activity" 0.148966907695785
177 0.546713092001985 2 37 "GO:0000049" "tRNA binding" 0.817531845345411
1379 0.00534503840524243 4 13 "GO:0000062" "fatty-acyl-CoA binding" 0.0650313005971162
281 0.61874392239728 3 10 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.859802785564748
-133 0.739789617066968 5 20 "GO:0000146;GO:0030898" "microfilament motor activity" 0.911214432720281
-265 0.179342834258745 3 83 "GO:0000149" "SNARE binding" 0.481304457706998
345 0.585091792053999 2 8 "GO:0000150" "recombinase activity" 0.839737476950574
137 0.660816549618144 2 33 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.883509306266017
-143 0.81069767095653 3 9 "GO:0000182" "rDNA binding" 0.932472636236765
250 0.48419921983256 2 25 "GO:0000217" "DNA secondary structure binding" 0.786837015839154
1607 0.0439882805060022 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.219152926427782
-979 0.179129502928521 2 6 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 0.481304457706998
49 0.776129277544865 3 111 "GO:0000287" "magnesium ion binding" 0.922092485111052
1217 0.0948636498656247 2 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.358534240980904
49 0.9130362744482 2 16 "GO:0000339;GO:0000340" "RNA cap binding" 0.974721801171716
238 0.582591602152812 3 17 "GO:0000400" "four-way junction DNA binding" 0.839391847838591
241 0.702464982495818 6 8 "GO:0000403" "Y-form DNA binding" 0.899230267273443
494 0.498014014754651 6 6 "GO:0000405" "bubble DNA binding" 0.788590789694382
-718 0.227186549163676 4 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.550374494102268
-679 9.79641101532717e-13 2 373 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012" "regulatory region nucleic acid binding" 5.36353503089162e-10
-723 8.93293900237857e-08 2 179 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 9.45385933169368e-06
-908 0.0569974596126033 2 14 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.261138988601676
-532 0.0567650111705258 4 41 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.261138988601676
-616 1.84951855402442e-12 3 448 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 6.75074272218913e-10
-485 0.075384333971856 -1 43 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.305725354441416
-535 0.427452599571018 4 7 "GO:0000992;GO:0001006;GO:0001032" "RNA polymerase III type 3 promoter DNA binding" 0.748152743416096
-239 0.539062324892497 2 21 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.816422193301914
-477 0.512652061446232 6 6 "GO:0001013;GO:0001163;GO:0001164" "RNA polymerase I regulatory region DNA binding" 0.801655730797151
15 0.979928040727484 2 9 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.992681975375146
-1044 0.00290397340877414 3 26 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0421446306153978
-893 0.00239241650477042 2 37 "GO:0001047" "core promoter binding" 0.0375097931334428
-470 0.137413604677527 -1 32 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.425050556841503
-579 0.00262279939449748 2 87 "GO:0001085" "RNA polymerase II transcription factor binding" 0.0393419909174622
-659 0.167496928841583 2 14 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.474861769736384
-441 0.458678244680919 2 9 "GO:0001094" "TFIID-class transcription factor complex binding" 0.766338586426708
-411 0.192976525532385 3 32 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.500573643042182
-78 0.83400132380213 6 23 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.947898680266124
-478 0.231147469380728 6 20 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.556277975762411
-159 0.842008222357924 -1 5 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 0.950562973352314
-1314 0.051370176015304 3 7 "GO:0001134" "transcription regulator recruiting activity" 0.244566707551121
-2080 0.00911961288656648 4 5 "GO:0001135" "RNA polymerase II transcription regulator recruiting activity" 0.0877058652955829
-590 0.0121028308409794 3 58 "GO:0001158;GO:0035326" "enhancer binding" 0.101943075160557
-624 0.24599474160079 3 11 "GO:0001161;GO:0044213;GO:0001162" "intronic transcription regulatory region sequence-specific DNA binding" 0.580385146368463
-1155 0.112870494636426 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.381460467984218
357 0.527285563766328 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.807138235237747
-1239 0.00114184477556421 4 22 "GO:0001221" "transcription cofactor binding" 0.0208386671540468
-650 0.226810324050291 2 11 "GO:0001222" "transcription corepressor binding" 0.550374494102268
-1768 0.00296359502957592 2 9 "GO:0001223" "transcription coactivator binding" 0.0421446306153978
-720 0.201915933226334 2 10 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.512324731358035
-190 0.777986173591729 6 7 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.922092485111052
-726 0.000212206441513993 4 84 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.00580915133644556
