"","gene","lpv"
"1","Acropora_000001",1
"2","Acropora_000002",0
"3","Acropora_000003",0
"4","Acropora_000006",1
"5","Acropora_000007",1
"6","Acropora_000008",0
"7","Acropora_000009",0
"8","Acropora_000012",0
"9","Acropora_000013",0
"10","Acropora_000015",0
"11","Acropora_000016",0
"12","Acropora_000018",0
"13","Acropora_000019",0
"14","Acropora_000020",0
"15","Acropora_000021",0
"16","Acropora_000023",0
"17","Acropora_000024",0
"18","Acropora_000025",0
"19","Acropora_000026",0
"20","Acropora_000027",0
"21","Acropora_000028",1
"22","Acropora_000029",1
"23","Acropora_000030",1
"24","Acropora_000031",0
"25","Acropora_000032",1
"26","Acropora_000033",0
"27","Acropora_000034",0
"28","Acropora_000036",0
"29","Acropora_000037",0
"30","Acropora_000038",1
"31","Acropora_000039",0
"32","Acropora_000040",1
"33","Acropora_000041",0
"34","Acropora_000046",1
"35","Acropora_000047",0
"36","Acropora_000048",1
"37","Acropora_000049",0
"38","Acropora_000050",1
"39","Acropora_000051",0
"40","Acropora_000052",1
"41","Acropora_000053",1
"42","Acropora_000054",0
"43","Acropora_000055",0
"44","Acropora_000056",0
"45","Acropora_000057",0
"46","Acropora_000059",1
"47","Acropora_000060",0
"48","Acropora_000061",0
"49","Acropora_000062",0
"50","Acropora_000063",0
"51","Acropora_000064",0
"52","Acropora_000065",0
"53","Acropora_000066",0
"54","Acropora_000067",1
"55","Acropora_000068",0
"56","Acropora_000069",0
"57","Acropora_000070",0
"58","Acropora_000072",1
"59","Acropora_000073",0
"60","Acropora_000074",0
"61","Acropora_000076",0
"62","Acropora_000077",1
"63","Acropora_000078",0
"64","Acropora_000079",0
"65","Acropora_000081",0
"66","Acropora_000082",0
"67","Acropora_000083",1
"68","Acropora_000084",0
"69","Acropora_000085",0
"70","Acropora_000086",1
"71","Acropora_000087",0
"72","Acropora_000088",0
"73","Acropora_000089",0
"74","Acropora_000090",0
"75","Acropora_000091",0
"76","Acropora_000092",0
"77","Acropora_000094",0
"78","Acropora_000095",0
"79","Acropora_000096",0
"80","Acropora_000098",0
"81","Acropora_000099",0
"82","Acropora_000100",1
"83","Acropora_000101",0
"84","Acropora_000102",1
"85","Acropora_000103",1
"86","Acropora_000104",0
"87","Acropora_000105",1
"88","Acropora_000106",1
"89","Acropora_000107",0
"90","Acropora_000109",1
"91","Acropora_000110",0
"92","Acropora_000112",1
"93","Acropora_000113",0
"94","Acropora_000114",0
"95","Acropora_000115",0
"96","Acropora_000116",0
"97","Acropora_000117",0
"98","Acropora_000118",0
"99","Acropora_000119",1
"100","Acropora_000120",0
"101","Acropora_000121",0
"102","Acropora_000122",1
"103","Acropora_000123",1
"104","Acropora_000125",0
"105","Acropora_000132",0
"106","Acropora_000135",0
"107","Acropora_000137",0
"108","Acropora_000138",0
"109","Acropora_000139",0
"110","Acropora_000140",0
"111","Acropora_000141",1
"112","Acropora_000143",0
"113","Acropora_000144",0
"114","Acropora_000146",1
"115","Acropora_000147",0
"116","Acropora_000148",1
"117","Acropora_000149",0
"118","Acropora_000150",0
"119","Acropora_000151",1
"120","Acropora_000152",1
"121","Acropora_000153",0
"122","Acropora_000154",1
"123","Acropora_000155",0
"124","Acropora_000156",0
"125","Acropora_000157",0
"126","Acropora_000158",1
"127","Acropora_000159",0
"128","Acropora_000160",1
"129","Acropora_000161",0
"130","Acropora_000162",0
"131","Acropora_000164",0
"132","Acropora_000165",1
"133","Acropora_000166",1
"134","Acropora_000168",0
"135","Acropora_000169",0
"136","Acropora_000171",0
"137","Acropora_000174",0
"138","Acropora_000175",0
"139","Acropora_000178",0
"140","Acropora_000180",1
"141","Acropora_000181",0
"142","Acropora_000182",0
"143","Acropora_000183",0
"144","Acropora_000184",1
"145","Acropora_000185",1
"146","Acropora_000189",0
"147","Acropora_000190",0
"148","Acropora_000191",0
"149","Acropora_000192",0
"150","Acropora_000193",0
"151","Acropora_000194",0
"152","Acropora_000195",0
"153","Acropora_000196",1
"154","Acropora_000197",1
"155","Acropora_000198",0
"156","Acropora_000199",0
"157","Acropora_000201",0
"158","Acropora_000202",0
"159","Acropora_000203",0
"160","Acropora_000204",0
"161","Acropora_000205",0
"162","Acropora_000206",0
"163","Acropora_000207",0
"164","Acropora_000208",0
"165","Acropora_000209",1
"166","Acropora_000211",0
"167","Acropora_000212",0
"168","Acropora_000213",1
"169","Acropora_000215",0
"170","Acropora_000216",0
"171","Acropora_000217",0
"172","Acropora_000218",0
"173","Acropora_000219",0
"174","Acropora_000221",1
"175","Acropora_000223",0
"176","Acropora_000224",1
"177","Acropora_000226",0
"178","Acropora_000227",0
"179","Acropora_000228",1
"180","Acropora_000231",0
"181","Acropora_000233",0
"182","Acropora_000234",0
"183","Acropora_000235",0
"184","Acropora_000236",0
"185","Acropora_000237",0
"186","Acropora_000238",0
"187","Acropora_000239",0
"188","Acropora_000240",0
"189","Acropora_000241",0
"190","Acropora_000242",1
"191","Acropora_000243",1
"192","Acropora_000244",0
"193","Acropora_000245",0
"194","Acropora_000246",0
"195","Acropora_000247",0
"196","Acropora_000248",0
"197","Acropora_000249",0
"198","Acropora_000250",0
"199","Acropora_000252",0
"200","Acropora_000253",0
"201","Acropora_000254",0
"202","Acropora_000255",0
"203","Acropora_000257",1
"204","Acropora_000258",0
"205","Acropora_000259",0
"206","Acropora_000260",0
"207","Acropora_000261",1
"208","Acropora_000262",0
"209","Acropora_000263",1
"210","Acropora_000264",1
"211","Acropora_000265",0
"212","Acropora_000268",0
"213","Acropora_000270",1
"214","Acropora_000271",0
"215","Acropora_000272",0
"216","Acropora_000274",0
"217","Acropora_000275",0
"218","Acropora_000277",0
"219","Acropora_000279",0
"220","Acropora_000282",0
"221","Acropora_000283",0
"222","Acropora_000285",1
"223","Acropora_000286",0
"224","Acropora_000287",0
"225","Acropora_000289",0
"226","Acropora_000291",0
"227","Acropora_000293",1
"228","Acropora_000294",0
"229","Acropora_000296",1
"230","Acropora_000297",0
"231","Acropora_000298",1
"232","Acropora_000301",1
"233","Acropora_000302",0
"234","Acropora_000304",1
"235","Acropora_000305",1
"236","Acropora_000306",0
"237","Acropora_000307",1
"238","Acropora_000308",0
"239","Acropora_000309",0
"240","Acropora_000310",1
"241","Acropora_000311",0
"242","Acropora_000313",0
"243","Acropora_000315",1
"244","Acropora_000317",0
"245","Acropora_000319",0
"246","Acropora_000321",0
"247","Acropora_000323",0
"248","Acropora_000324",1
"249","Acropora_000325",1
"250","Acropora_000326",0
"251","Acropora_000327",0
"252","Acropora_000328",1
"253","Acropora_000330",0
"254","Acropora_000331",1
"255","Acropora_000332",0
"256","Acropora_000333",0
"257","Acropora_000334",1
"258","Acropora_000335",0
"259","Acropora_000336",1
"260","Acropora_000337",0
"261","Acropora_000338",0
"262","Acropora_000339",0
"263","Acropora_000340",0
"264","Acropora_000341",0
"265","Acropora_000342",0
"266","Acropora_000344",1
"267","Acropora_000346",0
"268","Acropora_000347",0
"269","Acropora_000349",0
"270","Acropora_000350",0
"271","Acropora_000352",0
"272","Acropora_000353",0
"273","Acropora_000354",0
"274","Acropora_000355",0
"275","Acropora_000356",0
"276","Acropora_000357",0
"277","Acropora_000358",0
"278","Acropora_000359",0
"279","Acropora_000361",0
"280","Acropora_000362",0
"281","Acropora_000363",1
"282","Acropora_000364",0
"283","Acropora_000366",1
"284","Acropora_000367",0
"285","Acropora_000368",1
"286","Acropora_000369",0
"287","Acropora_000370",0
"288","Acropora_000371",0
"289","Acropora_000372",1
"290","Acropora_000373",0
"291","Acropora_000374",0
"292","Acropora_000375",0
"293","Acropora_000376",0
"294","Acropora_000377",0
"295","Acropora_000378",0
"296","Acropora_000379",0
"297","Acropora_000381",0
"298","Acropora_000382",0
"299","Acropora_000385",1
"300","Acropora_000386",0
"301","Acropora_000387",1
"302","Acropora_000388",1
"303","Acropora_000389",0
"304","Acropora_000390",1
"305","Acropora_000391",1
"306","Acropora_000392",0
"307","Acropora_000393",1
"308","Acropora_000394",1
"309","Acropora_000395",1
"310","Acropora_000396",0
"311","Acropora_000397",0
"312","Acropora_000398",0
"313","Acropora_000401",0
"314","Acropora_000402",0
"315","Acropora_000403",0
"316","Acropora_000405",1
"317","Acropora_000407",0
"318","Acropora_000409",1
"319","Acropora_000410",0
"320","Acropora_000411",0
"321","Acropora_000412",0
"322","Acropora_000413",1
"323","Acropora_000417",0
"324","Acropora_000418",1
"325","Acropora_000419",0
"326","Acropora_000420",0
"327","Acropora_000421",0
"328","Acropora_000422",0
"329","Acropora_000424",0
"330","Acropora_000425",1
"331","Acropora_000426",0
"332","Acropora_000427",0
"333","Acropora_000428",0
"334","Acropora_000429",1
"335","Acropora_000430",0
"336","Acropora_000433",0
"337","Acropora_000435",0
"338","Acropora_000436",0
"339","Acropora_000437",0
"340","Acropora_000441",0
"341","Acropora_000443",0
"342","Acropora_000444",0
"343","Acropora_000445",0
"344","Acropora_000446",0
"345","Acropora_000447",1
"346","Acropora_000448",1
"347","Acropora_000449",0
"348","Acropora_000452",0
"349","Acropora_000453",0
"350","Acropora_000454",0
"351","Acropora_000455",0
"352","Acropora_000456",0
"353","Acropora_000457",1
"354","Acropora_000464",0
"355","Acropora_000465",0
"356","Acropora_000466",1
"357","Acropora_000467",0
"358","Acropora_000469",0
"359","Acropora_000470",0
"360","Acropora_000471",1
"361","Acropora_000475",0
"362","Acropora_000476",0
"363","Acropora_000477",1
"364","Acropora_000478",0
"365","Acropora_000479",1
"366","Acropora_000480",1
"367","Acropora_000481",1
"368","Acropora_000482",0
"369","Acropora_000483",0
"370","Acropora_000485",0
"371","Acropora_000486",0
"372","Acropora_000487",1
"373","Acropora_000490",1
"374","Acropora_000492",0
"375","Acropora_000494",0
"376","Acropora_000496",0
"377","Acropora_000497",1
"378","Acropora_000498",1
"379","Acropora_000499",1
"380","Acropora_000500",0
"381","Acropora_000501",1
"382","Acropora_000502",0
"383","Acropora_000503",1
"384","Acropora_000506",1
"385","Acropora_000507",0
"386","Acropora_000508",0
"387","Acropora_000509",1
"388","Acropora_000510",0
"389","Acropora_000511",1
"390","Acropora_000512",0
"391","Acropora_000513",0
"392","Acropora_000514",0
"393","Acropora_000515",0
"394","Acropora_000516",0
"395","Acropora_000517",1
"396","Acropora_000518",1
"397","Acropora_000519",1
"398","Acropora_000520",0
"399","Acropora_000521",1
"400","Acropora_000522",0
"401","Acropora_000523",0
"402","Acropora_000524",0
"403","Acropora_000525",1
"404","Acropora_000526",0
"405","Acropora_000527",0
"406","Acropora_000528",0
"407","Acropora_000531",0
"408","Acropora_000532",1
"409","Acropora_000533",0
"410","Acropora_000534",0
"411","Acropora_000535",0
"412","Acropora_000536",0
"413","Acropora_000537",0
"414","Acropora_000538",0
"415","Acropora_000539",0
"416","Acropora_000541",0
