"","pval","term","direction","color"
"1/7 mismatch repair complex",0.0463133988133272,"GO:0032300",1,"lightcoral"
"4/8 MCM complex",0.00090942620750833,"GO:0042555",1,"firebrick1"
"2/6 DNA replication factor C complex",0.0398126455066777,"GO:0005663;GO:0031390",1,"lightcoral"
"4/25 nuclear replication fork",0.00102646322768253,"GO:0043596",1,"firebrick1"
"8/50 replication fork",5.5242587511268e-05,"GO:0005657",1,"firebrick1"
"1/7 replication fork protection complex",0.0276804477270339,"GO:0031298",1,"lightcoral"
"52/623 nucleoplasm part",0.00102646322768253,"GO:0044451",1,"firebrick1"
"35/395 nuclear body",0.00193005812909427,"GO:0016604",1,"firebrick1"
"14/214 nuclear speck",0.000992391552122736,"GO:0016607",1,"firebrick1"
"43/410 microtubule organizing center",0.00244344082287028,"GO:0005813;GO:0005815",1,"firebrick1"
"9/101 microtubule organizing center part",0.0258876239393299,"GO:0044450",1,"lightcoral"
"10/87 spindle pole",0.0082606239781262,"GO:0000922",1,"firebrick1"
"18/199 spindle",0.00455043566616656,"GO:0005819",1,"firebrick1"
"11/73 mitotic spindle",0.0405434680458861,"GO:0072686",1,"lightcoral"
"5/36 spindle midzone",0.0174331342570182,"GO:0051233",1,"lightcoral"
"3/12 mitotic spindle midzone",0.0440775072452014,"GO:1990023",1,"lightcoral"
"10/100 polytene chromosome",0.0303432524074321,"GO:0005700",1,"lightcoral"
"3/10 condensin complex",0.00382927715675179,"GO:0000796",1,"firebrick1"
"4/16 pericentric heterochromatin",0.00497547133263983,"GO:0005721",1,"firebrick1"
"48/308 chromatin",7.03164489095052e-06,"GO:0000785",1,"firebrick1"
"26/194 nuclear chromatin",0.0067475256897042,"GO:0000790",1,"firebrick1"
"87/596 chromosome",1.60390103586203e-13,"GO:0005694;GO:0044427",1,"firebrick1"
"10/66 condensed nuclear chromosome",0.00090942620750833,"GO:0000794",1,"firebrick1"
"4/17 condensed nuclear chromosome, centromeric region",0.00244344082287028,"GO:0000780",1,"firebrick1"
"48/320 nuclear chromosome",4.10867458121516e-08,"GO:0000228;GO:0044454",1,"firebrick1"
"3/10 condensed nuclear chromosome kinetochore",0.00483153805507124,"GO:0000778",1,"firebrick1"
"6/36 condensed chromosome, centromeric region",0.00202795680221398,"GO:0000779;GO:0000777",1,"firebrick1"
