"","Species","ID","Initial","Untreated","Treated"
"1","Acropora cervicornis",5,1,0,0
"2","Acropora cervicornis",9,1,0,0
"3","Acropora cervicornis",19,1,0,0
"4","Acropora cervicornis",21,1,0,0
"5","Acropora cervicornis",22,1,0,0
"6","Acropora cervicornis",29,1,0,0
"7","Acropora cervicornis",30,0,0,1
"8","Acropora cervicornis",34,1,0,0
"9","Acropora cervicornis",38,0,0,1
"10","Acropora cervicornis",41,0,0,1
"11","Acropora cervicornis",42,1,0,0
"12","Acropora cervicornis",43,1,0,0
"13","Acropora cervicornis",45,1,0,0
"14","Acropora cervicornis",55,1,0,0
"15","Acropora cervicornis",56,0,1,0
"16","Acropora cervicornis",57,0,1,0
"17","Acropora cervicornis",59,0,0,1
"18","Acropora cervicornis",63,1,0,0
"19","Acropora cervicornis",64,1,0,0
"20","Acropora cervicornis",69,0,0,1
"21","Acropora cervicornis",74,0,0,1
"22","Acropora cervicornis",78,1,0,0
"23","Acropora cervicornis",79,1,0,0
"24","Acropora cervicornis",82,0,1,0
"25","Acropora cervicornis",83,1,0,0
"26","Acropora cervicornis",91,0,0,1
"27","Acropora cervicornis",94,1,0,0
"28","Acropora cervicornis",95,1,0,0
"29","Acropora cervicornis",96,0,0,1
"30","Acropora cervicornis",97,0,1,0
"31","Acropora cervicornis",102,1,0,0
"32","Acropora cervicornis",106,0,1,0
"33","Acropora cervicornis",110,1,0,0
"34","Acropora cervicornis",112,1,0,0
"35","Acropora cervicornis",113,0,0,1
"36","Acropora cervicornis",114,0,1,0
"37","Acropora cervicornis",123,0,1,0
"38","Acropora cervicornis",124,1,0,0
"39","Acropora cervicornis",137,0,0,1
"40","Acropora cervicornis",139,1,0,0
"41","Acropora cervicornis",141,0,0,1
"42","Acropora cervicornis",143,0,1,0
"43","Acropora cervicornis",146,0,1,0
"44","Acropora cervicornis",150,1,0,0
