gene,Fish_kME
Acropora_000001,0
Acropora_000002,0
Acropora_000006,0
Acropora_000007,0
Acropora_000012,0
Acropora_000013,0.203589208121739
Acropora_000019,0
Acropora_000020,0.516849044391568
Acropora_000021,0
Acropora_000023,0
Acropora_000024,0
Acropora_000026,0.508229793078195
Acropora_000027,0
Acropora_000028,0
Acropora_000029,0
Acropora_000030,0.875366710706083
Acropora_000031,0
Acropora_000032,0.561376651587123
Acropora_000033,0
Acropora_000034,0
Acropora_000036,0.374711479263529
Acropora_000039,0.200825756619607
Acropora_000040,0
Acropora_000041,0
Acropora_000046,0
Acropora_000048,0
Acropora_000049,0.754246439929521
Acropora_000050,0
Acropora_000051,0
Acropora_000052,0
Acropora_000054,0.694189893859012
Acropora_000055,0.268143797671644
Acropora_000056,0.180996129008093
Acropora_000057,0
Acropora_000059,0.497138694458495
Acropora_000060,0
Acropora_000062,0
Acropora_000066,0
Acropora_000067,0
Acropora_000068,0.137613742923873
Acropora_000069,0
Acropora_000072,0
Acropora_000076,0.514203771727869
Acropora_000077,0.75864219528287
Acropora_000078,0
Acropora_000079,0
Acropora_000081,0
Acropora_000082,0
Acropora_000083,0
Acropora_000084,0
Acropora_000085,0
Acropora_000086,0
Acropora_000087,0
Acropora_000088,0
Acropora_000092,0
Acropora_000094,0.52467874220218
Acropora_000096,0
Acropora_000099,0.199853803225319
Acropora_000100,0.801051997953481
Acropora_000101,0
Acropora_000102,0.845891816232311
Acropora_000103,0.479148450230248
Acropora_000109,0
Acropora_000110,0
Acropora_000112,0.627161580021544
Acropora_000113,0.237876266482989
Acropora_000114,0
Acropora_000117,0
Acropora_000119,0
Acropora_000120,0
Acropora_000121,0
Acropora_000122,0
Acropora_000123,0
Acropora_000125,0.070554674287044
Acropora_000132,0.335300415971126
Acropora_000135,0
Acropora_000137,0
Acropora_000138,0
Acropora_000139,0
Acropora_000140,0
Acropora_000141,0
Acropora_000143,0
Acropora_000146,0.683988292056864
Acropora_000147,0
Acropora_000148,0
Acropora_000151,0
Acropora_000152,0
Acropora_000153,0
Acropora_000154,0
Acropora_000155,0
Acropora_000156,0
Acropora_000158,0
Acropora_000159,0
Acropora_000160,0
Acropora_000161,0
Acropora_000162,0.351258534050286
Acropora_000165,0
Acropora_000166,0.619027349485723
Acropora_000178,0.235245685521118
Acropora_000180,0.688802388001769
Acropora_000182,0
Acropora_000183,0
Acropora_000184,0.709917447668784
Acropora_000185,0
Acropora_000190,0
Acropora_000192,0
Acropora_000195,0
Acropora_000196,0
Acropora_000198,0
Acropora_000199,0
Acropora_000201,0.403376837518857
Acropora_000202,0
Acropora_000203,0.498595032697818
Acropora_000204,0
Acropora_000205,0.551619057156052
Acropora_000207,0.361169455915465
Acropora_000208,0
Acropora_000209,0.584909417872251
Acropora_000211,0
Acropora_000212,0
Acropora_000213,0
Acropora_000215,0
Acropora_000218,0.486383137702206
Acropora_000219,0
Acropora_000221,0.596983239000304
Acropora_000223,0
Acropora_000224,0.828435107165796
Acropora_000226,0
Acropora_000227,0
Acropora_000228,0
Acropora_000233,0
Acropora_000234,0.651026874573818
Acropora_000235,0
Acropora_000236,0
Acropora_000237,0
Acropora_000238,0
Acropora_000239,0
Acropora_000240,0
Acropora_000241,0.485890905165893
Acropora_000242,0.898486969467496
Acropora_000243,0.944917719834173
Acropora_000244,0.0998217345161784
Acropora_000245,0
Acropora_000246,0
Acropora_000247,0
Acropora_000249,0.345183313191864
Acropora_000250,0
Acropora_000252,0.611361756645461
Acropora_000253,0
Acropora_000255,0
Acropora_000257,0
Acropora_000258,0
Acropora_000259,0.597388748237332
Acropora_000261,0
Acropora_000262,0
Acropora_000263,0
Acropora_000264,0
Acropora_000268,0
Acropora_000270,0
Acropora_000272,0
Acropora_000277,0
Acropora_000279,0
Acropora_000282,0
Acropora_000285,0
Acropora_000286,0
Acropora_000287,0
Acropora_000291,0.237545760662056
Acropora_000293,0
Acropora_000296,0
Acropora_000298,0
Acropora_000301,0
Acropora_000302,0.485658435732628
Acropora_000304,0
Acropora_000305,0
Acropora_000306,0
Acropora_000307,0
Acropora_000308,0
Acropora_000309,0
Acropora_000310,0
Acropora_000311,0
Acropora_000313,0.428841619375086
Acropora_000315,0
Acropora_000319,0
Acropora_000323,0
Acropora_000324,0.539929198246323
Acropora_000325,0.700942468701554
Acropora_000326,0
Acropora_000327,0.665324188787539
Acropora_000328,0.73972549593287
Acropora_000330,0
Acropora_000331,0.924609959795312
Acropora_000333,0
Acropora_000334,0.762509065659437
Acropora_000335,0
Acropora_000336,0
Acropora_000337,0
Acropora_000338,0
Acropora_000339,0
Acropora_000342,0
Acropora_000347,0
Acropora_000349,0.0893256497684764
Acropora_000353,0
Acropora_000354,0
Acropora_000355,0
Acropora_000356,0
Acropora_000357,0
Acropora_000358,0
Acropora_000359,0
Acropora_000361,0
Acropora_000362,0
Acropora_000363,0
Acropora_000364,0
Acropora_000366,0
Acropora_000368,0.777551558807633
Acropora_000370,0
Acropora_000371,0
Acropora_000372,0.86316905725361
Acropora_000373,0
Acropora_000374,0
Acropora_000375,0
Acropora_000376,0
Acropora_000378,0.558705564881619
Acropora_000379,0.690826314773276
Acropora_000381,0
Acropora_000382,0
Acropora_000385,0.564891139596241
Acropora_000386,0
Acropora_000387,0.668645569944213
Acropora_000388,0.516384272732206
Acropora_000390,0
Acropora_000391,0
Acropora_000392,0
Acropora_000393,0.785093634526336
Acropora_000394,0
Acropora_000395,0
Acropora_000396,0
Acropora_000398,0.267477630401836
Acropora_000401,0.331254798265094
Acropora_000402,0
Acropora_000405,0
Acropora_000407,0.121129827946362
Acropora_000409,0.302204273480731
Acropora_000413,0
Acropora_000417,0
Acropora_000418,0.814945977705222
Acropora_000419,0.164340127288836
Acropora_000420,0.534740692532199
Acropora_000421,0
Acropora_000422,0
Acropora_000424,0
Acropora_000425,0.559862277568533
Acropora_000427,0.20191112784201
Acropora_000429,0.664427096848415
Acropora_000430,0
Acropora_000435,0
Acropora_000436,0
Acropora_000437,0
Acropora_000441,0.225977368456903
Acropora_000443,0
Acropora_000444,0.452174268919177
Acropora_000445,0.0525012054979061
Acropora_000446,0
Acropora_000447,0
Acropora_000448,0.873128465843128
Acropora_000449,0
Acropora_000452,0
Acropora_000454,0
Acropora_000455,0
Acropora_000456,0
Acropora_000457,0
Acropora_000464,0
Acropora_000465,0
Acropora_000466,0
Acropora_000469,0
Acropora_000470,0.311842429711071
Acropora_000471,0
Acropora_000475,0
Acropora_000476,0
Acropora_000477,0
Acropora_000479,0
Acropora_000480,0
Acropora_000481,0
Acropora_000485,0
Acropora_000487,0
Acropora_000490,0.83283297658392
Acropora_000496,0.451002959908788
Acropora_000497,0
Acropora_000498,0.657646427912077
Acropora_000499,0
Acropora_000500,0
Acropora_000501,0
Acropora_000503,0
Acropora_000506,0
Acropora_000507,0
Acropora_000508,0
Acropora_000509,0
Acropora_000510,0
Acropora_000511,0
