gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Acropora_007638,Ankyrin repeats (3 copies),16.772637091175948,-2.7877156957273463,0.5646509375091603,-4.937060244732386,7.930897735739499e-7,7.822268469783308e-5,Variable vs Control
Acropora_009217,NA,5.014827841890783,-3.510386573445943,0.9492369722039244,-3.6981140392114935,2.172073071456134e-4,0.00594089364115581,Variable vs Control
Acropora_018568,peroxidase activity,10.058216581726189,-3.2493990269796336,0.4151954268217199,-7.826191757104511,5.028701401994821e-15,8.979348966239676e-13,Variable vs Initial
Acropora_018571,Animal haem peroxidase,45.28397738706494,-2.8790239926574093,0.5907954967497182,-4.873131241684236,1.0984319884639351e-6,1.0099368463424906e-4,Variable vs Control
Acropora_019472,nitric-oxide synthase activity,43.54824653323069,-2.8506231498895547,0.755613318158856,-3.772595163933115,1.6155831437403265e-4,0.0047978102338011,Variable vs Control
Acropora_028627,NA,15.420577064027166,-3.2567546982638342,0.5411841163021449,-6.017831270653142,1.7676930364385627e-9,7.430501117761009e-8,Variable vs Initial
Acropora_009210,NA,3.6171540710254417,-4.05048091512139,1.1866784009550806,-3.413292861706609,6.418292915171067e-4,0.01278291457491509,Variable vs Control
Acropora_003500,glucan metabolic process,9.422476161319883,-2.8521409996367746,0.5522363940534066,-5.164710313099982,2.408115787695025e-7,5.336384585532175e-6,Variable vs Initial
Acropora_019497,NA,2.415851015487638,-3.862355844813356,0.7536108410460559,-5.125133071934289,2.973276732753528e-7,6.442956059561325e-6,Variable vs Initial
Acropora_023079,NA,1.3955314802999872,-2.9329280902460333,0.7201618487026581,-4.072595758202941,4.649207574570555e-5,4.809824580987232e-4,Variable vs Initial
