gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium33404,NA,21.77549506799846,-1.0063447556253964,0.25018279384763875,-4.022437914888184,5.75988397321959e-5,0.028756220736298802,Variable vs Control
Symbiodinium40339,NA,23.39232123976643,-1.3737008769918082,0.23668089546395069,-5.80402095529945,6.474317998102601e-9,2.585842608442179e-5,Variable vs Control
Symbiodinium10122,RNA-binding protein mei2 homologue,4.02970253348884,1.5596687562194327,0.3051413575175425,5.111299133319768,3.1995089678308643e-7,8.326867521005634e-5,Variable vs Initial
Symbiodinium11365,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",8.667437721907898,1.0231455801664942,0.27725477732801024,3.690272138957761,2.24014271285119e-4,0.016194647874622187,Variable vs Initial
Symbiodinium13325,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle,29.505129160005612,1.1684786282861224,0.27973580369643053,4.1770792756802635,2.9527613661038577e-5,0.0037075286135447912,Variable vs Initial
Symbiodinium14152,Cytochrome b6-f complex subunit,9.652969152338901,1.4325848136885067,0.2884645334538069,4.966242458079904,6.826260252808967e-7,1.684673952736337e-4,Variable vs Initial
Symbiodinium15132,Belongs to the AB hydrolase superfamily. Lipase family,13.585831813184907,1.5259951851460862,0.33463948770434376,4.56011690555274,5.112515084738794e-6,9.382120631147577e-4,Variable vs Initial
Symbiodinium15306,NA,12.007592347774766,2.678491533866977,0.34707466420669747,7.717335230991748,1.1878693560975787e-14,2.1253952453975927e-11,Variable vs Initial
Symbiodinium17083,NA,147.71042158799898,2.6988881484079723,0.3303534384880389,8.169698976829904,3.091598888294385e-16,7.375524414507637e-13,Variable vs Initial
Symbiodinium17110,COG NOG15344 non supervised orthologous group,281.7552034644471,2.0726181565150856,0.2857864450908975,7.252331914677992,4.096564750015274e-13,4.5106329101322027e-10,Variable vs Initial
Symbiodinium18242,"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor",23.200972619443142,1.1493190782492713,0.24789796669767175,4.636258592838493,3.5477209034805464e-6,6.830905450585583e-4,Variable vs Initial
Symbiodinium19887,PFAM Acetyltransferase (GNAT) family,4.045401070217719,1.2414641969842182,0.30725902754576745,4.040448239716235,5.33491387976542e-5,0.005494870687975554,Variable vs Initial
Symbiodinium20445,NA,7.748897496467505,1.8380768658450601,0.2722991815819849,6.750210761436478,1.4763054496632216e-11,1.2430491886164326e-8,Variable vs Initial
