gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium40339,NA,23.39232123976643,-1.3737008769918082,0.23668089546395069,-5.80402095529945,6.474317998102601e-9,2.585842608442179e-5,Variable vs Control
Symbiodinium40339,NA,23.39232123976643,-1.470113616471307,0.1950655669512762,-7.53651010502799,4.827155803196725e-14,7.677323129661992e-11,Variable vs Initial
Symbiodinium33404,NA,21.77549506799846,-1.0063447556253964,0.25018279384763875,-4.022437914888184,5.75988397321959e-5,0.0287562207362988,Variable vs Control
Symbiodinium10122,RNA-binding protein mei2 homologue,4.02970253348884,1.559668756219433,0.3051413575175425,5.111299133319768,3.199508967830865e-7,8.326867521005634e-5,Variable vs Initial
Symbiodinium11365,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",8.667437721907898,1.0231455801664942,0.27725477732801024,3.690272138957761,2.24014271285119e-4,0.01619464787462218,Variable vs Initial
Symbiodinium13325,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle,29.505129160005612,1.1684786282861224,0.27973580369643053,4.1770792756802635,2.9527613661038577e-5,0.00370752861354479,Variable vs Initial
Symbiodinium15132,Belongs to the AB hydrolase superfamily. Lipase family,13.585831813184909,1.5259951851460862,0.33463948770434376,4.56011690555274,5.112515084738794e-6,9.382120631147576e-4,Variable vs Initial
Symbiodinium18242,"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor",23.200972619443142,1.1493190782492713,0.24789796669767175,4.636258592838493,3.5477209034805464e-6,6.830905450585583e-4,Variable vs Initial
Symbiodinium19887,PFAM Acetyltransferase (GNAT) family,4.045401070217719,1.2414641969842182,0.30725902754576745,4.040448239716235,5.33491387976542e-5,0.00549487068797555,Variable vs Initial
Symbiodinium21784,"form. Deacetylates the N-terminal lysine residue of Alba, the major archaeal chromatin protein and that, in turn, increases Alba's DNA binding affinity, thereby repressing transcription",29.118951905221316,-1.0046770112107,0.16528564400377105,-6.0784287544523705,1.2136588415857715e-9,5.603971825309269e-7,Variable vs Initial
Symbiodinium22999,NA,3.3377185288989217,1.2586755657166562,0.32205388721621314,3.908276272012937,9.295697308482474e-5,0.0087363232530233,Variable vs Initial
Symbiodinium23536,NA,3.539519772207479,1.750590850359972,0.35364744638881557,4.950101770098166,7.417468437362138e-7,1.7995532747864e-4,Variable vs Initial
Symbiodinium24577,NA,4.785072619120298,1.1784489271347185,0.3069977468179978,3.8386240268836778,1.237257135436783e-4,0.0106687341184591,Variable vs Initial
Symbiodinium26021,NA,5.8793622214676935,1.0002554754205364,0.2533272444662712,3.9484717781853647,7.865168609851778e-5,0.00771109749872728,Variable vs Initial
Symbiodinium26193,NA,43.28239799945042,1.0536053631486588,0.11836146466118,8.901591123130284,5.50517384027e-19,2.6267019449874925e-15,Variable vs Initial
Symbiodinium26573,NA,4.94615343638595,-1.0884595625351892,0.3338905522684181,-3.2599292047657737,0.00111440026314833,0.04833795565668255,Variable vs Initial
Symbiodinium26689,NA,32.844672900739894,-1.0735873944729366,0.14543737775308294,-7.381784593886348,1.5618173785466645e-13,2.032350359683359e-10,Variable vs Initial
Symbiodinium27195,Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,7607.8016980728435,1.007053216764681,0.16257571290810796,6.194364451804027,5.852067697865001e-10,2.9916606081157017e-7,Variable vs Initial
Symbiodinium27890,NA,18.24197802124463,-1.341757041921023,0.1846344867348223,-7.267098718388919,3.672904005860902e-13,4.381162328324411e-10,Variable vs Initial
Symbiodinium27982,40s ribosomal protein,10.70768272590911,-1.2623531108016122,0.2533973691103575,-4.981713564089305,6.302367716792252e-7,1.5826682718976192e-4,Variable vs Initial
Symbiodinium28079,NA,7.3887200172083505,-1.079128081809855,0.2670842715675111,-4.040402961494058,5.335944010259899e-5,0.00549487068797555,Variable vs Initial
Symbiodinium28162,NA,11.60839664007607,-1.4182678690352897,0.2360235458509502,-6.009010092285162,1.8665950698110996e-9,8.349513071648774e-7,Variable vs Initial
Symbiodinium28305,NA,25.635763611882503,-1.5046524842973714,0.2130196047005335,-7.063446044849426,1.6242328559033124e-12,1.4965035504035662e-9,Variable vs Initial
Symbiodinium28971,NA,3.341967385500116,1.050225087518814,0.32090905976802087,3.2726563976660614,0.00106541910350981,0.04678916311462577,Variable vs Initial
Symbiodinium29091,NA,7.084571801026337,-1.520080847770923,0.3323966018530788,-4.573093826160134,4.8057480341254235e-6,8.933698358502769e-4,Variable vs Initial
Symbiodinium30826,NA,4.110918253543251,-1.9422531972885568,0.4317984553023979,-4.498054991716805,6.857796126634922e-6,0.00112830452593853,Variable vs Initial
