Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ACER-112_S69_L001_R1_001	43.0	101.0	101	36.36363636363637	13680610.0
ACER-124_S70_L001_R1_001	42.0	101.0	101	45.45454545454545	13426280.0
Acer-005_S23_L001_R1_001	43.0	101.0	101	36.36363636363637	11893867.0
Acer-009_S24_L001_R1_001	43.0	101.0	101	36.36363636363637	13209851.0
Acer-019_S25_L001_R1_001	44.0	101.0	101	36.36363636363637	13340389.0
Acer-021_S26_L001_R1_001	45.0	101.0	101	36.36363636363637	11816133.0
Acer-022_S27_L001_R1_001	44.0	101.0	101	36.36363636363637	13786013.0
Acer-029_S28_L001_R1_001	45.0	101.0	101	36.36363636363637	11690763.0
Acer-030_S29_L001_R1_001	43.0	101.0	101	36.36363636363637	12892034.0
Acer-034_S30_L001_R1_001	44.0	101.0	101	36.36363636363637	15041032.0
Acer-038_S31_L001_R1_001	40.0	101.0	101	45.45454545454545	11570068.0
Acer-041_S32_L001_R1_001	40.0	101.0	101	45.45454545454545	13899610.0
Acer-042_S33_L001_R1_001	44.0	101.0	101	36.36363636363637	14013158.0
Acer-043_S34_L001_R1_001	44.0	101.0	101	36.36363636363637	13173395.0
Acer-045_S35_L001_R1_001	45.0	101.0	101	36.36363636363637	14424718.0
Acer-055_S36_L001_R1_001	44.0	101.0	101	27.27272727272727	11795849.0
Acer-056_S37_L001_R1_001	39.0	101.0	101	45.45454545454545	16734417.0
Acer-057_S38_L001_R1_001	38.0	101.0	101	45.45454545454545	13126670.0
Acer-059_S39_L001_R1_001	37.0	101.0	101	45.45454545454545	13417235.0
Acer-063_S40_L001_R1_001	44.0	101.0	101	36.36363636363637	13968542.0
Acer-064_S41_L001_R1_001	44.0	101.0	101	36.36363636363637	13687891.0
Acer-068_S42_L001_R1_001	39.0	101.0	101	45.45454545454545	8880017.0
Acer-069_S43_L001_R1_001	40.0	101.0	101	45.45454545454545	12205253.0
Acer-072_S44_L001_R1_001	32.0	101.0	101	45.45454545454545	6299928.0
Acer-074_S45_L001_R1_001	39.0	101.0	101	45.45454545454545	10027271.0
Acer-078_S46_L001_R1_001	45.0	101.0	101	36.36363636363637	12982523.0
Acer-079_S47_L001_R1_001	44.0	101.0	101	36.36363636363637	8999379.0
Acer-082_S48_L001_R1_001	39.0	101.0	101	45.45454545454545	8925185.0
Acer-083_S49_L001_R1_001	44.0	101.0	101	36.36363636363637	10765315.0
Acer-089_S50_L001_R1_001	40.0	101.0	101	45.45454545454545	6642725.0
Acer-091_S51_L001_R1_001	42.0	101.0	101	45.45454545454545	9667701.0
Acer-094_S52_L001_R1_001	45.0	101.0	101	27.27272727272727	12461234.0
Acer-095_S53_L001_R1_001	45.0	101.0	101	36.36363636363637	11546185.0
Acer-096_S54_L001_R1_001	41.0	101.0	101	45.45454545454545	11893894.0
Acer-097_S55_L001_R1_001	40.0	101.0	101	45.45454545454545	9525611.0
Acer-102_S56_L001_R1_001	44.0	101.0	101	36.36363636363637	10786783.0
Acer-106_S57_L001_R1_001	43.0	101.0	101	45.45454545454545	11865741.0
Acer-108_S58_L001_R1_001	40.0	101.0	101	45.45454545454545	6537998.0
Acer-110_S59_L001_R1_001	45.0	101.0	101	36.36363636363637	13224558.0
Acer-113_S60_L001_R1_001	41.0	101.0	101	45.45454545454545	14877314.0
Acer-114_S61_L001_R1_001	39.0	101.0	101	45.45454545454545	7959769.0
Acer-123_S62_L001_R1_001	43.0	101.0	101	36.36363636363637	8075522.0
Acer-137_S63_L001_R1_001	43.0	101.0	101	36.36363636363637	10239279.0
Acer-139_S64_L001_R1_001	44.0	101.0	101	36.36363636363637	16437956.0
Acer-141_S65_L001_R1_001	43.0	101.0	101	36.36363636363637	13820239.0
Acer-143_S66_L001_R1_001	40.0	101.0	101	45.45454545454545	8023742.0
Acer-146_S67_L001_R1_001	36.0	101.0	101	45.45454545454545	8962152.0
Acer-150_S68_L001_R1_001	44.0	101.0	101	36.36363636363637	9775896.0
