"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
481 0.261605554116534 4 5 "GO:0000109" "nucleotide-excision repair complex" 0.946997772002093
-138 0.46482862587176 5 26 "GO:0000118" "histone deacetylase complex" 0.946997772002093
-64 0.639983561094951 4 50 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.980965918117151
232 0.468610843541518 2 9 "GO:0000124;GO:0030914" "STAGA complex" 0.946997772002093
9 0.981386183289983 2 7 "GO:0000125" "PCAF complex" 0.992685037373914
251 0.487805802795923 2 7 "GO:0000137" "Golgi cis cisterna" 0.946997772002093
-251 0.310336317120377 2 15 "GO:0000138" "Golgi trans cisterna" 0.946997772002093
97 0.211655552352798 3 161 "GO:0000139" "Golgi membrane" 0.946997772002093
59 0.513038462854843 2 118 "GO:0000151" "ubiquitin ligase complex" 0.946997772002093
267 0.250735663327185 3 17 "GO:0000152" "nuclear ubiquitin ligase complex" 0.946997772002093
328 0.200771521841561 4 14 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.946997772002093
536 0.138994413428055 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.946997772002093
-435 0.266384269712253 2 6 "GO:0000164" "protein phosphatase type 1 complex" 0.946997772002093
-383 0.370889069222966 2 5 "GO:0000176" "nuclear exosome (RNase complex)" 0.946997772002093
-470 0.165562945372047 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.946997772002093
-76 0.28503878562548 4 192 "GO:0000228;GO:0044454" "nuclear chromosome" 0.946997772002093
196 0.646499412151982 2 5 "GO:0000235" "astral microtubule" 0.980965918117151
-20 0.942171720699355 2 12 "GO:0000242" "pericentriolar material" 0.992685037373914
51 0.88851447277811 6 7 "GO:0000243" "commitment complex" 0.992685037373914
-227 0.595489240895638 5 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.97294130051292
-35 0.935318732597686 4 5 "GO:0000306" "extrinsic component of vacuolar membrane" 0.992685037373914
-35 0.907246592659703 2 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.992685037373914
-48 0.788975628568931 2 29 "GO:0000313;GO:0005761" "organellar ribosome" 0.992685037373914
-108 0.697053454987053 3 12 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.992685037373914
15 0.953090480084338 3 15 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.992685037373914
433 0.0435407050865773 3 20 "GO:0000322;GO:0000324" "storage vacuole" 0.946997772002093
156 0.02431571038764 2 204 "GO:0000323;GO:0005764" "lytic vacuole" 0.946997772002093
-96 0.791203291308933 5 7 "GO:0000325" "plant-type vacuole" 0.992685037373914
644 0.0994340474086939 6 6 "GO:0000329" "fungal-type vacuole membrane" 0.946997772002093
-171 0.47653277360033 3 16 "GO:0000407" "phagophore assembly site" 0.946997772002093
681 0.0247248989711584 2 10 "GO:0000421" "autophagosome membrane" 0.946997772002093
