"","module","gene","annot"
"1","black","Acropora60426",NA
"2","blue","Acropora5565",NA
"3","brown","Acropora1683","Catalyzes the formation of S-adenosylmethionine from methionine and ATP"
"4","cyan","Acropora2884",NA
"5","darkgreen","Acropora28424",NA
"6","darkorange","Acropora322","cellular response to potassium ion starvation"
"7","darkturquoise","Acropora1156","structural constituent of cuticle"
"8","greenyellow","Acropora13046",NA
"9","grey60","Acropora2273",NA
"10","magenta","Acropora22736",NA
"11","orange","Acropora19667","carbohydrate binding"
"12","pink","Acropora31145",NA
"13","royalblue","Acropora2498",NA
"14","tan","Acropora12720",NA
"15","turquoise","Acropora927","protein localization to plasma membrane"
"16","white","Acropora34166",NA
