gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annot
Acropora1006,35.634870604655795,2.234566639395937,0.42602887671074896,5.245106051609477,1.5619245808722551e-7,2.56993148186398e-6,Sterile alpha motif domain containing 11
Acropora10301,0.8577593403578376,-2.7283500918864085,0.8742548258385623,-3.1207721264443085,0.0018037755375706246,0.0080412361183828,NA
Acropora10415,1.0912491251945702,2.3706341223579876,0.9670860662013983,2.4513165944677118,0.014233470139886016,0.0441580417971318,NA
Acropora10490,5.672801903437912,-5.080281693088723,1.1255010906864311,-4.513795441984257,6.367763834846703e-6,6.598683224956108e-5,Chlorophyll A-B binding protein
Acropora1057,70.48570395443411,2.1330320582982587,0.27532950092328495,7.747197634635547,9.39426848401154e-15,9.842808297898412e-13,DNA binding
Acropora10586,11.26271655154099,2.128521156782377,0.37616633682584205,5.658457305731327,1.5273970083508305e-8,3.3193184959018076e-7,NA
Acropora10765,1.0948566697323852,2.2549835118952934,0.8284942206050798,2.721785446189831,0.006493028275634586,0.023286117101311482,Ribosomal protein L13
Acropora10821,1.8859495061165543,2.6647993552813363,0.8169344301799452,3.261950111093205,0.0011064861477285853,0.005366948821370493,solute carrier family 22
Acropora10942,1.2711250946574633,3.17114651071355,0.9471359152493772,3.348143027475206,8.135501328511667e-4,0.00414492416514232,NA
Acropora11015,7.536112385691606,2.0714655567974725,0.46743266725229377,4.431580635932345,9.35448176397761e-6,9.213913930359146e-5,NA
Acropora11125,1.6313309899537725,2.062125305079306,0.7618357731907499,2.706784555997723,0.006793833102205329,0.02417411509347969,NA
Acropora11170,98.76773521044237,2.2994548397593566,0.22869891179275378,10.054507132255685,8.775946510177124e-24,9.100656531053677e-21,NA
Acropora11305,45.35392377394921,2.849968371936404,0.46270174459056956,6.159407015977977,7.301783837658441e-10,2.2392185701858815e-8,NA
Acropora11335,24.847417024152318,2.2489258222677035,0.29049579547835436,7.74168114400567,9.811078698656076e-15,1.0200243079942099e-12,NA
Acropora11405,15.45940389308592,2.62564217247709,0.4162378865560852,6.308032635379295,2.8260463490672443e-10,9.604520377758534e-9,NA
Acropora11462,128.88316973054555,2.4265530528615926,0.30261649302774163,8.018575024062368,1.0697893494824255e-15,1.4144433315205098e-13,NA
Acropora11551,2.6874615346642687,2.2260872583651476,0.6612261701841029,3.3666048906463364,7.609963541105999e-4,0.003922632621628217,NA
Acropora11575,56.32012465536839,-4.165344966878899,0.520416029957415,-8.00387522117592,1.2056356240764825e-15,1.5779780435121416e-13,NA
Acropora1160,104.47930008429162,-2.0814509384682993,0.3962181123855559,-5.2532957818012624,1.4940131527708886e-7,2.472273892696933e-6,NA
Acropora11815,22.22975028524192,2.296268821201634,0.4068453949297082,5.64408212509906,1.6606479596515506e-8,3.5781345462007273e-7,NA
Acropora11925,2.4417731791840267,2.2495359903171743,0.7099755151811094,3.168469816516609,0.0015324366027223203,0.00705639684890115,pfkB family carbohydrate kinase
Acropora12035,58.26681745339793,-5.320925370607721,0.6455607733052477,-8.24233068463063,1.6888801729146647e-16,2.799318886606057e-14,NA
Acropora12046,5.1983380131421395,-2.211911923821695,0.47513204273109844,-4.655362562178382,3.2341108457456443e-6,3.681644761344918e-5,mitochondrial membrane fusion
Acropora12180,7.3710525067077235,-2.0484216033735154,0.38612527323916523,-5.305070000182886,1.1262976686326052e-7,1.9317581260605788e-06,NA
Acropora1219,8.509482780206879,-2.0587882308596055,0.481642611313319,-4.2745143027229355,1.9155440908574826e-5,1.7011495315447775e-4,NA
Acropora12220,23.464901011513764,2.349848934100256,0.29705290181289673,7.910540243031674,2.5627431460097606e-15,3.066420741244756e-13,Lipid phosphate phosphohydrolase
Acropora12280,3.3959742124816725,2.278840552591207,0.5330847258542978,4.274818695919751,1.9129289647106358e-5,1.6995735087827821e-4,NA
Acropora12337,1.5549090164312578,-2.157223605825471,0.8441861545457048,-2.555388517342329,0.01060693323645961,0.03476306328056207,NA
Acropora12362,23.072406016814565,-2.062525232287333,0.430060664591982,-4.795893700820427,1.6195114986497502e-6,2.019047581377677e-5,NA
Acropora12394,1.6338596313971077,2.0239841700119547,0.8197484491796477,2.4690308008968236,0.013547955666019813,0.04247441635665421,Alpha beta hydrolase domain-containing protein
Acropora12571,1.566401636390414,2.177179654442405,0.8892122690739748,2.4484363634677675,0.014347777249865811,0.04445129119935062,G-protein coupled receptor activity
Acropora12623,4.170539014887727,2.447028398253612,0.6108363397746003,4.006029502364855,6.174793996236385e-5,4.60065788331708e-4,NA
Acropora1270,771.7252585290564,3.2413110374634435,0.4737593248795799,6.841682827641059,7.826823009075777e-12,3.971646210239042e-10,CUB domain-containing protein 2
Acropora130,3481.555115899384,-6.599375445653219,1.1722565000987781,-5.6296343377896685,1.805920700270524e-8,3.8582594231928584e-7,NA
Acropora1307,588.5075790636828,-2.0930848666628306,0.22628978880342368,-9.249577180352041,2.253824545363449e-20,9.397054235890098e-18,Er lumen protein retaining receptor
Acropora13191,4.209216723582487,2.9448189385195227,0.6482976847976464,4.5423869428728425,5.562082749693379e-6,5.874296914041327e-5,NA
Acropora13245,20.234409165790833,3.028683305469457,0.3371798611369887,8.98239679931231,2.649314279867389e-19,8.158885669973857e-17,NA
Acropora13296,2.029310207862801,-4.091016388951743,0.7563548881696962,-5.408858266060257,6.342779973128379e-8,1.1628334109393972e-6,NA
Acropora1341,1.4055563405389753,-3.305467178077859,0.87851157249207,-3.7625767053941637,1.6817170492082551e-4,0.0010861335455306525,-
Acropora13537,85.88879934282315,2.1821238807737564,0.4004931228789008,5.448592637715721,5.0769945869485564e-8,9.61727831756255e-7,DNA binding
Acropora13713,1.0046350156151487,2.172212790809277,0.8572639112010666,2.533890395276183,0.01128040088625606,0.03659366752569614,NA
Acropora13880,1.2502692173948635,-2.264688269658756,0.9111120271243659,-2.485630967693974,0.01293219922500722,0.04087986034523738,NA
Acropora13954,2.4009279040664775,2.1554254980239596,0.6902770072484978,3.1225514907640726,0.0017929074034418618,0.00800091291912487,NA
Acropora14043,1.797307319660055,2.040781040547446,0.8069067592230683,2.529141089997084,0.011434205242717798,0.037012450986972624,Mediator of RNA polymerase II transcription subunit 23
Acropora14144,1.8372967458825158,2.0601708798205265,0.7316700318777258,2.8157103476459113,0.004866952458514341,0.018383689014634864,NA
Acropora14335,30.12366920254799,2.141863123560314,0.29024027063146896,7.379620749733703,1.5874105522613295e-13,1.2196151889327405e-11,NA
Acropora14421,111.15129571062299,-3.7991030177145197,0.30028619349686564,-12.65160736653773,1.0960912149729846e-36,7.388202834525403e-33,NA
Acropora1443,7.358352573583847,-2.321550747953932,0.51644179762171,-4.495280511076006,6.94782932832021e-6,7.099319391744676e-5,NA
Acropora14538,2.60823553958866,-2.477403455279081,0.8214213375039713,-3.0159959842376307,0.0025613665215881124,0.010818730677032692,NA
Acropora14855,115.76485397074984,-4.354967756398486,0.36941568989929624,-11.788800193044489,4.458472645295712e-32,1.387030839951496e-28,NA
Acropora14904,5.052411098288033,2.147813484572747,0.6727959960280014,3.1923695997788846,0.0014111064361081948,0.0065999048913523446,NA
Acropora15157,26.30125614231714,2.025338334092385,0.3148572322374523,6.432560941032977,1.2547169897653765e-10,4.702921150795285e-9,NA
Acropora15176,1.4115220907359978,2.5657015223011173,0.7825406900809779,3.2786812939217467,0.0010429334899076663,0.005099497609893232,NA
Acropora15209,22.736121599812495,2.418594704398375,0.3158781846898694,7.656732315252989,1.9072358988412402e-14,1.838741822278038e-12,DNA replication origin binding
Acropora15273,2.3544631572615495,2.007953895011596,0.6821649423505004,2.9435020335300335,0.003245216911768907,0.01314039923534941,NA
Acropora15333,59.97190656740857,2.2844565579613465,0.23602383659339166,9.678923073760881,3.7059904858794394e-22,2.3171648853001066e-19,NA
Acropora1539,1.245158945659514,2.290536297985967,0.811400861543163,2.82294043123113,0.0047585412121766936,0.018044977238074265,photosynthetic electron transport chain
Acropora15486,5.246874846793661,3.7585722335236333,0.7632522640988711,4.924416749632793,8.461234053204259e-7,1.1319804459601054e-5,NA
Acropora15531,1.3733416986390492,-2.449100811806031,0.8501433397401269,-2.8808092674756187,0.003966555940008343,0.015520454903420803,NA
Acropora15669,5.208166717900816,3.0437308233401406,0.9292279827028871,3.2755479602397513,0.0010545720680587294,0.005147243319876803,NA
Acropora15674,1.367230010333563,2.521640524640229,0.7974207333797516,3.1622460002420842,0.0015655724735758171,0.007181992689295233,NA
