"","variable","control","Day0","Day29","control_Day0","control_Day29","variable_Day0","variable_Day29"
"1",0,1,1,0,1,0,0,0
"2",1,0,1,0,0,0,1,0
"3",1,0,1,0,0,0,1,0
"4",1,0,1,0,0,0,1,0
"5",0,1,1,0,1,0,0,0
"6",1,0,1,0,0,0,1,0
"7",1,0,0,1,0,0,0,1
"8",0,1,1,0,1,0,0,0
"9",1,0,0,1,0,0,0,1
"10",1,0,0,1,0,0,0,1
"11",0,1,1,0,1,0,0,0
"12",0,1,1,0,1,0,0,0
"13",1,0,1,0,0,0,1,0
"14",1,0,1,0,0,0,1,0
"15",0,1,0,1,0,1,0,0
"16",0,1,0,1,0,1,0,0
"17",1,0,0,1,0,0,0,1
"18",0,1,1,0,1,0,0,0
"19",1,0,1,0,0,0,1,0
"20",1,0,0,1,0,0,0,1
"21",1,0,0,1,0,0,0,1
"22",0,1,1,0,1,0,0,0
"23",1,0,1,0,0,0,1,0
"24",0,1,0,1,0,1,0,0
"25",1,0,1,0,0,0,1,0
"26",1,0,0,1,0,0,0,1
"27",1,0,1,0,0,0,1,0
"28",0,1,1,0,1,0,0,0
"29",1,0,0,1,0,0,0,1
"30",0,1,0,1,0,1,0,0
"31",0,1,1,0,1,0,0,0
"32",0,1,0,1,0,1,0,0
"34",1,0,1,0,0,0,1,0
"35",0,1,1,0,1,0,0,0
"36",1,0,0,1,0,0,0,1
"37",0,1,0,1,0,1,0,0
"38",0,1,0,1,0,1,0,0
"39",0,1,1,0,1,0,0,0
"40",1,0,0,1,0,0,0,1
"41",1,0,1,0,0,0,1,0
"42",1,0,0,1,0,0,0,1
"43",0,1,0,1,0,1,0,0
"44",0,1,0,1,0,1,0,0
"45",0,1,1,0,1,0,0,0
