	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora10	39	80	57	68	62	59	84	69	36	63	86	73	48	45	49	26	55	65	61	19	14	6	38	53	25	23	94	9	30	75	66	86	38	85	61	9	92	86	57	14	23	46	65	74	43	20	29	52	
Acropora100	7	7	2	4	1	3	7	6	0	6	12	8	4	5	4	3	3	2	4	1	2	0	4	3	1	1	1	1	0	4	2	17	2	3	3	2	4	7	4	0	0	1	6	4	0	2	0	6	
Acropora101	89	179	177	106	180	112	186	100	66	110	162	162	83	103	76	83	104	150	103	63	49	23	70	57	36	37	99	28	67	100	108	152	66	106	91	51	137	167	85	41	30	134	153	113	86	43	57	92	
Acropora102	1	9	4	1	3	3	6	6	6	1	6	2	0	4	0	0	2	5	2	2	0	0	2	1	0	0	5	3	3	3	6	4	4	5	5	3	2	6	2	0	0	8	7	4	7	3	5	1	
Acropora103	2	1	15	1	13	5	11	6	2	3	2	2	4	5	4	2	2	2	4	0	4	2	2	2	1	0	2	5	1	2	4	5	0	4	0	1	8	4	3	1	0	9	10	6	3	0	0	0	
Acropora104	25	32	13	19	35	19	47	31	11	24	22	26	22	9	15	7	8	34	25	10	8	3	6	11	13	6	20	4	12	14	21	20	9	22	19	2	54	34	18	6	6	33	45	43	23	7	4	16	
Acropora105	24	22	19	40	11	50	12	39	23	29	47	20	10	28	44	26	33	21	47	0	15	0	13	15	14	23	26	2	1	32	19	76	26	23	17	8	13	54	23	14	11	10	13	38	38	25	6	21	
Acropora106	9	9	7	12	7	19	23	14	6	12	15	12	3	6	18	7	11	10	12	0	7	0	7	5	5	4	30	0	2	11	6	26	7	11	13	3	8	17	15	1	3	6	8	10	19	5	7	7	
Acropora107	1	9	4	0	8	1	7	3	1	4	1	9	4	0	4	2	1	5	1	0	0	0	2	0	0	0	2	0	1	1	1	1	2	0	0	2	1	3	3	0	3	2	1	3	4	0	1	4	
Acropora108	40	981	587	32	561	30	166	68	23	50	47	265	96	83	92	29	12	193	195	39	7	13	12	19	20	34	97	11	60	48	37	38	46	58	61	35	344	107	40	35	43	399	176	175	29	54	70	71	
Acropora109	69	187	150	88	125	78	111	150	50	80	174	119	59	95	57	49	56	190	155	38	23	7	39	100	49	26	111	18	42	86	138	110	44	106	111	32	143	121	69	25	27	87	127	199	61	34	35	96	
Acropora11	88	75	84	79	77	98	94	124	54	96	131	72	38	90	64	39	28	64	116	23	20	5	47	78	24	31	69	8	19	95	69	134	40	102	97	16	57	137	73	27	23	45	54	109	40	20	33	89	
Acropora110	33	26	35	16	34	35	34	30	12	12	39	46	18	22	26	11	10	30	32	4	7	2	14	27	9	14	37	10	5	31	42	44	8	19	33	9	29	19	30	14	14	22	32	48	27	19	4	26	
Acropora111	0	3	2	2	6	2	3	5	1	2	2	1	0	2	3	1	0	5	6	1	0	0	4	4	2	2	2	0	0	1	5	9	0	2	2	0	1	4	5	1	2	2	3	6	3	0	3	1	
Acropora112	11	11	15	9	21	6	10	7	23	24	15	8	11	4	46	23	16	12	12	18	10	4	8	11	11	12	8	6	20	18	15	26	20	11	18	13	14	15	22	12	7	19	15	8	17	32	7	13	
Acropora113	67	110	114	30	116	56	100	74	33	42	66	101	57	41	39	56	29	67	85	24	28	12	17	56	38	17	37	20	40	29	65	119	34	40	45	43	129	59	70	21	21	61	119	85	66	26	53	48	
Acropora114	6	4	6	0	1	5	0	1	0	1	2	0	3	1	1	2	5	0	3	3	1	0	2	3	0	0	2	0	1	7	2	1	1	2	3	1	0	5	0	2	2	1	4	3	5	0	0	2	
Acropora115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	
Acropora116	321	521	421	255	468	305	424	441	137	274	423	458	239	333	255	148	169	424	389	105	113	55	156	291	177	112	349	81	147	257	394	527	161	248	328	112	468	446	230	106	134	324	347	521	261	160	137	306	
