gene,lpv
Pseudodiploria1,0
Pseudodiploria164216,0
Pseudodiploria164218,0
Pseudodiploria164226,0
Pseudodiploria164227,0
Pseudodiploria164230,0
Pseudodiploria164233,0
Pseudodiploria164235,0
Pseudodiploria164241,0
Pseudodiploria164250,0
Pseudodiploria164251,0
Pseudodiploria164254,0
Pseudodiploria164258,0
Pseudodiploria164259,0
Pseudodiploria164262,0
Pseudodiploria164264,0
Pseudodiploria164269,0
Pseudodiploria164274,0
Pseudodiploria164278,0
Pseudodiploria164285,0
Pseudodiploria164294,0
Pseudodiploria164296,0
Pseudodiploria164300,0
Pseudodiploria164302,0
Pseudodiploria164304,0
Pseudodiploria164305,0
Pseudodiploria164306,0
Pseudodiploria164308,0
Pseudodiploria164312,0
Pseudodiploria164314,0
Pseudodiploria164318,0
Pseudodiploria164324,0
Pseudodiploria164325,0
Pseudodiploria164330,0
Pseudodiploria164333,0
Pseudodiploria164334,0
Pseudodiploria164335,0
Pseudodiploria164342,0
Pseudodiploria164343,0
Pseudodiploria164349,0
Pseudodiploria164353,0
Pseudodiploria164358,0
Pseudodiploria164360,0
Pseudodiploria164361,0
Pseudodiploria164362,0
Pseudodiploria164366,0
Pseudodiploria164371,0
Pseudodiploria164382,0
Pseudodiploria164389,0
Pseudodiploria164393,0
Pseudodiploria164395,0
Pseudodiploria164401,0
Pseudodiploria164407,0
Pseudodiploria164408,0
Pseudodiploria164412,0
Pseudodiploria164416,0
Pseudodiploria164425,0
Pseudodiploria164428,0
Pseudodiploria164433,0
Pseudodiploria164434,0
Pseudodiploria164436,0
Pseudodiploria164437,0
Pseudodiploria164440,0
Pseudodiploria164442,0
Pseudodiploria164443,0
Pseudodiploria164444,0
Pseudodiploria164445,0
Pseudodiploria164446,0
Pseudodiploria164447,0
Pseudodiploria164448,0
Pseudodiploria164452,0
Pseudodiploria164456,0
Pseudodiploria164460,0
Pseudodiploria164463,0
Pseudodiploria164466,0
Pseudodiploria164472,0
Pseudodiploria164475,0
Pseudodiploria164478,0
Pseudodiploria164479,0
Pseudodiploria164493,0
Pseudodiploria164495,0
Pseudodiploria164496,0
Pseudodiploria164497,0
Pseudodiploria164503,0
Pseudodiploria164505,0
Pseudodiploria164506,0
Pseudodiploria164508,0
Pseudodiploria164511,0
Pseudodiploria164516,0
Pseudodiploria164518,0
Pseudodiploria164519,0
Pseudodiploria164524,0
Pseudodiploria164525,0
Pseudodiploria164530,0
Pseudodiploria164531,0
Pseudodiploria164539,0
Pseudodiploria164541,0
Pseudodiploria164543,0
Pseudodiploria164546,0
Pseudodiploria164549,0
Pseudodiploria164550,0
Pseudodiploria164551,0
Pseudodiploria164556,0
Pseudodiploria164564,0
Pseudodiploria164565,0
Pseudodiploria164566,0
Pseudodiploria164570,0
Pseudodiploria164572,0
Pseudodiploria164582,0
Pseudodiploria164583,0
Pseudodiploria164586,0
Pseudodiploria164590,0
Pseudodiploria164592,0
Pseudodiploria164595,0
Pseudodiploria164599,0
Pseudodiploria164608,0
Pseudodiploria164612,0
Pseudodiploria164622,0
Pseudodiploria164624,0
Pseudodiploria164625,0
Pseudodiploria164627,0
Pseudodiploria164628,0
Pseudodiploria164629,0
Pseudodiploria164633,0
Pseudodiploria164634,0
Pseudodiploria164639,0
Pseudodiploria164646,0
Pseudodiploria164647,0
Pseudodiploria164649,0
Pseudodiploria164650,0
Pseudodiploria164652,0
Pseudodiploria164655,0
Pseudodiploria164657,0
Pseudodiploria164660,0
Pseudodiploria164663,0
Pseudodiploria164668,0
Pseudodiploria164672,0
Pseudodiploria164673,0
Pseudodiploria164674,0
Pseudodiploria164677,0
Pseudodiploria164681,0
Pseudodiploria164683,0
Pseudodiploria164689,0
Pseudodiploria164694,0
Pseudodiploria164696,0
Pseudodiploria164697,0
Pseudodiploria164699,0
Pseudodiploria164703,0
Pseudodiploria164706,0
Pseudodiploria164717,0
Pseudodiploria164719,0
Pseudodiploria164721,0
Pseudodiploria164723,0
Pseudodiploria164724,0
Pseudodiploria164727,0
Pseudodiploria164728,0
Pseudodiploria164729,0
Pseudodiploria164732,0
Pseudodiploria164735,0
Pseudodiploria164736,0
Pseudodiploria164747,0
Pseudodiploria164748,0
Pseudodiploria164749,0
Pseudodiploria164754,0
Pseudodiploria164757,0
Pseudodiploria164759,0
Pseudodiploria164762,0
Pseudodiploria164764,0
Pseudodiploria164765,0
Pseudodiploria164767,0
Pseudodiploria164768,0
Pseudodiploria164772,0
Pseudodiploria164777,0
Pseudodiploria164779,0
Pseudodiploria164780,0
Pseudodiploria164788,0
Pseudodiploria164791,0
Pseudodiploria164794,0
Pseudodiploria164795,0
Pseudodiploria164798,0
Pseudodiploria164801,0
Pseudodiploria164806,0
Pseudodiploria164810,0
Pseudodiploria164812,0
Pseudodiploria164813,0
Pseudodiploria164818,0
Pseudodiploria164820,0
Pseudodiploria164826,0
Pseudodiploria164833,0
Pseudodiploria164835,0
Pseudodiploria164837,0
Pseudodiploria164839,0
Pseudodiploria164848,0
Pseudodiploria164853,0
Pseudodiploria164857,0
Pseudodiploria164858,0
Pseudodiploria16486,0
Pseudodiploria164867,0
Pseudodiploria164868,0
Pseudodiploria164869,0
Pseudodiploria164872,0
Pseudodiploria164874,0
Pseudodiploria164875,0
Pseudodiploria164882,0
Pseudodiploria164883,0
Pseudodiploria164885,0
Pseudodiploria164887,0
Pseudodiploria164891,0
Pseudodiploria164892,0
Pseudodiploria164895,0
Pseudodiploria164897,0
Pseudodiploria164900,0
Pseudodiploria164902,0
Pseudodiploria164903,0
Pseudodiploria164907,0
Pseudodiploria164908,0
Pseudodiploria164913,0
Pseudodiploria164915,0
Pseudodiploria164919,0
Pseudodiploria164920,0
Pseudodiploria164921,0
Pseudodiploria164922,0
Pseudodiploria164925,0
Pseudodiploria164930,0
Pseudodiploria164935,0
Pseudodiploria164938,0
Pseudodiploria164939,0
Pseudodiploria164943,0
Pseudodiploria164944,0
Pseudodiploria164946,0
Pseudodiploria164956,0
Pseudodiploria164961,0
Pseudodiploria164962,0
Pseudodiploria164966,0
Pseudodiploria164968,0
Pseudodiploria164969,0
Pseudodiploria164975,0
Pseudodiploria164976,0
Pseudodiploria164978,0
Pseudodiploria164980,0
Pseudodiploria164984,0
Pseudodiploria164990,0
Pseudodiploria164991,0
Pseudodiploria164993,0
Pseudodiploria164994,0
Pseudodiploria164996,0
Pseudodiploria164997,0
Pseudodiploria165003,0
Pseudodiploria165005,0
Pseudodiploria165006,0
Pseudodiploria165007,0
Pseudodiploria165009,0
Pseudodiploria165011,0
Pseudodiploria165017,0
Pseudodiploria165019,0
Pseudodiploria165021,0
Pseudodiploria165027,0
Pseudodiploria165034,0
Pseudodiploria165039,0
Pseudodiploria165040,0
Pseudodiploria165041,0
Pseudodiploria165042,0
Pseudodiploria165046,0
Pseudodiploria165047,0
Pseudodiploria165053,0
Pseudodiploria165056,0
Pseudodiploria165065,0
Pseudodiploria165068,0
Pseudodiploria165071,0
Pseudodiploria165073,0
Pseudodiploria165074,0
Pseudodiploria165076,0
Pseudodiploria165082,0
Pseudodiploria165093,0
Pseudodiploria165094,0
Pseudodiploria165097,0
