name	term	lev	seq	value
"oxygen binding"	GO:0019825	3	Pseudodiploria194925	0.241356138276047
"oxygen binding"	GO:0019825	3	Pseudodiploria200175	1.51153436520617
"oxygen binding"	GO:0019825	3	Pseudodiploria193331	-0.0625225390261872
"oxygen binding"	GO:0019825	3	Pseudodiploria190348	-0.0598278169679309
"oxygen binding"	GO:0019825	3	Pseudodiploria193557	-1.01458924090425
"oxygen binding"	GO:0019825	3	Pseudodiploria205543	0.173850016832231
"oxygen binding"	GO:0019825	3	Pseudodiploria199951	-0.227378220474444
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria196192	0.264424372923858
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria197254	0.518294980453073
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria196830	-0.0592576878251786
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria199403	0.653535722376221
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria187708	-0.031930914379914
"azole transmembrane transporter activity"	GO:1901474	2	Pseudodiploria201918	-0.2553250475179
"N-acetylgalactosamine 4-O-sulfotransferase activity"	GO:0001537	5	Pseudodiploria177060	-1.23793400817994
"N-acetylgalactosamine 4-O-sulfotransferase activity"	GO:0001537	5	Pseudodiploria198786	0.121046555203278
"N-acetylgalactosamine 4-O-sulfotransferase activity"	GO:0001537	5	Pseudodiploria178188	0.0663137944745188
"N-acetylgalactosamine 4-O-sulfotransferase activity"	GO:0001537	5	Pseudodiploria189209	0.303488081513669
"N-acetylgalactosamine 4-O-sulfotransferase activity"	GO:0001537	5	Pseudodiploria176757	-0.112488358648584
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria198517	0.763141211653923
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria204873	0.0376692706436146
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria185842	0.661783600283513
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria175857	0.0300207647201636
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria183680	0.942469869543488
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria191751	-0.284858133623283
"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	GO:0043027	2	Pseudodiploria177742	0.241966750810949
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria180199	0.398236212463725
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria200513	0.774484750351666
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria192279	0.00541563926370713
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria178343	-0.0631580030986512
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria182438	-0.514494442880153
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria187240	0.512313076779135
"poly-purine tract binding"	GO:0070717	2	Pseudodiploria195604	-0.155267801227503
