name	term	lev	seq	value
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria196233	-0.0229635046275642
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria204117	0.157614264852266
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria184509	0.0301978638913753
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria179202	0.0499761940937329
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria201919	-0.261845230554634
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria185552	0.0399039005998409
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	4	Pseudodiploria194389	-0.0681146105289097
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria198226	-0.0012462963024436
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria199394	-0.208238824709766
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria202247	0.0325149024551458
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria191433	-0.00305782965232959
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria202140	0.18497131888284
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria188788	-0.0700147857881548
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria202918	-0.00843928322190201
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria195155	0.00637595714163578
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria176385	0.135191677390913
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria196098	0.00572320677439784
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria182188	0.0292485646696726
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria185169	-0.0138196042789648
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria198716	0.117722937068863
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria197101	0.0655351002993464
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria199818	-0.0212200850470063
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria180422	-0.263703521108274
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria172723	0.18308409877438
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria203617	-0.0753070966752192
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria181980	0.0204650002209549
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria203815	0.339038169867463
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria192587	0.0259328302519477
"nuclear chromosome, telomeric region"	GO:0000784	3	Pseudodiploria205458	-0.0659133428921803
"SWI/SNF complex"	GO:0016514;GO:0071564;GO:0071565	2	Pseudodiploria200682	-0.00834210645254715
"SWI/SNF complex"	GO:0016514;GO:0071564;GO:0071565	2	Pseudodiploria183659	0.124825114136596
"SWI/SNF complex"	GO:0016514;GO:0071564;GO:0071565	2	Pseudodiploria203394	0.0346362363318481
"SWI/SNF complex"	GO:0016514;GO:0071564;GO:0071565	2	Pseudodiploria177269	0.06464165655236
