name	term	lev	seq	value
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria181525	0.132802482752813
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria197137	-0.0652551418729281
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria204199	-0.194888328958865
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria187556	-0.100832417275997
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria196043	0.0135424727844769
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria186120	0.0191803998128809
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria196291	0.466454600212711
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria202731	-0.135395844147387
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria178343	0.0660311757208259
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria175836	0.151396790589471
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria187032	-0.0437458502943871
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria188045	0.120510561302848
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria175874	0.0575657241399221
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria177526	0.00191837812263039
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria197542	0.00601684445759483
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria194255	-0.0849412906799528
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria177435	0.0639888180742293
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria193527	-0.025441245294388
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria177427	0.356662286334151
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria171443	0.0576262694044377
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria184388	0.0204650002209549
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria197376	0.306008262176692
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria185729	0.00234385004325287
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria204158	-0.05670717264481
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria205352	0.0274829368964097
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria200773	0.0226171262878944
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria190624	0.0119361949206707
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria193526	0.0455883873909921
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria185169	-0.0138196042789648
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria203772	0.0470544011293661
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria196323	-0.0124242406746796
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria199227	0.0696962688507135
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria182399	0.00191837812263039
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria186819	-0.0902212758926343
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria197152	0.0396143916304797
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria197545	0.000175027086646026
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria198693	0.0611211417228778
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria195691	0.0276170739614275
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria187441	-0.0331992767809664
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria196066	0.067385082314581
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria200973	-0.0297221220636748
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria202859	-0.0035614124204955
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria176234	-0.116756039445725
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria183799	0.0887540902380286
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria183498	0.237937854346561
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria195367	0.00718295495983485
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria190147	-0.00126893954103003
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria200420	0.0479707125605683
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria186177	0.105232561016839
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria204889	0.120628299005559
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria193260	0.0212200850470063
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria194656	1.90767202864209
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria188552	0.0224305882294335
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria203519	0.0012462963024436
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria189504	0.0219524685637201
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria170361	-0.0143676960144432
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria183531	0.368603095475054
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria195727	0.126235690470677
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria201470	-0.0236537270032651
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0008135	2	Pseudodiploria199200	-0.0208861940883494
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria200555	0.0211413453974057
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria199833	0.0660311757208259
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria194323	0.0621091187289868
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria203089	0.246637905805851
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria179849	-0.042831408068223
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria181719	0.0735283358972773
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria192399	-0.0502230824168856
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria197843	-0.0143676960144432
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria193845	0.0221357034098111
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria203432	-0.00765350916188641
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria201334	0.110936907712993
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria180638	0.0752212615008908
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria202718	0.0639888180742293
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria164857	-0.00191837812263039
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria193985	0.0234259079943197
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria175909	0.014971672873045
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria177374	-0.122163006758614
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria197254	-0.00305782965232959
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria204590	0.0199817908779589
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria193911	-0.160639079497613
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria198731	-0.0324032242896308
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria199403	-0.263703521108274
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria200362	0.0887540902380286
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria196149	0.0212200850470063
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria187708	0.156349523786478
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria176376	-0.0461441597746306
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria199742	0.10111154379999
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria201495	0.000175027086646026
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria196221	-0.0386649743153918
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria179345	-0.0863103086576016
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria192067	-0.098201400209307
"amino acid transmembrane transporter activity"	GO:0015171	3	Pseudodiploria199287	0.0358996161977292
"sulfur compound binding"	GO:1901681	2	Pseudodiploria197765	0.0371740110259457
"sulfur compound binding"	GO:1901681	2	Pseudodiploria189950	0.125202473731346
"sulfur compound binding"	GO:1901681	2	Pseudodiploria187538	0.137929199437446
"sulfur compound binding"	GO:1901681	2	Pseudodiploria172328	-0.0345064689442245
"sulfur compound binding"	GO:1901681	2	Pseudodiploria175567	0.143829804398274
"sulfur compound binding"	GO:1901681	2	Pseudodiploria205427	0.0297807682972151
"sulfur compound binding"	GO:1901681	2	Pseudodiploria205314	-0.0126412354752438
"sulfur compound binding"	GO:1901681	2	Pseudodiploria198771	-0.0941374203973878
"sulfur compound binding"	GO:1901681	2	Pseudodiploria178229	-0.235929073547316
"sulfur compound binding"	GO:1901681	2	Pseudodiploria182240	-0.128012613763056
"sulfur compound binding"	GO:1901681	2	Pseudodiploria194959	0.00637595714163578
"sulfur compound binding"	GO:1901681	2	Pseudodiploria203897	-0.00191837812263039
"sulfur compound binding"	GO:1901681	2	Pseudodiploria189337	0.111416024989016
"sulfur compound binding"	GO:1901681	2	Pseudodiploria182489	-0.115639237634126
"sulfur compound binding"	GO:1901681	2	Pseudodiploria196439	0.0292485646696726
"sulfur compound binding"	GO:1901681	2	Pseudodiploria182848	-0.0421125031840005
"sulfur compound binding"	GO:1901681	2	Pseudodiploria197055	0.0664812269192176
"sulfur compound binding"	GO:1901681	2	Pseudodiploria169297	0.092162587590276
"sulfur compound binding"	GO:1901681	2	Pseudodiploria204639	0.00305782965232959
"sulfur compound binding"	GO:1901681	2	Pseudodiploria183907	-0.00126893954103003
"sulfur compound binding"	GO:1901681	2	Pseudodiploria204555	0.0153171247583838
"sulfur compound binding"	GO:1901681	2	Pseudodiploria184540	-0.21055693984931
"sulfur compound binding"	GO:1901681	2	Pseudodiploria199762	-0.111776202635652
