"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-234 0.483283758945478 5 22 "GO:0000002" "mitochondrial genome maintenance" 0.894825046609803
-429 0.500777532749831 6 6 "GO:0000012" "single strand break repair" 0.899544627805368
332 0.180627681880677 2 40 "GO:0000018" "regulation of DNA recombination" 0.762374112851254
-280 0.688056397464648 3 5 "GO:0000019" "regulation of mitotic recombination" 0.951731455393101
593 0.230088352260834 4 10 "GO:0000022" "mitotic spindle elongation" 0.789335141701219
455 0.182703103198368 2 21 "GO:0000027" "ribosomal large subunit assembly" 0.762374112851254
420 0.352093150069695 2 12 "GO:0000028" "ribosomal small subunit assembly" 0.845389399567762
453 0.246431053181142 2 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.800679678787905
345 0.148491431449741 2 43 "GO:0000041" "transition metal ion transport" 0.733042714908952
-347 0.141226248428746 2 44 "GO:0000045;GO:1905037" "autophagosome organization" 0.724593237935016
1109 0.0818737060999365 4 6 "GO:0000050;GO:0019627;GO:0071941;GO:0000052" "urea metabolic process" 0.676080085116887
-239 0.685060179235372 2 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.950630497639505
-288 0.447265002477218 -1 17 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.884374528479232
-91 0.543456536221141 2 112 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.917251964090534
-219 0.600206888765179 4 14 "GO:0000076" "DNA replication checkpoint" 0.934979241763762
-47 0.790727569847715 5 80 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.972606266502491
307 0.209863840477387 3 41 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.772267704824007
-46 0.802580676497729 2 73 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.977488827451348
101 0.815497429430377 3 13 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.97771241849767
-71 0.704488902651379 3 71 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.95521173660533
264 0.347861871040425 4 31 "GO:0000096" "sulfur amino acid metabolic process" 0.842045292169922
-297 0.477041937986885 2 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.893992330813013
102 0.829068497471981 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.978779429299612
-219 0.710710652370068 2 7 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.955446905892235
-111 0.223775435445246 2 308 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.784970623039672
-278 0.170285904235928 2 60 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.757020243484464
553 0.105221254534171 2 21 "GO:0000154" "rRNA modification" 0.700611518732094
-84 0.538567798146825 3 133 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.917251964090534
-729 0.296538782930851 6 5 "GO:0000183" "chromatin silencing at rDNA" 0.820378435139153
