"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
26 0.9205083845849 2 27 "GO:0000118" "histone deacetylase complex" 0.982037217825119
51 0.762759550272236 3 65 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.946145056937088
-15 0.974802796915094 2 8 "GO:0000124" "SAGA complex" 0.991867252604655
321 0.595201054549841 5 5 "GO:0000125" "PCAF complex" 0.905741432259555
-388 0.341263340530688 2 11 "GO:0000137" "Golgi cis cisterna" 0.875989349460815
-699 0.028392247036214 2 18 "GO:0000138" "Golgi trans cisterna" 0.47110274094226
-77 0.381404113873043 2 246 "GO:0000139" "Golgi membrane" 0.878259847224531
-240 0.574456232785323 4 10 "GO:0000145" "exocyst" 0.905020232300487
-309 0.00330822744970569 2 171 "GO:0000151" "ubiquitin ligase complex" 0.47110274094226
25 0.931185705754186 3 22 "GO:0000152" "nuclear ubiquitin ligase complex" 0.982394181613316
12 0.9795919859221 3 9 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.991867252604655
177 0.678356979277201 3 10 "GO:0000159" "protein phosphatase type 2A complex" 0.93731201191237
-490 0.374220861048542 3 6 "GO:0000164" "protein phosphatase type 1 complex" 0.878259847224531
1022 0.0452620119273446 2 7 "GO:0000176" "nuclear exosome (RNase complex)" 0.539107937537547
1080 0.0237572179250195 3 8 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.47110274094226
576 0.124235714750874 3 13 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.661806430798526
-367 0.543707410202532 4 5 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.905020232300487
149 0.0875927561672359 2 252 "GO:0000228;GO:0044454" "nuclear chromosome" 0.600572987557772
669 0.161364130790439 2 8 "GO:0000235" "astral microtubule" 0.725450118014783
-270 0.454236224185389 5 14 "GO:0000242" "pericentriolar material" 0.897393516073573
-823 0.0677611586096633 2 9 "GO:0000243" "commitment complex" 0.554676836272827
731 0.185238280761344 5 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.754610633519454
117 0.707367011498008 3 19 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.93731201191237
279 0.223187565037484 3 35 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.794491183938078
65 0.85145867085634 3 15 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.96835159290838
586 0.0526289479315927 2 20 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.539107937537547
-868 0.0693771274206823 4 8 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.554676836272827
-36 0.619696744939808 5 369 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.907420507322586
-134 0.808598842065414 2 6 "GO:0000346;GO:0000347;GO:0000445" "transcription export complex" 0.958485456692174
-464 0.125333190701399 3 20 "GO:0000407" "phagophore assembly site" 0.662086203053043
-143 0.662108224288689 5 17 "GO:0000421" "autophagosome membrane" 0.93731201191237
-57 0.685045078080246 2 93 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.93731201191237
-914 0.0974775403823972 4 6 "GO:0000439" "transcription factor TFIIH core complex" 0.616221114492546
586 0.332465585245352 2 5 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.86870040015721
-30 0.819621773624617 3 108 "GO:0000775" "chromosome, centromeric region" 0.960617802206344
-6 0.969863900414788 2 70 "GO:0000776" "kinetochore" 0.991867252604655
162 0.499557907654454 3 32 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.899111826354749
677 0.185124356695209 4 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.754610633519454
326 0.349963734318673 3 15 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.878259847224531
38 0.869522951886972 2 35 "GO:0000781" "chromosome, telomeric region" 0.972170502617207
203 0.480863878018083 3 22 "GO:0000784" "nuclear chromosome, telomeric region" 0.898652427709522
120 0.163377792165544 4 262 "GO:0000785" "chromatin" 0.725450118014783
95 0.799513249021978 2 13 "GO:0000786" "nucleosome" 0.954693037574256
158 0.757713224987922 3 7 "GO:0000788" "nuclear nucleosome" 0.946145056937088
127 0.249854408132114 2 154 "GO:0000790" "nuclear chromatin" 0.812627733006812
-132 0.560397282557312 2 36 "GO:0000791" "euchromatin" 0.905020232300487
-79 0.676162998285395 2 51 "GO:0000792" "heterochromatin" 0.93731201191237
88 0.523083660738272 5 99 "GO:0000793" "condensed chromosome" 0.905020232300487
206 0.282670601487368 5 50 "GO:0000794" "condensed nuclear chromosome" 0.822781510498846
337 0.408357553846105 3 11 "GO:0000795;GO:0099086" "synaptonemal structure" 0.878259847224531
-133 0.780426810265507 2 8 "GO:0000796" "condensin complex" 0.954693037574256
186 0.410544789572197 2 36 "GO:0000803" "sex chromosome" 0.878259847224531
304 0.3998686951617 2 14 "GO:0000805" "X chromosome" 0.878259847224531
1202 0.0466977863428985 3 5 "GO:0000808;GO:0005664" "nuclear origin of replication recognition complex" 0.539107937537547
499 0.296719941699795 3 8 "GO:0000812" "Swr1 complex" 0.825087469414324
476 0.318844070251574 3 8 "GO:0000815" "ESCRT III complex" 0.853289039603275
-127 0.396576966717182 2 83 "GO:0000922" "spindle pole" 0.878259847224531
123 0.82387424135014 3 6 "GO:0000923" "equatorial microtubule organizing center" 0.964051881130421
-18 0.967173083604973 4 10 "GO:0000930" "gamma-tubulin complex" 0.991867252604655
-380 0.457024993302656 2 7 "GO:0000931;GO:0008274" "gamma-tubulin large complex" 0.897574956074826
-170 0.339872439017639 4 58 "GO:0000932" "P-body" 0.875989349460815
-684 0.180157204197344 2 7 "GO:0000938" "GARP complex" 0.75051735155647
-102 0.80285231895675 4 11 "GO:0000940" "condensed chromosome outer kinetochore" 0.954761079369521
-102 0.763145807241437 2 16 "GO:0000974" "Prp19 complex" 0.946145056937088
154 0.76272773405977 2 7 "GO:0001520" "outer dense fiber" 0.946145056937088
337 0.5412285511718 2 6 "GO:0001527" "microfibril" 0.905020232300487
301 0.100430908493819 3 55 "GO:0001650" "fibrillar center" 0.625130597318556
222 0.299928915493547 4 40 "GO:0001669" "acrosomal vesicle" 0.825087469414324
606 0.204518149659215 2 8 "GO:0001673" "male germ cell nucleus" 0.789759502528766
141 0.677617819200604 2 16 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.93731201191237
-126 0.410859626640176 2 79 "GO:0001726" "ruffle" 0.878259847224531
130 0.728769692516972 2 13 "GO:0001741" "XY body" 0.93731201191237
-384 0.120366939733863 2 30 "GO:0001750" "photoreceptor outer segment" 0.661740261822586
-140 0.768784086444784 2 8 "GO:0001772" "immunological synapse" 0.950632547608719
253 0.469340914490319 2 15 "GO:0001891" "phagocytic cup" 0.898652427709522
-353 0.25568195249847 3 19 "GO:0001917" "photoreceptor inner segment" 0.812627733006812
-1062 0.0786330213315942 6 5 "GO:0001940" "male pronucleus" 0.584933393374818
-298 0.532731560637902 2 8 "GO:0002080" "acrosomal membrane" 0.905020232300487
-262 0.664745434246769 3 5 "GO:0002081" "outer acrosomal membrane" 0.93731201191237
-271 0.409341721132261 2 17 "GO:0002102" "podosome" 0.878259847224531
731 0.185288482030154 2 6 "GO:0002177" "manchette" 0.754610633519454
-39 0.949258167527868 4 5 "GO:0002178" "palmitoyltransferase complex" 0.988972058243587
1552 0.0102021132050032 2 5 "GO:0005581" "collagen trimer" 0.47110274094226
446 0.0274784643492551 2 45 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.47110274094226
-671 0.266417048269723 4 5 "GO:0005614" "interstitial matrix" 0.812627733006812
30 0.716304254618419 2 287 "GO:0005615" "extracellular space" 0.93731201191237
52 0.56655609050736 4 235 "GO:0005635" "nuclear envelope" 0.905020232300487
-686 0.0576905845027763 2 14 "GO:0005637" "nuclear inner membrane" 0.539107937537547
-18 0.973566875526474 4 6 "GO:0005639;GO:0031229;GO:0044453" "integral component of nuclear inner membrane" 0.991867252604655
539 0.291022098329326 2 7 "GO:0005640" "nuclear outer membrane" 0.822781510498846
871 0.114096884634892 2 6 "GO:0005641" "nuclear envelope lumen" 0.652707672900185
-556 0.313177498752776 2 6 "GO:0005642" "annulate lamellae" 0.842459028010235
