"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
2 0.993269734361957 5 27 "GO:0000118" "histone deacetylase complex" 0.996542035096499
100 0.553563451309965 4 65 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.927382313918292
386 0.41955600223045 2 8 "GO:0000124" "SAGA complex" 0.92474382446653
391 0.517424647809086 2 5 "GO:0000125" "PCAF complex" 0.927382313918292
409 0.315165998869101 2 11 "GO:0000137" "Golgi cis cisterna" 0.923162196843588
162 0.611879635726248 3 18 "GO:0000138" "Golgi trans cisterna" 0.927382313918292
-163 0.0651900879363232 4 246 "GO:0000139" "Golgi membrane" 0.896851636768528
65 0.879131447875346 2 10 "GO:0000145" "exocyst" 0.972061594173009
168 0.109459952971181 3 171 "GO:0000151" "ubiquitin ligase complex" 0.896851636768528
-258 0.371744284137947 4 22 "GO:0000152" "nuclear ubiquitin ligase complex" 0.923162196843588
-493 0.273998208841658 4 9 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.923162196843588
-414 0.332401874776581 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.923162196843588
98 0.858896448708265 2 6 "GO:0000164" "protein phosphatase type 1 complex" 0.972061594173009
-587 0.250423320044103 4 7 "GO:0000176" "nuclear exosome (RNase complex)" 0.923162196843588
-901 0.0591798294483895 4 8 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.896851636768528
-636 0.089836065657103 3 13 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.896851636768528
210 0.728321793954524 4 5 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.951517182424459
-135 0.123545450398147 4 252 "GO:0000228;GO:0044454" "nuclear chromosome" 0.896851636768528
-770 0.106985130829014 3 8 "GO:0000235" "astral microtubule" 0.896851636768528
-222 0.5395152425407 2 14 "GO:0000242" "pericentriolar material" 0.927382313918292
482 0.284207129151592 6 9 "GO:0000243" "commitment complex" 0.923162196843588
-526 0.340566072461211 2 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.923162196843588
322 0.298925675121789 2 19 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.923162196843588
-117 0.609075860498802 5 35 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.927382313918292
-44 0.899539605555186 5 15 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.972061594173009
-187 0.537186682290255 3 20 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.927382313918292
548 0.250991301527274 4 8 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.923162196843588
134 0.0669466476072448 4 369 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.896851636768528
616 0.26371083867685 3 6 "GO:0000346;GO:0000347;GO:0000445" "transcription export complex" 0.923162196843588
499 0.0993434150153199 2 20 "GO:0000407" "phagophore assembly site" 0.896851636768528
453 0.167216157639567 2 17 "GO:0000421" "autophagosome membrane" 0.918401458295415
292 0.0386900492526122 2 93 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.896851636768528
1004 0.0688044525421929 2 6 "GO:0000439" "transcription factor TFIIH core complex" 0.896851636768528
-1030 0.0881373243161416 3 5 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.896851636768528
30 0.820491242367838 2 108 "GO:0000775" "chromosome, centromeric region" 0.972061594173009
24 0.883580142528192 3 70 "GO:0000776" "kinetochore" 0.972061594173009
-223 0.351031154685836 4 32 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.923162196843588
-838 0.100787513685308 5 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.896851636768528
-591 0.0902593712618106 5 15 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.896851636768528
-76 0.738525338530504 2 35 "GO:0000781" "chromosome, telomeric region" 0.956566852003588
-56 0.84667381721764 2 22 "GO:0000784" "nuclear chromosome, telomeric region" 0.972061594173009
-55 0.51856589083611 4 262 "GO:0000785" "chromatin" 0.927382313918292
-237 0.527246093880009 4 13 "GO:0000786" "nucleosome" 0.927382313918292
-217 0.670602025672405 2 7 "GO:0000788" "nuclear nucleosome" 0.936530415163186
-118 0.284113535462889 2 154 "GO:0000790" "nuclear chromatin" 0.923162196843588
-13 0.955770991939073 2 36 "GO:0000791" "euchromatin" 0.986908007257202
-130 0.493796212570614 2 51 "GO:0000792" "heterochromatin" 0.927382313918292
-14 0.918010437016006 2 99 "GO:0000793" "condensed chromosome" 0.974890465214856
-297 0.122035745945782 2 50 "GO:0000794" "condensed nuclear chromosome" 0.896851636768528
-356 0.3828065174422 5 11 "GO:0000795;GO:0099086" "synaptonemal structure" 0.923162196843588
-16 0.972712584256587 2 8 "GO:0000796" "condensin complex" 0.991862061152023
-426 0.0593962163631489 5 36 "GO:0000803" "sex chromosome" 0.896851636768528
-427 0.23760484698461 6 14 "GO:0000805" "X chromosome" 0.923162196843588
-859 0.155242856064864 5 5 "GO:0000808;GO:0005664" "nuclear origin of replication recognition complex" 0.912677758639402
-487 0.308211054773122 2 8 "GO:0000812" "Swr1 complex" 0.923162196843588
-568 0.234195131153679 2 8 "GO:0000815" "ESCRT III complex" 0.923162196843588
132 0.378798099439897 3 83 "GO:0000922" "spindle pole" 0.923162196843588
-5 0.993118986489397 2 6 "GO:0000923" "equatorial microtubule organizing center" 0.996542035096499
-121 0.776340386335884 2 10 "GO:0000930" "gamma-tubulin complex" 0.969096132943252
-135 0.790966567759478 4 7 "GO:0000931;GO:0008274" "gamma-tubulin ring complex" 0.972061594173009
171 0.338883924539163 5 58 "GO:0000932" "P-body" 0.923162196843588
650 0.203059321656007 2 7 "GO:0000938" "GARP complex" 0.923162196843588
-187 0.646027278788717 4 11 "GO:0000940" "condensed chromosome outer kinetochore" 0.931331711269454
-56 0.869377247624437 2 16 "GO:0000974" "Prp19 complex" 0.972061594173009
-593 0.245491558611932 4 7 "GO:0001520" "outer dense fiber" 0.923162196843588
-909 0.0994510690703589 2 6 "GO:0001527" "microfibril" 0.896851636768528
-292 0.11140168949915 2 55 "GO:0001650" "fibrillar center" 0.896851636768528
-255 0.23452138115075 6 40 "GO:0001669" "acrosomal vesicle" 0.923162196843588
-186 0.696804163089398 4 8 "GO:0001673" "male germ cell nucleus" 0.944182592736378
-355 0.293185049545502 4 16 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.923162196843588
36 0.815372544611476 3 79 "GO:0001726" "ruffle" 0.972061594173009
-590 0.115331414660389 2 13 "GO:0001741" "XY body" 0.896851636768528
35 0.887305298633444 2 30 "GO:0001750" "photoreceptor outer segment" 0.972061594173009
87 0.855139309046177 3 8 "GO:0001772" "immunological synapse" 0.972061594173009
24 0.944713078395857 3 15 "GO:0001891" "phagocytic cup" 0.983332508426607
97 0.75545724589638 2 19 "GO:0001917" "photoreceptor inner segment" 0.960694446207672
275 0.64857502814541 6 5 "GO:0001940" "male pronucleus" 0.931331711269454
285 0.550700226403667 3 8 "GO:0002080" "acrosomal membrane" 0.927382313918292
-239 0.692044670382497 3 5 "GO:0002081" "outer acrosomal membrane" 0.944182592736378
-76 0.81779595771843 2 17 "GO:0002102" "podosome" 0.972061594173009
702 0.20337643577173 4 6 "GO:0002177" "manchette" 0.923162196843588
491 0.416192293641975 3 5 "GO:0002178" "palmitoyltransferase complex" 0.92474382446653
-1182 0.0503230599719721 2 5 "GO:0005581" "collagen trimer" 0.896851636768528
-326 0.1068620955523 2 45 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.896851636768528
101 0.867591187969796 2 5 "GO:0005614" "interstitial matrix" 0.972061594173009
-63 0.445598483077064 2 287 "GO:0005615" "extracellular space" 0.927382313918292
-40 0.659758023375663 4 235 "GO:0005635" "nuclear envelope" 0.933209087410796
-180 0.618376121060881 3 14 "GO:0005637" "nuclear inner membrane" 0.927382313918292
-727 0.18720452148344 4 6 "GO:0005639;GO:0031229;GO:0044453" "nuclear membrane part" 0.923162196843588
-1027 0.0443367770191429 3 7 "GO:0005640" "nuclear outer membrane" 0.896851636768528
-1014 0.0660387710892885 3 6 "GO:0005641" "nuclear envelope lumen" 0.896851636768528
1175 0.0330825621936041 2 6 "GO:0005642" "annulate lamellae" 0.896851636768528
176 0.369774504468816 4 48 "GO:0005643" "nuclear pore" 0.923162196843588
199 0.625138655004524 3 11 "GO:0005652" "nuclear lamina" 0.927382313918292
435 0.471173744293359 4 5 "GO:0005655" "nucleolar ribonuclease P complex" 0.927382313918292
57 0.791357606813525 2 39 "GO:0005657" "replication fork" 0.972061594173009
-9 0.984816518826156 4 9 "GO:0005665" "RNA polymerase II, core complex" 0.995434735170764
377 0.354585455011506 4 11 "GO:0005666" "RNA polymerase III complex" 0.923162196843588
-57 0.623572870935401 2 141 "GO:0005667" "transcription factor complex" 0.927382313918292
377 0.213247146155607 2 20 "GO:0005669" "transcription factor TFIID complex" 0.923162196843588
913 0.0738430151637514 3 7 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.896851636768528
459 0.203866484917888 2 14 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.923162196843588
-428 0.253873448895999 2 13 "GO:0005680" "anaphase-promoting complex" 0.923162196843588
38 0.756431566698496 2 124 "GO:0005681" "spliceosomal complex" 0.960694446207672
186 0.647472923340461 6 11 "GO:0005682" "U5 snRNP" 0.931331711269454
35 0.841437915601652 4 60 "GO:0005684" "U2-type spliceosomal complex" 0.972061594173009
-53 0.891429855141277 6 12 "GO:0005685" "U1 snRNP" 0.972061594173009
280 0.39269045495291 6 17 "GO:0005686" "U2 snRNP" 0.924668213077111
430 0.165449898237239 4 19 "GO:0005689" "U12-type spliceosomal complex" 0.918401458295415
10 0.873098468849443 4 515 "GO:0005694;GO:0044427" "chromosome" 0.972061594173009
-295 0.449443131896443 2 12 "GO:0005697" "telomerase holoenzyme complex" 0.927382313918292
-169 0.208040692939953 5 103 "GO:0005700" "polytene chromosome" 0.923162196843588
-550 0.318654159825338 2 6 "GO:0005701" "polytene chromosome chromocenter" 0.923162196843588
340 0.137567009325762 5 35 "GO:0005703" "polytene chromosome puff" 0.896851636768528
187 0.714213810838739 2 7 "GO:0005704" "polytene chromosome band" 0.948363306643767
117 0.707304287275316 5 19 "GO:0005705" "polytene chromosome interband" 0.946325750567802
-73 0.79488508812705 3 23 "GO:0005719" "nuclear euchromatin" 0.972061594173009
-346 0.210592650482571 2 24 "GO:0005720" "nuclear heterochromatin" 0.923162196843588
-132 0.688150402433041 3 17 "GO:0005721" "pericentric heterochromatin" 0.944182592736378
-403 0.465372374107848 3 6 "GO:0005726" "perichromatin fibrils" 0.927382313918292
44 0.500609149514501 4 487 "GO:0005730" "nucleolus" 0.927382313918292
-145 0.678610162672515 3 15 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.939443701697369
91 0.840748771243292 4 9 "GO:0005736" "RNA polymerase I complex" 0.972061594173009
-38 0.62421983602746 4 328 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.927382313918292
180 0.220786126057972 3 86 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.923162196843588
-156 0.0854158877809311 3 233 "GO:0005743;GO:0019866" "organelle inner membrane" 0.896851636768528
455 0.312084467062572 2 9 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.923162196843588
32 0.877679509284197 2 42 "GO:0005746;GO:0070469;GO:0098803" "respirasome" 0.972061594173009
111 0.707382792579385 3 21 "GO:0005747;GO:0045271;GO:0030964" "NADH dehydrogenase complex" 0.946325750567802
-463 0.278592494511892 2 10 "GO:0005750;GO:0045275" "mitochondrial respiratory chain complex III" 0.923162196843588
182 0.703017494332347 5 8 "GO:0005751;GO:0045277" "mitochondrial respiratory chain complex IV" 0.946325750567802
-756 0.0932170307563385 2 9 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.896851636768528
-61 0.750230259422009 3 50 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.960694446207672
-21 0.820138705004221 2 225 "GO:0005759" "mitochondrial matrix" 0.972061594173009
316 0.0128289499522455 2 116 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.896851636768528
5 0.972813955725235 7 88 "GO:0005766;GO:0035578;GO:0042582" "azurophil granule" 0.991862061152023
493 0.158219268510137 5 15 "GO:0005767;GO:0044754" "autolysosome" 0.915411482094364
72 0.287157070144321 3 443 "GO:0005768" "endosome" 0.923162196843588
110 0.30952411829761 4 161 "GO:0005769" "early endosome" 0.923162196843588
