"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-710 0.0825791109463398 2 11 "GO:0000030" "mannosyltransferase activity" 0.744006028430004
197 0.45971543423198 2 26 "GO:0000049" "tRNA binding" 0.874214901255529
-304 0.370466527037349 2 16 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.852569778306138
-164 0.571608838448296 2 22 "GO:0000146;GO:0030898" "microfilament motor activity" 0.901193583300025
-252 0.101605662895351 3 79 "GO:0000149" "SNARE binding" 0.804164992118526
15 0.813538125068473 2 499 "GO:0000166;GO:1901265;GO:0097367" "nucleoside phosphate binding" 0.96614096728664
303 0.284837983590847 2 23 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.837980182163153
-432 0.367226284758707 5 8 "GO:0000182" "rDNA binding" 0.852569778306138
331 0.361460641410669 3 14 "GO:0000217" "DNA secondary structure binding" 0.852569778306138
26 0.858883819136004 2 88 "GO:0000287" "magnesium ion binding" 0.968440599916289
173 0.775008561661362 3 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.951871193244564
394 0.231535714960163 2 17 "GO:0000339" "RNA cap binding" 0.837980182163153
321 0.412854432536695 2 12 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.867364581360725
181 0.689667408292963 2 9 "GO:0000400" "four-way junction DNA binding" 0.935192997931268
319 0.598484913031727 2 5 "GO:0000403" "Y-form DNA binding" 0.901193583300025
144 0.81243706961601 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.96614096728664
16 0.971024831225433 3 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.991122295052539
-102 0.310759276789795 2 187 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.852569778306138
-178 0.154797640427967 2 120 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.837980182163153
158 0.713141058975442 2 10 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.935904971622088
-48 0.853216274192917 2 28 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.967562785462897
-56 0.488429140356868 3 295 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.88316955095573
272 0.317519379131918 -1 25 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.852569778306138
-112 0.726934861295589 2 18 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.9392364885816
-301 0.619521965586853 4 5 "GO:0001016;GO:0001032" "RNA polymerase III regulatory region DNA binding" 0.904193273761497
31 0.910614346411941 2 25 "GO:0001047;GO:0001046" "core promoter binding" 0.97558404111266
-34 0.951315432754232 2 6 "GO:0001069" "regulatory region RNA binding" 0.990425067211906
-112 0.480563744382803 2 74 "GO:0001085" "RNA polymerase II transcription factor binding" 0.882918095071934
-192 0.655154549593253 2 10 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.921741460914231
-19 0.974839937443732 2 5 "GO:0001094" "TFIID-class transcription factor complex binding" 0.991234901998585
-211 0.438315345687746 4 25 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.873274614460385
204 0.523235548355603 2 18 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.88316955095573
-113 0.764179289715903 4 13 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.947385246674593
-132 0.551270299061489 3 38 "GO:0001158;GO:0035326" "enhancer binding" 0.898347140917575
100 0.84561125197907 2 7 "GO:0001161;GO:0044213" "intronic transcription regulatory region sequence-specific DNA binding" 0.967562785462897
174 0.752820094437218 -1 6 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.94255950113442
327 0.293179041374757 2 19 "GO:0001221" "transcription cofactor binding" 0.847421766807543
484 0.312463827274637 3 8 "GO:0001222;GO:0001226" "transcription corepressor binding" 0.852569778306138
82 0.855305202837415 5 9 "GO:0001223" "transcription coactivator binding" 0.967562785462897
301 0.506196338593337 5 9 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.88316955095573
113 0.56640352927747 3 48 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.901052813129014
-56 0.684905163430981 2 98 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.933787084407756
375 0.464263518425447 10 7 "GO:0001409;GO:0005395;GO:0008558;GO:0015208;GO:1905948" "eye pigment precursor transporter activity" 0.878743268409887
346 0.469974740964727 2 8 "GO:0001530" "lipopolysaccharide binding" 0.878760567559971
-226 0.468823780714683 2 19 "GO:0001540" "amyloid-beta binding" 0.878760567559971
-745 0.0100803661191707 3 22 "GO:0001653;GO:0008528" "peptide receptor activity" 0.489116374492998
-402 0.00770592804722439 4 82 "GO:0001664" "G protein-coupled receptor binding" 0.489116374492998
-114 0.701263654328807 2 21 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.935904971622088
-414 0.14361689786759 4 23 "GO:0001784" "phosphotyrosine residue binding" 0.830065592162457
-870 0.0103562456396728 3 16 "GO:0001786" "phosphatidylserine binding" 0.489116374492998
-1034 0.0880888932940595 3 5 "GO:0001846;GO:0001848" "complement binding" 0.764184693424897
-59 0.909205299995631 3 7 "GO:0001871;GO:0030247" "polysaccharide binding" 0.97558404111266
54 0.712206544089713 3 88 "GO:0001882;GO:0001883;GO:0005525;GO:0032550;GO:0032561;GO:0032549;GO:0019001" "guanyl nucleotide binding" 0.935904971622088
-382 0.275554987924014 2 15 "GO:0001965" "G-protein alpha-subunit binding" 0.837980182163153
-190 0.627061372105434 3 12 "GO:0001968" "fibronectin binding" 0.905381560575385
-168 0.781593333975406 3 5 "GO:0001972;GO:0005501;GO:0019840" "retinoic acid binding" 0.95358457543614
-122 0.51073431377034 4 54 "GO:0002020" "protease binding" 0.88316955095573
-52 0.799544353514175 3 44 "GO:0002039" "p53 binding" 0.959632960500054
297 0.592217447884592 2 6 "GO:0002151" "G-quadruplex RNA binding" 0.901193583300025
-5 0.99242225363735 2 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.997592543339034
-72 0.26944539532701 2 478 "GO:0003677" "DNA binding" 0.837980182163153
128 0.573414107064637 3 36 "GO:0003678;GO:0004003" "DNA helicase activity" 0.901193583300025
-468 0.328619955090473 3 8 "GO:0003680" "AT DNA binding" 0.852569778306138
-81 0.364580374676443 2 241 "GO:0003682" "chromatin binding" 0.852569778306138
240 0.333186388787552 3 30 "GO:0003684" "damaged DNA binding" 0.852569778306138
-276 0.541141410778569 3 9 "GO:0003688" "DNA replication origin binding" 0.892450578036317
-408 0.425514291804727 5 7 "GO:0003696" "satellite DNA binding" 0.872643606662228
35 0.849095734206868 3 54 "GO:0003697" "single-stranded DNA binding" 0.967562785462897
277 0.617466127524705 2 6 "GO:0003707" "steroid hormone receptor activity" 0.902598691873087
-15 0.873760722990808 2 214 "GO:0003712" "transcription coregulator activity" 0.97558404111266
65 0.580867620636419 2 136 "GO:0003713" "transcription coactivator activity" 0.901193583300025
-248 0.118164083250743 2 74 "GO:0003714" "transcription corepressor activity" 0.825265176588193
188 0.00397030423035664 2 478 "GO:0003723" "RNA binding" 0.489116374492998
117 0.509682841153196 6 59 "GO:0003724;GO:0004004;GO:0008186" "RNA-dependent ATPase activity" 0.88316955095573
208 0.37198637489562 2 34 "GO:0003725" "double-stranded RNA binding" 0.852569778306138
2 0.989288023661454 2 57 "GO:0003727" "single-stranded RNA binding" 0.997592543339034
39 0.70445837434259 2 180 "GO:0003729" "mRNA binding" 0.935904971622088
226 0.249535862045253 2 48 "GO:0003730" "mRNA 3'-UTR binding" 0.837980182163153
285 0.0546749663146783 2 85 "GO:0003735" "structural constituent of ribosome" 0.677650280904894
148 0.509520845651947 2 37 "GO:0003743" "translation initiation factor activity" 0.88316955095573
-333 0.272161183330144 3 20 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.837980182163153
-770 0.0233196573696459 4 16 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.5135094334939
66 0.686599161499911 2 70 "GO:0003774" "motor activity" 0.933787084407756
173 0.394339709465258 2 45 "GO:0003777" "microtubule motor activity" 0.858035203248925
-177 0.136431197008313 2 133 "GO:0003779" "actin binding" 0.830065592162457
-509 0.234937533566389 4 10 "GO:0003785" "actin monomer binding" 0.837980182163153
-462 0.173103625422162 2 16 "GO:0003823" "antigen binding" 0.837980182163153
-911 0.0154521935110214 3 13 "GO:0003841;GO:0016411" "acylglycerol O-acyltransferase activity" 0.489116374492998
-56 0.857072691498617 4 19 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.967562785462897
6 0.984996298828637 3 21 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.995621933120208
612 0.175721510226878 2 9 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.837980182163153
-52 0.717216963199913 2 90 "GO:0003924" "GTPase activity" 0.937460637136291
-115 0.799864826201219 4 9 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.959632960500054
289 0.380279754389893 3 17 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.854489520055946
416 0.111586175783406 2 27 "GO:0003954;GO:0008137;GO:0050136;GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 0.82412290297831
1078 0.0753676168178897 6 5 "GO:0003993" "acid phosphatase activity" 0.744006028430004
261 0.563370045370175 3 9 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.90081524319429
716 0.0674293115010624 4 12 "GO:0004012" "phospholipid-translocating ATPase activity" 0.725405026040308
149 0.78739326943333 6 6 "GO:0004017" "adenylate kinase activity" 0.957097961397176
-164 0.717629238895199 4 9 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.937460637136291
127 0.834540435185762 2 5 "GO:0004062" "aryl sulfotransferase activity" 0.967562785462897
-25 0.940402293526148 4 16 "GO:0004065;GO:0008484" "sulfuric ester hydrolase activity" 0.986599528487371
