"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
206 0.630361939259442 4 11 "GO:0000030" "mannosyltransferase activity" 0.955457339210705
-170 0.525521696744916 3 28 "GO:0000049" "tRNA binding" 0.936059178047693
-333 0.347988769689802 3 16 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.898444859409649
-10 0.972284022177499 7 23 "GO:0000146;GO:0030898" "microfilament motor activity" 0.991967082072135
323 0.0434382190295826 3 80 "GO:0000149;GO:0019905" "SNARE binding" 0.746185239131154
46 0.484258734876379 3 530 "GO:0000166;GO:1901265;GO:0097367" "nucleoside phosphate binding" 0.933593276944108
488 0.0799589926417647 3 26 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.746185239131154
144 0.77441045741614 2 8 "GO:0000182" "rDNA binding" 0.968322343419166
155 0.682455610734979 3 14 "GO:0000217" "DNA secondary structure binding" 0.955457339210705
360 0.0170094234988484 5 90 "GO:0000287" "magnesium ion binding" 0.570140793868538
-404 0.523578988791853 2 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.936059178047693
-171 0.619974195591841 5 17 "GO:0000339" "RNA cap binding" 0.955457339210705
-125 0.761058676158386 2 12 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.966777456452934
502 0.288543691436431 4 9 "GO:0000400" "four-way junction DNA binding" 0.850463443220062
-839 0.18587046534635 2 5 "GO:0000403" "Y-form DNA binding" 0.79447287400254
399 0.52935251171095 3 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.936059178047693
1211 0.0561686789705846 2 5 "GO:0000822" "inositol hexakisphosphate binding" 0.746185239131154
-215 0.649869278275147 2 9 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.955457339210705
-145 0.161505395120894 3 195 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.79447287400254
-103 0.423791528764774 2 125 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.933593276944108
548 0.221570256325564 8 10 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.808606656677064
-107 0.689103777903012 2 28 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.955457339210705
-35 0.671030300885674 2 311 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.955457339210705
-51 0.858847829425082 -1 25 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.984616743098268
97 0.771347834007649 2 18 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.967690919027778
-240 0.705503265455382 3 5 "GO:0001013;GO:0001163" "RNA polymerase I regulatory region DNA binding" 0.957933567856898
473 0.455373231828353 3 5 "GO:0001016;GO:0001032" "RNA polymerase III regulatory region DNA binding" 0.933593276944108
243 0.383951491082202 3 26 "GO:0001047;GO:0001046" "core promoter binding" 0.91934893621373
447 0.439568004402892 2 6 "GO:0001069" "regulatory region RNA binding" 0.933593276944108
-454 0.00497886289589024 2 78 "GO:0001085" "RNA polymerase II transcription factor binding" 0.437234687039088
-315 0.482566790662386 2 10 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.933593276944108
-251 0.692641158412957 2 5 "GO:0001094" "TFIID-class transcription factor complex binding" 0.955457339210705
-134 0.638374284422721 3 25 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.955457339210705
-575 0.0772504865732828 6 19 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.746185239131154
-237 0.517041242413321 2 15 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.936059178047693
-217 0.341697177107377 2 39 "GO:0001158;GO:0035326" "enhancer binding" 0.898212019787912
-337 0.529771017407279 7 7 "GO:0001161;GO:0044213" "intronic transcription regulatory region sequence-specific DNA binding" 0.936059178047693
55 0.924305759661501 -1 6 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.987258177193816
-166 0.593107499420185 2 21 "GO:0001221" "transcription cofactor binding" 0.949773325359259
-492 0.297625456106097 5 9 "GO:0001222" "transcription corepressor binding" 0.864630931937314
-131 0.76948400450969 5 10 "GO:0001223" "transcription coactivator binding" 0.967690919027778
-334 0.479348009722464 5 9 "GO:0001224" "RNA polymerase II transcription cofactor binding" 0.933593276944108
-358 0.535763392226292 6 6 "GO:0001226" "RNA polymerase II transcription corepressor binding" 0.936059178047693
-304 0.135677269519221 3 49 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.79447287400254
-117 0.407256600681462 2 103 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.933593276944108
82 0.879147889154791 5 7 "GO:0001409;GO:0005395;GO:0008558;GO:0015208;GO:1905948" "guanine nucleotide transmembrane transporter activity" 0.984616743098268
-672 0.155264527414548 2 9 "GO:0001530" "lipopolysaccharide binding" 0.79447287400254
-150 0.812627559072232 5 5 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.981521360890071
436 0.169824738189741 2 20 "GO:0001540" "amyloid-beta binding" 0.79447287400254
-165 0.553158630149799 2 26 "GO:0001653;GO:0008528" "peptide receptor activity" 0.941727769526223
-103 0.506621910706251 4 85 "GO:0001664" "G protein-coupled receptor binding" 0.936059178047693
192 0.516199340157306 2 23 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.936059178047693
164 0.579337994673912 3 23 "GO:0001784" "phosphotyrosine residue binding" 0.949773325359259
-241 0.482982794364316 2 17 "GO:0001786" "phosphatidylserine binding" 0.933593276944108
-514 0.417775418750848 3 5 "GO:0001846;GO:0001848" "opsonin binding" 0.933593276944108
-491 0.359298642052993 3 7 "GO:0001871;GO:0030247" "polysaccharide binding" 0.902802557943212
-24 0.870094635730291 2 98 "GO:0001882;GO:0001883;GO:0005525;GO:0032550;GO:0032561;GO:0032549;GO:0019001" "guanyl nucleotide binding" 0.984616743098268
-867 0.0180195839424572 2 15 "GO:0001965" "G-protein alpha-subunit binding" 0.570140793868538
-433 0.270626301894991 3 13 "GO:0001968" "fibronectin binding" 0.846035623399875
-257 0.685430181790695 4 5 "GO:0001972;GO:0005501;GO:0019840" "retinoid binding" 0.955457339210705
-220 0.252036322157858 4 55 "GO:0002020" "protease binding" 0.831928688725025
142 0.504305737116561 3 45 "GO:0002039" "p53 binding" 0.936059178047693
660 0.254049110676429 3 6 "GO:0002151" "G-quadruplex RNA binding" 0.833175098407743
247 0.669030271969939 3 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.955457339210705
-78 0.244280578343866 2 499 "GO:0003677" "DNA binding" 0.830898023521741
82 0.719932133458874 2 39 "GO:0003678;GO:0004003" "DNA helicase activity" 0.958833351747814
-31 0.951503433999981 2 8 "GO:0003680" "AT DNA binding" 0.987258177193816
-102 0.26878023987629 2 251 "GO:0003682" "chromatin binding" 0.846035623399875
169 0.514581756564907 3 30 "GO:0003684" "damaged DNA binding" 0.936059178047693
-344 0.467287921303098 2 9 "GO:0003688" "DNA replication origin binding" 0.933593276944108
-732 0.172177094650713 5 7 "GO:0003696" "satellite DNA binding" 0.79447287400254
337 0.0817169013031323 2 54 "GO:0003697" "single-stranded DNA binding" 0.746185239131154
