gene,Fish_kME
Pseudodiploria164233,0
Pseudodiploria164308,0
Pseudodiploria164312,0
Pseudodiploria164314,0
Pseudodiploria164330,0
Pseudodiploria164335,0
Pseudodiploria164343,0
Pseudodiploria164358,0
Pseudodiploria164361,0
Pseudodiploria164366,0
Pseudodiploria164382,0
Pseudodiploria164412,0
Pseudodiploria164416,0
Pseudodiploria164437,0
Pseudodiploria164444,0
Pseudodiploria164445,0
Pseudodiploria164446,0
Pseudodiploria164456,0
Pseudodiploria164493,0
Pseudodiploria164497,0
Pseudodiploria164566,0
Pseudodiploria164572,0
Pseudodiploria164590,0
Pseudodiploria164595,0
Pseudodiploria164612,0
Pseudodiploria164622,0
Pseudodiploria164624,0
Pseudodiploria164628,0
Pseudodiploria164647,0
Pseudodiploria164655,0
Pseudodiploria164681,0
Pseudodiploria164697,0
Pseudodiploria164735,0.398517370079302
Pseudodiploria164748,0
Pseudodiploria164764,0
Pseudodiploria164777,0
Pseudodiploria164795,0
Pseudodiploria164798,0
Pseudodiploria164810,0
Pseudodiploria164812,0
Pseudodiploria164835,0
Pseudodiploria164853,0
Pseudodiploria164857,0
Pseudodiploria164858,0
Pseudodiploria164875,0
Pseudodiploria164885,0
Pseudodiploria164897,0
Pseudodiploria164907,0
Pseudodiploria164921,0
Pseudodiploria164946,0
Pseudodiploria164962,0
Pseudodiploria164968,0
Pseudodiploria164969,0
Pseudodiploria164980,0
Pseudodiploria164990,0
Pseudodiploria164991,0
Pseudodiploria165019,0
Pseudodiploria165027,0
Pseudodiploria165047,0
Pseudodiploria165106,0.467121898270807
Pseudodiploria165123,0
Pseudodiploria165131,0
Pseudodiploria165132,0
Pseudodiploria165140,0
Pseudodiploria165149,0
Pseudodiploria165155,0
Pseudodiploria165180,0
Pseudodiploria165200,0
Pseudodiploria165214,0
Pseudodiploria165237,0
Pseudodiploria165276,0
Pseudodiploria165277,0
Pseudodiploria165280,0
Pseudodiploria165292,0
Pseudodiploria165348,0
Pseudodiploria165376,0
Pseudodiploria165391,0
Pseudodiploria165409,0
Pseudodiploria165412,0
Pseudodiploria165418,0
Pseudodiploria165441,0
Pseudodiploria165458,0
Pseudodiploria165463,0
Pseudodiploria165500,0
Pseudodiploria165506,0
Pseudodiploria165522,0
Pseudodiploria165536,0
Pseudodiploria165538,0
Pseudodiploria165563,0
Pseudodiploria165566,0
Pseudodiploria165572,0
Pseudodiploria165605,0
Pseudodiploria165613,0
Pseudodiploria165626,0
Pseudodiploria165688,0.551865775060171
Pseudodiploria165689,0
Pseudodiploria165697,0
Pseudodiploria165714,0
Pseudodiploria165727,0
Pseudodiploria165744,0
Pseudodiploria165765,0
Pseudodiploria165799,0
Pseudodiploria165817,0
Pseudodiploria165824,0
Pseudodiploria165837,0
Pseudodiploria165848,0
Pseudodiploria165873,0
Pseudodiploria165903,0
Pseudodiploria165918,0
Pseudodiploria165927,0
Pseudodiploria165929,0
Pseudodiploria165952,0
Pseudodiploria165982,0
Pseudodiploria165995,0
Pseudodiploria165997,0
Pseudodiploria166015,0
Pseudodiploria166037,0
Pseudodiploria166044,0
Pseudodiploria166061,0
Pseudodiploria166067,0
Pseudodiploria166072,0
Pseudodiploria166077,0
Pseudodiploria166088,0
Pseudodiploria166101,0
Pseudodiploria166106,0
Pseudodiploria166107,0
Pseudodiploria166116,0
Pseudodiploria166133,0
Pseudodiploria166156,0
Pseudodiploria166179,0
Pseudodiploria166186,0
Pseudodiploria166193,0
Pseudodiploria166197,0
Pseudodiploria166200,0
Pseudodiploria166201,0
Pseudodiploria166207,0
Pseudodiploria166221,0
Pseudodiploria166235,0
Pseudodiploria166268,0
Pseudodiploria166287,0
Pseudodiploria166304,0
Pseudodiploria166306,0
Pseudodiploria166358,0
Pseudodiploria166370,0
Pseudodiploria166380,0
Pseudodiploria166404,0
Pseudodiploria166409,0
Pseudodiploria166432,0
Pseudodiploria166433,0
Pseudodiploria166437,0
Pseudodiploria166438,0
Pseudodiploria166459,0
Pseudodiploria166466,0
Pseudodiploria166478,0
Pseudodiploria166481,0
Pseudodiploria166488,0
Pseudodiploria166489,0
Pseudodiploria166500,0
Pseudodiploria166512,0
