Puck,Colony,Treatment,Species,fvfm,CBASS_temp
P9,B,Untreated,Pclivosa,0.487,28
P46,C,Untreated,Pclivosa,0.408,33
P144,A,Untreated,Pclivosa,0.451,35
P55,B,Untreated,Pclivosa,0.483,28
P133,B,Untreated,Pclivosa,0.497,33
P86,A,Treated,Pclivosa,0.483,30
P75,A,Treated,Pclivosa,0.467,32
P47,C,Treated,Pclivosa,0.434,30
P79,B,Treated,Pclivosa,0.521,34
P48,C,Treated,Pclivosa,0.466,32
P62,C,Treated,Pclivosa,0.43,35
P101,A,Treated,Pclivosa,0.202,37
P99,B,Treated,Pclivosa,0.336,36
P2,B,Treated,Pclivosa,0.507,30
P141,A,Treated,Pclivosa,0.262,36
P74,C,Treated,Pclivosa,0.433,34
P51,C,Treated,Pclivosa,0.497,28
P76,C,Treated,Pclivosa,0.442,34
P108,B,Treated,Pclivosa,0.492,35
P121,A,Treated,Pclivosa,0.474,30
P15,C,Treated,Pclivosa,0.466,28
P85,B,Treated,Pclivosa,0.49,34
P143,B,Treated,Pclivosa,0.288,36
P96,B,Treated,Pclivosa,0.493,33
P43,B,Treated,Pclivosa,0.51,33
P94,C,Treated,Pclivosa,0.218,36
P11,A,Treated,Pclivosa,0.424,35
P145,C,Treated,Pclivosa,0.464,34
P10,A,Treated,Pclivosa,0.517,34
P107,C,Treated,Pclivosa,0.539,30
P78,B,Treated,Pclivosa,0.525,32
P65,B,Treated,Pclivosa,0.481,30
P140,C,Treated,Pclivosa,0.345,35
P39,C,Treated,Pclivosa,0.391,32
P18,C,Treated,Pclivosa,0.363,28
P102,A,Treated,Pclivosa,0.277,35
P59,B,Treated,Pclivosa,0.171,37
P150,A,Treated,Pclivosa,0.417,33
P63,C,Treated,Pclivosa,0.222,36
P8,A,Treated,Pclivosa,0.422,33
P6,B,Treated,Pclivosa,0.24,36
P71,C,Treated,Pclivosa,0.152,37
P112,B,Treated,Pclivosa,0.456,30
P109,B,Treated,Pclivosa,0.424,28
P87,A,Treated,Pclivosa,0.399,34
P125,A,Treated,Pclivosa,0.366,28
P118,B,Treated,Pclivosa,0.217,37
P14,B,Treated,Pclivosa,0.244,37
P128,A,Treated,Pclivosa,0.201,36
P77,A,Treated,Pclivosa,0.344,34
P45,B,Treated,Pclivosa,0.459,32
P138,B,Treated,Pclivosa,0.45,32
P100,A,Treated,Pclivosa,0.429,32
P98,A,Treated,Pclivosa,0.429,33
P119,A,Treated,Pclivosa,0.388,28
P67,C,Treated,Pclivosa,0.407,32
P105,B,Treated,Pclivosa,0.445,28
P40,C,Treated,Pclivosa,0.436,30
P88,B,Treated,Pclivosa,0.497,33
P42,A,Treated,Pclivosa,0.368,30
P104,C,Treated,Pclivosa,0.442,33
P137,C,Treated,Pclivosa,0.148,37
P129,B,Untreated,Pclivosa,0.501,33
P93,B,Untreated,Pclivosa,0.464,30
P139,B,Untreated,Pclivosa,0.446,35
P69,A,Untreated,Pclivosa,0.472,33
P97,A,Untreated,Pclivosa,0.472,30
P81,C,Untreated,Pclivosa,0.417,34
P149,B,Treated,Pclivosa,0.465,34
P117,A,Treated,Pclivosa,0.161,37
P130,A,Treated,Pclivosa,0.379,34
P113,B,Treated,Pclivosa,0.258,37
P136,C,Treated,Pclivosa,0.392,33
P92,B,Treated,Pclivosa,0.433,35
P23,C,Treated,Pclivosa,0.405,30
P84,B,Untreated,Pclivosa,0.324,36
P4,A,Untreated,Pclivosa,0.469,32
P56,B,Untreated,Pclivosa,0.321,36
P27,B,Untreated,Pclivosa,0.502,34
P134,C,Untreated,Pclivosa,0.496,33
P64,C,Untreated,Pclivosa,0.477,30
P20,B,Untreated,Pclivosa,0.441,35
P83,A,Untreated,Pclivosa,0.528,34
P115,C,Untreated,Pclivosa,0.414,32
P70,B,Untreated,Pclivosa,0.174,37
P60,B,Untreated,Pclivosa,0.168,37
P52,B,Untreated,Pclivosa,0.411,34
P28,C,Untreated,Pclivosa,0.253,36
P35,C,Untreated,Pclivosa,0.135,37
P89,B,Untreated,Pclivosa,0.533,32
P41,C,Untreated,Pclivosa,0.404,35
P110,A,Untreated,Pclivosa,0.405,35
P1,B,Untreated,Pclivosa,0.487,32
P54,A,Untreated,Pclivosa,0.274,36
P135,C,Untreated,Pclivosa,0.464,34
