"","Initial","Untreated","Treated","days_to_removed","relative_activity","percent_change","fvfm","CBASS_temp"
"1",0,1,0,9,-78.008111762055,5.25423728813559,0.382,35
"2",0,1,0,NA,-70.391061452514,12.2516556291391,0.469,32
"3",0,0,1,NA,-28.4205745429772,-41.7134831460674,0.24,36
"4",0,0,1,NA,-64.5810055865922,0,0.422,33
"5",0,0,1,NA,43.7584497521406,16.9717138103161,0.466,28
"6",0,0,1,NA,-53.8981523208653,-3.4257748776509,0.363,28
"7",0,1,0,NA,-55.1720222550244,-14.3518518518519,0.516,30
"8",1,0,0,NA,NA,-1.24333925399645,0.506,33
"9",1,0,0,NA,NA,-1.65289256198347,0.253,36
"10",1,0,0,NA,NA,-4.44810543657331,0.469,32
"11",1,0,0,NA,NA,-18.0704441041348,0.413,34
"12",0,1,0,NA,-23.208652546192,-6.60660660660661,0.162,37
"13",0,0,1,NA,-64.0829202343398,15.7894736842105,0.391,32
"14",1,0,0,NA,NA,NA,0.436,30
"15",1,0,0,NA,NA,-14.5015105740181,0.459,32
"16",0,1,0,23,-36.4596343817418,6.49241146711636,0.509,33
"17",0,1,0,9,-54.5996275605214,-8.51393188854489,0.466,33
"18",1,0,0,NA,NA,-3.48484848484849,0.411,34
"19",1,0,0,NA,NA,-19.203413940256,0.483,28
"20",0,1,0,NA,-58.4729981378026,-8.10810810810811,0.475,35
"21",0,1,0,NA,-42.9022082018927,-5.77557755775578,0.477,30
"22",1,0,0,NA,NA,-11.9186046511628,0.407,32
"23",0,1,0,3,-37.0204841713222,6.20384047267356,0.472,33
"24",1,0,0,NA,NA,3.55329949238579,0.174,37
"25",1,0,0,NA,NA,9.51612903225806,0.467,32
"26",0,0,1,NA,10.3199639477242,5.27859237536657,0.442,34
"27",1,0,0,NA,NA,NA,0.344,34
"28",0,0,1,NA,-17.6109912569547,-13.0747126436782,0.521,34
"29",1,0,0,NA,NA,-0.471698113207547,0.434,28
"30",1,0,0,NA,NA,7.28682170542636,0.218,36
"31",0,0,1,23,-40.7743840127171,4.25531914893617,0.493,33
"32",0,0,1,NA,-4.32029795158287,18.9274447949527,0.202,37
"33",1,0,0,9,NA,7.42496050552923,0.415,35
"34",1,0,0,NA,NA,-13.9830508474576,0.445,28
"35",0,0,1,NA,-32.6899057567844,-27.2727272727273,0.424,28
"36",1,0,0,NA,NA,NA,NA,NA
"37",1,0,0,NA,NA,-15.4302670623145,0.414,32
"38",1,0,0,NA,NA,-7.26429675425039,0.475,35
"39",0,1,0,23,-53.5369592369706,-14.5209580838323,0.494,32
"40",1,0,0,NA,NA,-4.24143556280587,NA,NA
"41",1,0,0,NA,NA,NA,0.201,36
"42",0,0,1,NA,-74.8975791433892,-1.51724137931034,0.379,34
"43",0,1,0,NA,-45.3357368183867,6.31229235880399,0.464,34
"44",1,0,0,9,NA,-24.4186046511628,0.417,32
